NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","2","4629153708503919",,,,,10,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,11,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,,,11,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,12,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,,,12,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,13,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,,,13,,,,,,
"Rafael Fagundes Cagnin","Cagnin, Rafael Fagundes","3","",,,,,13,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,14,,,,,,
"Marcos Antonio Macedo Cintra","CINTRA, Marcos Antonio Macedo","2","0203332327068087",,,,,14,,,,,,
"Maria Cristina Penido de Freitas","FREITAS, Maria Cristina Penido de","3","4428674657578467",,,,,14,,,,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","4","4989183279921217",,,,,14,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,15,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,16,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,17,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,18,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,19,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,20,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,21,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,22,,,,,,
