NATUREZA,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,BANCA-JULGADORA-PARA-PROFESSOR-TITULAR_Id
"Professor titular","Banca de Defesa de Dissertação de Mestrado de Márlon Souza Vieira","2016","Brasil","Português","","","",63
"Professor titular","Banca de Defesa de Dissertação de Mestrado de Marla Ebinger Moraes Liidtke","2016","Brasil","Português","","","",64
"Professor titular","Banca de Defesa de Dissertação de Mestrado de Felipe Zamuner Vecchini","2016","Brasil","Português","","","",65
"Professor titular","Banca de Defesa de Dissertação de Mestrado de Paola Cecília Albano","2016","Brasil","Português","","","",66
"Professor titular","Banca de Recital de Juliana Melleiro Rheinboldt","2016","Brasil","Português","","","",67
"Professor titular","Banca de Monografia de Juliana Melleiro Rheinboldt","2016","Brasil","Português","","","",68
"Professor titular","Banca de Qualificação de Doutorado de Juliana Melleiro Rheinboldt","2016","Brasil","Português","","","",69
"Professor titular","Banca de Qualificação de Doutorado de Valéria Peres Asnis","2016","Brasil","Português","","","",70
"Professor titular","Presidente da Banca de Qualificação de Mestrado de Ana Carolina Buzato Marchi","2016","Brasil","Português","","","",71
"Professor titular","Banca de Qualificação de Mestrado de Daniel Alves Duarte Pedroso Junior em 27/07/2017","2017","Brasil","Português","","","",72
"Professor titular","Presidente da Banca de Qualificação de Doutorado de Karen Ildete Stahl Soler","2017","Brasil","Português","","","",73
"Professor titular","Banca de Qualificação de Mestrado de Ana Lia Della Torre","2017","Brasil","Português","","","",74
"Professor titular","Presidente da Banca de Qualificação de Mestrado de Sandra Regina Cielavin","2017","Brasil","Português","","","",75
"Professor titular","Banca Examinadora de Concurso Público para Professor de Licenciatura em Música da UFBA","2017","Brasil","Português","","","",76
"Professor titular","Banca de Monografia I de Karen Ildete Stahl Soler","2017","Brasil","Português","","","",77
"Professor titular","Banca de Monografia II de Doutorado de Karen Ildete Stahl Soler","2017","Brasil","Português","","","",78
"Professor titular","Presidente de Banca de Qualificação de Mestrado de Miguel Clemente Rubio","2017","Brasil","Português","","","",79
"Professor titular","Banca de Exame de Qualificação de Doutorado de Liana Arrais Serodio","2012","Brasil","Português","","","",80
