PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SOFTWARE_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,OUTRA-PRODUCAO-TECNICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Linguagem de Descrição de Arquiteturas","Projeto em Nível de Sistema","Sistemas embutidos de computador","Plataforma Multi-processador","","",,,,,,,,,,,,,2,,,,,,,,
"Arquitetura de Computadores","Simulação de Plataformas","Sistemas Multiprocessados","","","",,,,,,,,,,,,,4,,,,,,,,
"Embedded Systems","Projeto de Sistemas Computacionais","Simulação de Hardware","System Level Design","Decodificação de Vídeo","",,,,,,,,,,,,,5,,,,,,,,
"Memória Transacional","Arquiteturas Multicore","Compiladores e Linguagens de Programação","","","",,,,,,,,,,,,,7,,,,,,,,
"Virtualização","Sistemas Operacionais","","","","",,,,,,,,,,,,,8,,,,,,,,
"Computação de Alto Desempenho","Clusters","Interoperabilidade de Sistemas","","","",,,,,,,,,,,,,9,,,,,,,,
"Clusters","Computação de Alto Desempenho","Interoperabilidade de Sistemas","","","",,,,,,,,,,,,,10,,,,,,,,
"Interoperabilidade de Sistemas","","","","","",,,,,,,,,,,,,11,,,,,,,,
"Virtualização","Interoperabilidade de Sistemas","","","","",,,,,,,,,,,,,13,,,,,,,,
"Clusters","Computação de Alto Desempenho","Interoperabilidade de Sistemas","","","",,,,,,,,,,,,,14,,,,,,,,
"Consumo de Energia","Sistemas Embarcados","Avaliação de Desempenho","","","",,,,,,,,,,,,,15,,,,,,,,
"Consumo de Energia","Sistemas Embarcados","","","","",,,,,,,,,,,,,16,,,,,,,,
"Computação em Nuvem","","","","","",,,,,,,,,,,,,17,,,,,,,,
"Consumo de Energia","Arquitetura de Computadores","","","","",,,,,,,,,,,,,18,,,,,,,,
"Máquinas Virtuais","Avaliação de Desempenho","benchmarks","","","",,,,,,,,,,,,,19,,,,,,,,
"Compiladores","Representação Intermediária","","","","",,,,,,,,,,,,,,0,,,,,,,
"Compiladores","Otimização de Código","Laços","","","",,,,,,,,,,,,,,1,,,,,,,
"Linguagem de Descrição de Arquiteturas","Sistemas embutidos de computador","Arquitetura de Computadores","","","",,,,,,,,,,,,,,2,,,,,,,
"Arquitetura de Computadores","SystemC","Projeto de Barramentos","","","",,,,,,,,,,,,,,3,,,,,,,
"Arquitetura de Computadores","Memória Cache","Sistemas Embarcados","","","",,,,,,,,,,,,,,6,,,,,,,
"Arquitetura de Computadores","Sistemas Embarcados","Verificação","Projeto em Nível de Sistema","Projeto de Sistemas Computacionais","",,,,,,,,,,,,,,7,,,,,,,
"Compiladores","Análise de Tempo Real","Otimização de Código","","","",,,,,,,,,,,,,,8,,,,,,,
"Arquitetura de Computadores","Arquiteturas Paralelas","Computação de Alto Desempenho","Linguagens de Programação","","",,,,,,,,,,,,,,9,,,,,,,
"Arquitetura de Computadores","Linguagem de Descrição de Arquiteturas","Memória Cache","","","",,,,,,,,,,,,,,12,,,,,,,
"Compiladores","Tradução Binária","Otimização de Código","","","",,,,,,,,,,,,,,,0,,,,,,
"Redes de Sensores","Aquisição de Dados","Metadados","","","",,,,,,,,,,,,,,,1,,,,,,
"Compiladores e Linguagens de Programação","","","","","",,,,,,,,,,,,,,,2,,,,,,
"Arquitetura de Computadores","Consumo de Energia","Memória Transacional","","","",,,,,,,,,,,,,,,3,,,,,,
"Memorial Transacional","Escalonador em Nível de Usuário","","","","",,,,,,,,,,,,,,,4,,,,,,
"Segurança","Hardware Criptográfico","Projeto de Sistemas Computacionais","","","",,,,,,,,,,,,,,,5,,,,,,
"Compiladores","Alocação de Registradores","","","","",,,,,,,,,,,,,,,,0,,,,,
"Hardware","Segurança","","","","",,,,,,,,,,,,,,,,1,,,,,
"Compiladores","Consumo de Energia","Otimização de Código","Análise de Tempo Real","","",,,,,,,,,,,,,,,,2,,,,,
"Hardware","","","","","",,,,,,,,,,,,,,,,,2,,,,
"Architecture Description Language","System Level Design","","","","",,,,,,,,,,,,,,,,,,4,,,
"Compiler","Embedded Programs","Address Register Allocation","","","",,,,,,,,,,,,,,,,,,5,,,
"System Level Design","","","","","",,,,,,,,,,,,,,,,,,,0,,
"Architecture Description Language","System Level Design","","","","",,,,,,,,,,,,,,,,,,,,0,
"Arquitetura de Computadores","Linguagem de Descrição de Arquiteturas","Simulação de Plataformas","","","",,,,,,,,,,,,,,,,,,,,,1
"Arquiteturas Paralelas","Arquitetura de Computadores","Compiladores e Linguagens de Programação","","","",,,,,,,,,,,,,,,,,,,,,2
"Arquitetura de Computadores","Consumo de Energia","Datacenters","","","",,,,,,,,,,,,,,,,,,,,,3
