NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,RELATORIO-DE-PESQUISA_Id
"Breno Bernard Nicolau de França","DE FRANÇA, BRENO BERNARD NICOLAU","1","",,,,6,,
"Breno Bernard Nicolau de França","DE FRANÇA, BRENO BERNARD NICOLAU","1","",,,,7,,
"Breno Bernard Nicolau de França","DE FRANÇA, BRENO BERNARD NICOLAU","1","",,,,8,,
"Breno Bernard Nicolau de França","DE FRANÇA, BRENO BERNARD NICOLAU","1","",,,,9,,
"Breno Bernard Nicolau de França","DE FRANÇA, BRENO BERNARD NICOLAU","1","",,,,10,,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.","1","",,,,,0,
"Adailton Magalhães Lima","LIMA, Adailton Magalhães","2","3179032920191179",,,,,0,
"Breno Bernard Nicolau de França","DE FRANÇA, BRENO BERNARD NICOLAU","1","",,,,,1,
"Guilherme Horta Travassos","TRAVASSOS, G. H.","1","7541486051032916",,,,,2,
"Breno Bernard Nicolau de França","de França, B. B. N.","2","",,,,,2,
"Marcos Kalinowski","KALINOWSKI, M.","3","1095304607841635",,,,,2,
"Gleison Santos","SANTOS, G.","4","4616202382103338",,,,,2,
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.","1","",,,,,,0
"Breno Bernard Nicolau de França","DE FRANÇA, BRENO BERNARD NICOLAU","1","",,,,,,1
"TRAVASSOS, GUILHERME HORTA","TRAVASSOS, GUILHERME HORTA","2","7541486051032916",,,,,,1
"Breno Bernard Nicolau de França","FRANÇA, B. B. N.","1","",,,,,,2
