NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PREFACIO-POSFACIO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,DEMAIS-TRABALHOS_Id
"Maria Cecilia Calani Baranauskas","Baranauskas, M. Cecilia C.","1","",,,,,,,,,,,9,,
"Maria Cecilia Calani Baranauskas","Baranauskas, M. Cecília C.","1","",,,,,,,,,,,10,,
"Maria Cecilia Calani Baranauskas","Baranauskas, M. Cecilia C.","1","",,,,,,,,,,,11,,
"Maria Cecilia Calani Baranauskas","Baranauskas, M. Cecilia C.","1","",,,,,,,,,,,12,,
"Maria Cecilia Calani Baranauskas","Baranauskas, M. Cecilia C.","1","",,,,,,,,,,,13,,
"Maria Cecilia Calani Baranauskas","Baranauskas, M. Cecilia C.","1","",,,,,,,,,,,14,,
"Maria Cecilia Calani Baranauskas","Baranauskas, M. Cecilia C.","1","",,,,,,,,,,,15,,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,0,
"Beatriz M Daltrini","DALTRINI, B. M.","2","",,,,,,,,,,,,0,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,1,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,2,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,3,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,4,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,5,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,6,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,7,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,8,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,9,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,10,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,11,
"Oscar Mayora-Ibarra","Mayora-Ibarra, O.","2","",,,,,,,,,,,,11,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,12,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,13,
"Raquel Oliveira Prates","PRATES, Raquel Oliveira","2","",,,,,,,,,,,,13,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,14,
"Kecheng Liu","LIU, K.","2","",,,,,,,,,,,,14,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,15,
"Philippe Palanque","PALANQUE, P.","2","",,,,,,,,,,,,15,
"Julio Abascal","ABASCAL, J.","3","",,,,,,,,,,,,15,
"Simone Diniz Junqueira Barbosa","BARBOSA, S. D. J.","4","",,,,,,,,,,,,15,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,16,
"José Armando Valente","VALENTE, J. A.","2","8919503255281132",,,,,,,,,,,,16,
"Maria Cecilia Calani Baranauskas","BARANAUSKAS, M. C. C.;Baranauskas, M. Cecília C.;Baranauskas, M. Cecilia C.;Baranauskas, Cecilia;BARANAUSKAS, MARIA CECÍLIA CALANI;CECÍLIA CALANI BARANAUSKAS, MARIA;BARANAUSKAS, MARIA CECÍLIA;Baranauskas, M. Cecilia;BARANAUSKAS, M. CECÍLIA;BARANAUSKAS, CECÍLIA;BARANAUSKAS, MARIA CECILIA CALANI","1","1750385790843118",,,,,,,,,,,,17,
