NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id
"Dissertação de mestrado","NAO_INFORMADO","Estudo e Proposta de Práticas Participativas na Gestão de Requisitos","2004","Brasil","Português","","NAO","","",12
"Dissertação de mestrado","NAO_INFORMADO","GECON: Um Gerenciador de Conteúdos na Web para Não Especialistas em Informática","2004","Brasil","Português","","NAO","","",13
"Dissertação de mestrado","ACADEMICO","Visualização de Informação Aplicada a Resultados de Mecanismos de Busca","2005","Brasil","Português","","NAO","","",14
"Dissertação de mestrado","ACADEMICO","Modelagem e Proposta de Sistema para Mediar Processos de Comunicação em Organizações Enxutas","2005","Brasil","Português","","NAO","","",15
"Dissertação de mestrado","NAO_INFORMADO","Linguagens Declarativas e Tecnologias da Web no Desenvolvimento de Interfaces de Usuário de Dispositivos Portáteis","2005","Brasil","Português","","NAO","","",16
"Dissertação de mestrado","NAO_INFORMADO","Apoio à Avaliação de Usabilidade na Web - Desenvolvimento do UseWeb","2006","Brasil","Português","","NAO","","",17
"Dissertação de mestrado","NAO_INFORMADO","Artefatos da Semiótica organizacional na Elicitação de Requisitos para Soluções de Data Warehouse","2006","Brasil","Português","","NAO","","",18
"Dissertação de mestrado","ACADEMICO","Uma Abordagem Semiótica e Participativa para Customização de um Portal Infantil ao Trabalho de Grupos","2006","Brasil","Português","","NAO","","",19
"Dissertação de mestrado","NAO_INFORMADO","Práticas Participativas na Elicitação de Requisitos para Database Marketing","2006","Brasil","Português","","NAO","","",20
"Dissertação de mestrado","ACADEMICO","Interação na TV Digital: Estudo e Proposta de Aplicação em Governo Eletrônico","2008","Brasil","Português","","NAO","","",21
"Dissertação de mestrado","ACADEMICO","Design de interação em serviços inclusivos de governo eletrônico","2008","Brasil","Português","","NAO","","",22
"Dissertação de mestrado","ACADEMICO","Identificação de Padrões de Utilização da Web Mediada por Tecnologias Assistivas","2009","Brasil","Português","","NAO","","",23
"Dissertação de mestrado","ACADEMICO","Aprendizagem Colaborativa Baseada em Problemas ? ACBP: Modelo Conceitual e Ferramentas","2009","Brasil","Português","","NAO","","",24
"Dissertação de mestrado","ACADEMICO","Normas no Desenvolvimento de Ambientes Web Inclusivos e Flexíveis","2010","Brasil","Português","","NAO","","Aspectos Pragmáticos e Sociais no Design e Desenvolvimento de Ambientes Web Inclusivos (provisório)",25
"Dissertação de mestrado","ACADEMICO","Estudo e Proposta de Ferramentas para Comunicação e Expressão em Redes Sociais Inclusivas Online","2010","Brasil","Português","","NAO","","Comunicação e Expressão em Redes Sociais Inclusivas Online: Estudo e Proposta de Ferramentas (provisório)",26
"Dissertação de mestrado","ACADEMICO","Busca Informada por Abordagem Semiótica em Redes Sociais Inclusivas Online","2011","Brasil","Português","","NAO","","",27
"Dissertação de mestrado","ACADEMICO","Redesign de Interfaces de Usuário em Sistemas de Gestão Territorial na Web","2011","Brasil","Português","","NAO","","",28
"Dissertação de mestrado","ACADEMICO","Serviços Públicos em Aplicação Interativa para TV Digital: Viabilizando o Canal da Cidadania","2011","Brasil","Português","","NAO","","",29
"Dissertação de mestrado","ACADEMICO","Jogos Educacionais Tipo RPG: Design e Desenvolvimento Contextualizados no Laptop XO","2013","Brasil","Português","","NAO","","",30
"Dissertação de mestrado","ACADEMICO","Design de Interação em Sistemas Computacionais para apoio à Aprendizagem Ativa: uma Abordagem Sistêmica","2016","Brasil","Português","","NAO","","",31
"Dissertação de mestrado","ACADEMICO","Design e Desenvolvimento de Sistema de Interação Tangível e Estudo de Caso com Crianças Autistas","2016","Brasil","Português","","NAO","","",32
"Dissertação de mestrado","ACADEMICO","LuqDesign e desenvolvimento de um ambiente de programação tangível de baixo custo para crianças","2013","Brasil","Português","","NAO","","",33
"Dissertação de mestrado","ACADEMICO","A Semiotic-Informed Approach to Interface Guidelines for Mobile Applications: A Case Study on Phenology Data Acquisition.","2015","Brasil","Inglês","","NAO","","",34
"Dissertação de mestrado","ACADEMICO","Design e desenvolvimento de um ambiente de programação tangível de baixo custo para crianças","2016","Brasil","Português","","NAO","","",35
"Dissertação de mestrado","NAO_INFORMADO","Usabilidade de Interface Humano-Computador em um Contexto de Excluídos Digitais","2004","Brasil","Português","","NAO","","",36
