DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PREFACIO-POSFACIO_Id,SOFTWARE_Id,PRODUTO-TECNOLOGICO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id
"@inproceedings{LNCS67780345,
  editor  = {A. Ant Ozok and Panayiotis Zaphiris},
  booktitle = {Online Communities and Social Computing},
  publisher = {Springer},
  location = {Heidelberg},
  series  = {Lecture Notes in Computer Science},
  volume  = {6778},
  year   = {2011},
  isbn   = {9783642217951},
  author  = {J\'{u}lio Cesar dos Reis and Rodrigo Bonacin and M. Cec\'{\i}lia C. Baranauskas},
  title   = {Beyond the Social Search: Personalizing the Semantic Search in Social Networks},
  pages   = {345--354}
}","",201,,,,,,,,,,,,,
"Co-located with IWRA IFIP WG8.1 Working Conferenc.e","",202,,,,,,,,,,,,,
"Co-located with IWRA 2011 IFIP WG8.1 Working Conference.","",203,,,,,,,,,,,,,
"ICEIS 2012 Best Student Paper Award","",215,,,,,,,,,,,,,
"","DOI: 10.2316/P.2012.774-033",218,,,,,,,,,,,,,
"","DOI 10.1109/WETICE.2012.60
IEEE CS Press",219,,,,,,,,,,,,,
"","Endorsed by the IW3C2 International World Wide Web Conference Committee",221,,,,,,,,,,,,,
"Recommended Citation
 
Piccolo, Lara Schibelsky Godoy; Scharl, Arno; and Baranauskas, Cecilia, "Design of Eco-Feedback Technology to Motivate Sustainable Behavior: Cultural Aspects in a Brazilian Context" (2012). CONF-IRM 2012 Proceedings. Paper 34.
http://aisel.aisnet.org/confirm2012/34","affiliated conference of the Association for Information Systems (AIS). 
QUALIS B1 na área ENGENHARIA III (Engenharia de produção)",222,,,,,,,,,,,,,
"www.br-ie.org/pub/index.php/sbie","",235,,,,,,,,,,,,,
"Copyright © 2012 by IEEE.","",236,,,,,,,,,,,,,
"DOI 10.1109/ICALT.2013.87","",244,,,,,,,,,,,,,
"DOI 10.1007/978-3-642-40483-2_43","",245,,,,,,,,,,,,,
"paper convidado para publicação em versão estendida em
Management Research Review (formerly Management Research News)
The journal website is located at: http://www.emeraldinsight.com/info/journals/mrr/mrr.jsp","",246,,,,,,,,,,,,,
