TIPO,TITULO-DO-CAPITULO-DO-LIVRO,ANO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-CAPITULO-DO-LIVRO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Capítulo de livro publicado","On the Relationships between Norms, Values and Culture: Preliminary Thoughts in HCI","2015","Estados Unidos","Inglês","VARIOS","http://link.springer.com/10.1007/978-3-319-16274-4_4","NAO","10.1007/978-3-319-16274-4_4","","NAO",47
"Capítulo de livro publicado","Clarifying the Situational Context of a TV Company towards the Design of iDTV Applications","2015","Estados Unidos","Inglês","VARIOS","http://link.springer.com/10.1007/978-3-319-16274-4_8","NAO","10.1007/978-3-319-16274-4_8","","NAO",48
"Capítulo de livro publicado","Socio-Technical Barriers Induced by the Design of Emerging Technologies","2015","Estados Unidos","Inglês","VARIOS","http://link.springer.com/10.1007/978-3-319-20678-3_4","NAO","10.1007/978-3-319-20678-3_4","","NAO",49
"Capítulo de livro publicado","Challenges for Human-Data Interaction - A Semiotic Perspective","2015","Estados Unidos","Inglês","VARIOS","http://link.springer.com/10.1007/978-3-319-20901-2_4","NAO","10.1007/978-3-319-20901-2_4","","NAO",50
"Capítulo de livro publicado","Designing an IDTV Application in a Situated Scenario: A Participatory Approach Based on Patterns","2015","Estados Unidos","Inglês","VARIOS","http://link.springer.com/10.1007/978-3-319-22348-3_19","NAO","10.1007/978-3-319-22348-3_19","","NAO",51
"Capítulo de livro publicado","Value Pie: A Culturally Informed Conceptual Scheme for Understanding Values in Design","2014","Brasil","Português","NAO_INFORMADO","http://link.springer.com/10.1007/978-3-319-07233-3_12","NAO","10.1007/978-3-319-07233-3_12","","NAO",52
"Capítulo de livro publicado","Understanding Pragmatic Aspects with Social Values in Web-Mediated Collaborative Systems","2014","Brasil","Português","NAO_INFORMADO","http://link.springer.com/10.1007/978-3-319-07731-4_47","NAO","10.1007/978-3-319-07731-4_47","","NAO",53
"Capítulo de livro publicado","You Can Interact with Your TV and You May Like It an Investigation on Persuasive Aspects for an iDTV Application","2014","Brasil","Português","NAO_INFORMADO","http://link.springer.com/10.1007/978-3-319-07638-6_21","NAO","10.1007/978-3-319-07638-6_21","","NAO",54
"Capítulo de livro publicado","Designing for Affectibility: Principles and Guidelines","2015","Estados Unidos","Inglês","VARIOS","http://link.springer.com/10.1007/978-3-319-21380-4_5","NAO","10.1007/978-3-319-21380-4_5","","NAO",55
"Capítulo de livro publicado","A TUI-Based Storytelling for Promoting Inclusion in the Preschool Classroom","2015","Estados Unidos","Inglês","VARIOS","http://link.springer.com/10.1007/978-3-319-20684-4_9","NAO","10.1007/978-3-319-20684-4_9","","NAO",56
"Capítulo de livro publicado","Interpretation of Construction Patterns for Biodiversity Spreadsheets","2015","Estados Unidos","Inglês","VARIOS","http://link.springer.com/10.1007/978-3-319-22348-3_22","NAO","10.1007/978-3-319-22348-3_22","","NAO",57
"Capítulo de livro publicado","Heuristics for NUI Revisited and Put into Practice","2015","Estados Unidos","Inglês","VARIOS","http://link.springer.com/10.1007/978-3-319-20916-6_30","NAO","10.1007/978-3-319-20916-6_30","","NAO",58
"Capítulo de livro publicado","FISIR: A Flexible Framework for Interactive Search in Image Retrieval Systems","2015","Estados Unidos","Inglês","VARIOS","http://link.springer.com/10.1007/978-3-319-14445-0_29","NAO","10.1007/978-3-319-14445-0_29","","NAO",59
"Capítulo de livro publicado","A Wearable Face Recognition System Built into a Smartwatch and the Blind and Low Vision Users","2015","Brasil","Português","NAO_INFORMADO","http://link.springer.com/10.1007/978-3-319-29133-8_25","NAO","10.1007/978-3-319-29133-8_25","","NAO",60
"Capítulo de livro publicado","The Social Nature of Programming: Children and Fluency","2017","Canadá","Inglês","MEIO_DIGITAL","http://link.springer.com/10.1007/978-3-319-58077-7_23","NAO","10.1007/978-3-319-58077-7_23","","NAO",61
"Capítulo de livro publicado","An Analysis of Online Discussion Platforms for Academic Deliberation Support","2017","Canadá","Inglês","MEIO_DIGITAL","","NAO","","","NAO",62
"Capítulo de livro publicado","Participatory Icons Specification for Expressing Intentions in Computer-Mediated Communications","2017","Itália","Inglês","MEIO_DIGITAL","","NAO","","","NAO",63
"Capítulo de livro publicado","Interface Design for the Changing Organisation: an Organisational Semiotics Approach","2004","Estados Unidos","Inglês","IMPRESSO","","NAO","","","NAO",64
