TITULO-DO-LIVRO,NUMERO-DE-VOLUMES,PAGINA-INICIAL,PAGINA-FINAL,ISBN,ORGANIZADORES,NUMERO-DA-EDICAO-REVISAO,NUMERO-DA-SERIE,CIDADE-DA-EDITORA,NOME-DA-EDITORA,CAPITULO-DE-LIVRO-PUBLICADO_Id
"Codesign de Redes Digitais - Tecnologia e Educação a Serviço da Inclusão Social","","89","103","9788565848633","Baranauskas, M.C.C.; Martins, M.C.; Valente, J.A.","1","","Porto Alegre","Penso Editora Ltda.",35
"Codesign de Redes Digitais - Tecnologia e Educação a Serviço da Inclusão Social","","294","304","9788565848633","Baranauskas, M.C.C.; Martins, M.C.; Valente, J.A.","1","","Porto Alegre","Penso Editora Ltda.",36
"Frameworks of IT Prosumption for Business Development","","142","157","9781466643130","Pa&#324;kowska, Ma&#322;gorzata","1","","Hershey, Pennsylvania","IGI Global",37
"Information Systems and Modern Society","","171","190","9781466629226","John Wang","1","","Hershey, Pennsylvania","IGI Global",38
"Lecture Notes in Business Information Processing","","340","357","9783642406539","","1","","","Springer Berlin Heidelberg",39
"IFIP Advances in Information and Communication Technology","426","63","73","9783642553547","Kecheng Liu , Stephen R. Gulliver,	Weizi Li, Changrui Yu","1","","Berlin","Springer Berlin Heidelberg",40
"The Evolution of the Internet in the Business Sector: Web 1.0 to Web 3.0","1","52","72","9781466672628","Pedro Isaias, Piet Kommers, Tomaiess Issa","1","","","IGI Global",41
"ABInv - Aprendizagem baseada na investigação.","1","42","64","9788588833098","VALENTE, J.A; BARANAUSKAS, M. C. C.; MARTINS, M. C.. (Org.).","1","","Campinas","UNICAMP NIED",42
"ABInv - Aprendizagem baseada na investigação","1","17","21","9788588833098","VALENTE, J.A; BARANAUSKAS, M. C. C.; MARTINS, M. C.. (Org.).","1","","Campinas","NIED-UNICAMP",43
"ABInv - Aprendizagem baseada na investigação","1","65","100","9788588833098","VALENTE, J.A; BARANAUSKAS, M. C. C.; MARTINS, M. C.. (Org.).","1","","Campinas","NIED-UNICAMP",44
"ABInv - Aprendizagem baseada na investigação","1","347","371","9788588833098","VALENTE, J.A; BARANAUSKAS, M. C. C.; MARTINS, M. C.. (Org.).","1","","Campinas","NIED-UNICAMP",45
"IFIP Advances in Information and Communication Technology","","92","101","9783319162737","","1","","","Springer International Publishing",46
"IFIP Advances in Information and Communication Technology","","30","40","9783319162737","","1","","","Springer International Publishing",47
"IFIP Advances in Information and Communication Technology","","70","79","9783319162737","","1","","","Springer International Publishing",48
"Lecture Notes in Computer Science","","34","45","9783319206776","Margherita Antona; Constantine Stephanidis (Org.).","1","","","Springer International Publishing",49
"Lecture Notes in Computer Science","","37","48","9783319209005","","1","","","Springer International Publishing",50
"Lecture Notes in Business Information Processing","","341","360","9783319223476","","1","","","Springer International Publishing",51
"Lecture Notes in Computer Science","","122","133","9783319072326","","1","","","Springer International Publishing",52
"Lecture Notes in Computer Science","","471","482","9783319077307","","1","","","Springer International Publishing",53
"Lecture Notes in Computer Science","","208","219","9783319076379","","1","","","Springer International Publishing",54
"Communications in Computer and Information Science","","25","31","9783319213798","","1","","","Springer International Publishing",55
"Lecture Notes in Computer Science","","89","100","9783319206837","","1","","","Springer International Publishing",56
"Lecture Notes in Business Information Processing","","397","414","9783319223476","","1","","","Springer International Publishing",57
"Lecture Notes in Computer Science","","317","328","9783319209159","","1","","","Springer International Publishing",58
"Lecture Notes in Computer Science","","335","347","9783319144443","","1","","","Springer International Publishing",59
"Lecture Notes in Business Information Processing","241","515","528","9783319291321","","1","","","Springer International Publishing",60
"Lecture Notes in Computer Science","","291","308","9783319580760","","1","","","Springer International Publishing",61
"Social Computing and Social Media. Applications and Analytics","","91","109","9783319585628","Meiselwitz, Gabriele (Ed.)","1","","","Springer International Publishing",62
"Enterprise Information Systems LNBIP 291","","414","435","9783319623856","S. Hammodi; L.A. Maciaszek, M.M. Missikoff, O. Camp, J. Cordeiro","1","","","Springer International Publishing",63
"Virtual, Distributed and Flexible Organisations","","237","255","9781402021619","Kecheng Liu. (Ed.)","","","The Netherlands","Springer",64
