PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PREFACIO-POSFACIO_Id,SOFTWARE_Id,PATENTE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,DEMAIS-TRABALHOS_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Criança e Mídia","Design de Interfaces","Design Participativo","","","",,,,71,,,,,,,,,,,,,,,,,,,,,,
"Participatory Design","Semiotics","Children","","","",,,,72,,,,,,,,,,,,,,,,,,,,,,
"Sistemas de Informação","Semiótica Organizacional","Interação Humano-Computador","","","",,,,73,,,,,,,,,,,,,,,,,,,,,,
"Semiotics","human-computer interaction","","","","",,,,74,,,,,,,,,,,,,,,,,,,,,,
"human-computer interaction","Organizations","Brazil","","","",,,,75,,,,,,,,,,,,,,,,,,,,,,
"Collaborative Learning System","Collaboration Analysis","","","","",,,,76,,,,,,,,,,,,,,,,,,,,,,
"Participatory Practices","Collaborative Learning System","Interface Evaluation","","","",,,,77,,,,,,,,,,,,,,,,,,,,,,
"Design Participativo","Human-Computer Interface","Children","","","",,,,78,,,,,,,,,,,,,,,,,,,,,,
"Manufacturing Systems","Lean Organization","","","","",,,,79,,,,,,,,,,,,,,,,,,,,,,
"Model - Manufacture - Training","Comunicação","","","","",,,,80,,,,,,,,,,,,,,,,,,,,,,
"Organisational Semiotics","Ontology Chart","System Design","","","",,,,81,,,,,,,,,,,,,,,,,,,,,,
"Organisational Semiotics","Organizations","Software Development","","","",,,,82,,,,,,,,,,,,,,,,,,,,,,
"Participatory Practices","Organisational Semiotics","usability","","","",,,,83,,,,,,,,,,,,,,,,,,,,,,
"Design Participativo","Semiotica","customização","","","",,,,84,,,,,,,,,,,,,,,,,,,,,,
"Collaborative Learning System","Collaboration Analysis","","","","",,,,85,,,,,,,,,,,,,,,,,,,,,,
"Organisational Semiotics","Software Development","","","","",,,,86,,,,,,,,,,,,,,,,,,,,,,
"Avaliação de Interfaces","colaboração","Ferramentas de Comunicação Eletrônica","","","",,,,87,,,,,,,,,,,,,,,,,,,,,,
"Interação Humano-Computador","Sistemas de Informação Geográfica","Interfaces","","","",,,,88,,,,,,,,,,,,,,,,,,,,,,
"Acessibilidade","Avaliação de Interfaces","","","","",,,,89,,,,,,,,,,,,,,,,,,,,,,
"Interação Humano-Computador","informática na educação","Educational Software Design","","","",,,,90,,,,,,,,,,,,,,,,,,,,,,
"Interface Evaluation","Geographic Information System","ISO9241","","","",,,,91,,,,,,,,,,,,,,,,,,,,,,
"Collaborative Learning System","Educational Software Design","","","","",,,,92,,,,,,,,,,,,,,,,,,,,,,
"colaboração","informática na educação","Educational Software Design","","","",,,,93,,,,,,,,,,,,,,,,,,,,,,
"Design de Interfaces","Participatory Practices","Avaliação de Interfaces","Criança e Mídia","","",,,,94,,,,,,,,,,,,,,,,,,,,,,
"Acessibilidade","Criança e Mídia","Design de Interfaces","Educacao","","",,,,95,,,,,,,,,,,,,,,,,,,,,,
"Organisational Semiotics","Information Systems","Software Development","","","",,,,96,,,,,,,,,,,,,,,,,,,,,,
"Organisational Semiotics","Information Systems","","","","",,,,97,,,,,,,,,,,,,,,,,,,,,,
"Organisational Semiotics","Tailorable Interfaces","","","","",,,,98,,,,,,,,,,,,,,,,,,,,,,
"Requirements Engineering","Organisational Semiotics","","","","",,,,99,,,,,,,,,,,,,,,,,,,,,,
"customização","Tailorable Interfaces","Children","Interface Design","","",,,,100,,,,,,,,,,,,,,,,,,,,,,
"accessibility","Geographic Information System","","","","",,,,101,,,,,,,,,,,,,,,,,,,,,,
"Sistemas de Informação Geográfica","Avaliação de Interfaces","","","","",,,,102,,,,,,,,,,,,,,,,,,,,,,
"visualization","information visualization","Interface Design","","","",,,,103,,,,,,,,,,,,,,,,,,,,,,
"Communication","Interfaces","Organizações Enxutas","","","",,,,104,,,,,,,,,,,,,,,,,,,,,,
"ambientes virtuais inclusivos","design universal","","","","",,,,105,,,,,,,,,,,,,,,,,,,,,,
"Avaliação de Interfaces","ambientes virtuais inclusivos","","","","",,,,106,,,,,,,,,,,,,,,,,,,,,,
"Design - Usuario - Interface","TV digital interativa","","","","",,,,107,,,,,,,,,,,,,,,,,,,,,,
"accessibility","Web","Human-Computer Interface","ambientes virtuais inclusivos","","",,,,108,,,,,,,,,,,,,,,,,,,,,,
"Acessibilidade","Web","ambientes virtuais inclusivos","Interação Humano-Computador","","",,,,109,,,,,,,,,,,,,,,,,,,,,,
"Requirements Engineering","Organisational Semiotics","Tailorable Interfaces","","","",,,,110,,,,,,,,,,,,,,,,,,,,,,
"e-Gov","Organisational Semiotics","","","","",,,,111,,,,,,,,,,,,,,,,,,,,,,
"Web","Gerenciador de Conteúdo","informática na educação","","","",,,,112,,,,,,,,,,,,,,,,,,,,,,
"TV digital interativa","Design","","","","",,,,114,,,,,,,,,,,,,,,,,,,,,,
"design universal","Acessibilidade","","","","",,,,115,,,,,,,,,,,,,,,,,,,,,,
"Avaliação de Interfaces","Sistemas de Informação Geográfica","Web","","","",,,,116,,,,,,,,,,,,,,,,,,,,,,
"Tailorable Interfaces","System Design","","","","",,,,117,,,,,,,,,,,,,,,,,,,,,,
"usability","Software Development","","","","",,,,118,,,,,,,,,,,,,,,,,,,,,,
"accessibility","interactive digital TV","","","","",,,,119,,,,,,,,,,,,,,,,,,,,,,
"Semiotics","Tailorable Interfaces","","","","",,,,120,,,,,,,,,,,,,,,,,,,,,,
"Design","Tailorable Interfaces","","","","",,,,121,,,,,,,,,,,,,,,,,,,,,,
"Design","Tailorable Interfaces","","","","",,,,122,,,,,,,,,,,,,,,,,,,,,,
"e-Gov","Tailorable Interfaces","","","","",,,,123,,,,,,,,,,,,,,,,,,,,,,
"critical system","Interface Design","","","","",,,,124,,,,,,,,,,,,,,,,,,,,,,
"e-Gov","Interface Design","","","","",,,,125,,,,,,,,,,,,,,,,,,,,,,
"Requirements Engineering","Communication","critical system","","","",,,,126,,,,,,,,,,,,,,,,,,,,,,
"Tailorable Interfaces","Organisational Semiotics","","","","",,,,127,,,,,,,,,,,,,,,,,,,,,,
"informática na educação","Interfaces","","","","",,,,128,,,,,,,,,,,,,,,,,,,,,,
"Interfaces","informática na educação","","","","",,,,129,,,,,,,,,,,,,,,,,,,,,,
"Organisational Semiotics","Children","Design","","","",,,,130,,,,,,,,,,,,,,,,,,,,,,
"interactive digital TV","Interface Design","","","","",,,,131,,,,,,,,,,,,,,,,,,,,,,
"e-Gov","Tailorable Interfaces","","","","",,,,132,,,,,,,,,,,,,,,,,,,,,,
"TV digital interativa","Interface Design","","","","",,,,133,,,,,,,,,,,,,,,,,,,,,,
"Geographic Information System","Organisational Semiotics","Design","","","",,,,134,,,,,,,,,,,,,,,,,,,,,,
"critical system","Communication","Organisational Semiotics","","","",,,,135,,,,,,,,,,,,,,,,,,,,,,
"accessibility","e-Gov","","","","",,,,136,,,,,,,,,,,,,,,,,,,,,,
"Organisational Semiotics","Tailorable Interfaces","","","","",,,,137,,,,,,,,,,,,,,,,,,,,,,
"Design de Interfaces","Desafios da Computação","","","","",,,,138,,,,,,,,,,,,,,,,,,,,,,
"Design de Interfaces","Desafios da Computação","","","","",,,,139,,,,,,,,,,,,,,,,,,,,,,
"Design - Usuario - Interface","Educational Software Design","Sociedade","","","",,,,140,,,,,,,,,,,,,,,,,,,,,,
"TV digital interativa","e-Gov","Design","","","",,,,141,,,,,,,,,,,,,,,,,,,,,,
"e-Gov","Human-Computer Interface","interactive digital TV","Interface Design","","",,,,142,,,,,,,,,,,,,,,,,,,,,,
"e-Gov","interactive digital TV","Interface Design","","","",,,,143,,,,,,,,,,,,,,,,,,,,,,
"accessibility","Web","Avaliação de Interfaces","","","",,,,144,,,,,,,,,,,,,,,,,,,,,,
"Participatory Design","human-computer interaction","Sociedade","","","",,,,145,,,,,,,,,,,,,,,,,,,,,,
"Acessibilidade","Usabilidade","Design de Interfaces","","","",,,,146,,,,,,,,,,,,,,,,,,,,,,
"TV digital interativa","design universal","","","","",,,,147,,,,,,,,,,,,,,,,,,,,,,
