DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id
"Coordenadora do Comite de Programa, Membro do comite organizador","",,,,,,,,4,,,
"Trabalho realizado em convenio com a Marinha do Brasil","",,,,,,,,,19,,
"Trabalho desenvolvido em cooperação com o CNPTIA-EMBRAPA. Co-orientador Eduardo Delgado Assad","",,,,,,,,,25,,
"Linha de pesquisa Sistemas de Informação Geográfica","",,,,,,,,,26,,
"Defendido em 03/2005 - dentro de projeto com CPqD
Linha de pesquisa - sistemas de informacao geografica","",,,,,,,,,29,,
"Defesa em 04 2005
Linha de pesquisa - sistemas de informacao, bancos de dados","",,,,,,,,,30,,
"Defesa 04/2005 - Linha de pesquisa sistemas de informacao","",,,,,,,,,31,,
"Linha de pesquisa - Sistemas de Informacao/ Bancos de dados
Defesa dezembro 2005","",,,,,,,,,32,,
"Defesa - dezembro 2006","",,,,,,,,,33,,
"Associado ao projeto WeBIOS, financiado pela Microsoft Research","",,,,,,,,,35,,
"Defesa em dezembro de 2003","",,,,,,,,,,1,
"Orientador principal - Edmundo Madeira","",,,,,,,,,,3,
"Defesa em agosto de 2006. Linha de pesquisa Sistemas de Informação; Professor da UNIFACS","",,,,,,,,,,4,
"Associada a linha de pesquisa sistemas de informacao geografica. Orientadora principal Maria Cecilia Calani Baranauskas","",,,,,,,,,,5,
"Orientador principal Alberto Henrique Frade Laender","",,,,,,,,,,6,
"Orientador principal - J. C. Setubal","",,,,,,,,,,8,
"Aluna do Instituto de Artes, UNICAMP","",,,,,,,,,,,3
"Dois anos de bolsa - 2008 a 2009","",,,,,,,,,,,4
"","Proc. 102212/2000-7",,,,,,,,,,,8
"Bolsa associada ao INCT Web Science","",,,,,,,,,,,13
