NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,FLAG-RELEVANCIA,DOI,TITULO-INGLES,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id
"Dissertação de mestrado","ACADEMICO","Proposta para o Banco de Dados do Projeto WebMaps","2006","Brasil","Português","","NAO","","",33
"Dissertação de mestrado","ACADEMICO","Gerenciamento de Rastreabilidade em Cadeias Produtivas Agropecuárias","2007","Brasil","Português","","NAO","","",34
"Dissertação de mestrado","ACADEMICO","Uma Arquitetura para Consultas a Repositórios de Biodiversidade na Web","2007","Brasil","Português","","NAO","","",35
"Dissertação de mestrado","ACADEMICO","Aondê: Um Servico Web de Ontologias para Interoperabilidade em Sistemas de Biodiversidade","2007","Brasil","Português","","NAO","","",36
"Dissertação de mestrado","ACADEMICO","Controle de Acesso para Bancos de Dados Geográficos Multiversão","2007","Brasil","Português","","NAO","","",37
"Dissertação de mestrado","ACADEMICO","Gerenciamento de regras de qualidade em cadeias produtivas","2009","Brasil","Português","","NAO","","",38
"Dissertação de mestrado","ACADEMICO","Mineracão de Séries Temporais de Dados de Sensores","2008","Brasil","Português","","NAO","","",39
"Dissertação de mestrado","ACADEMICO","Processamento de consultas baseado em ontologias para sistemas de biodiversidade","2009","Brasil","Português","","NAO","","",40
"Dissertação de mestrado","ACADEMICO","Gerenciamento de Anotações Semânticas de Dados na Web para Aplicações Agrícolas","2010","Brasil","Português","","NAO","","",41
"Dissertação de mestrado","ACADEMICO","Um Serviço de Gerenciamento de Coletas para Sistemas de Biodiversidade","2009","Brasil","Português","","NAO","","",42
"Dissertação de mestrado","ACADEMICO","Mecanismos de Anotação Semântica para Workflows Científicos","2009","Brasil","Português","","NAO","","",43
"Dissertação de mestrado","ACADEMICO","Busca multimodal para apoio à pesquisa em biodiversidade","2011","Brasil","Português","","NAO","","",44
"Dissertação de mestrado","ACADEMICO","Shadows - a new means of representing documents","2012","Brasil","Inglês","","NAO","","",45
"Dissertação de mestrado","ACADEMICO","Apoio ao Estudo de Correlacoes entre Series Temporais baseadas em Anotacoes Semanticas","2015","Brasil","Português","","NAO","","",46
"Dissertação de mestrado","ACADEMICO","Management of integrity constraints for multi-scale geospatial data","2013","Brasil","Inglês","","NAO","","",47
"Dissertação de mestrado","ACADEMICO","Serial Annotator: managing annotations of time series","2013","Brasil","Inglês","","NAO","","",48
"Dissertação de mestrado","ACADEMICO","Quality Flow: a collaborative quality-aware platform for experiments in eScience","2015","Brasil","Inglês","","NAO","","",49
"Dissertação de mestrado","ACADEMICO","Especificacao e Deteccao de Padroes Complexos de Variaveis Ambientais em Aplicacoes de Biodiversidade","2015","Brasil","Português","","NAO","","",50
"Dissertação de mestrado","ACADEMICO","WASIS - Bioacoustics Species Identification Based on Multiple Feature Extraction and Classification Algorithms","2017","Brasil","Inglês","","NAO","","",51
"Dissertação de mestrado","ACADEMICO","Sistema de operações em álgebra relacional não-normalizada","1991","Brasil","Português","","NAO","","",52
