PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-POS-DOUTORADO_Id
"Ontology Management","Web Services","","","","",,,,,24,,,,,,,,,,,,,,
"Bioinformatica","Bancos de dados genomicos","","","","",,,,,25,,,,,,,,,,,,,,
"GIS","","","","","",,,,,26,,,,,,,,,,,,,,
"Semantic annotations","Planning in agriculture","","","","",,,,,27,,,,,,,,,,,,,,
"sensor network","Standards for interoperability","eScience","Geospatial data processing","","",,,,,28,,,,,,,,,,,,,,
"Annotations","Ontology Management","","","","",,,,,29,,,,,,,,,,,,,,
"Intelligent Transportation Services - ITS","sensor network","Time series","","","",,,,,30,,,,,,,,,,,,,,
"sensor network","Time series","data mining","","","",,,,,31,,,,,,,,,,,,,,
"Workflows","negotiation protocols","","","","",,,,,32,,,,,,,,,,,,,,
"sensor network","Sistemas de informacao, agricultura","","","","",,,,,33,,,,,,,,,,,,,,
"Geographic Information Retrieval","Ontologias","Bancos de Dados, Sistemas Geograficos","","","",,,,,34,,,,,,,,,,,,,,
"Desafios na Computação","","","","","",,,,,35,,,,,,,,,,,,,,
"bancos de dados cientificos","","","","","",,,,,36,,,,,,,,,,,,,,
"Animal sounds","","","","","",,,,,37,,,,,,,,,,,,,,
