NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",0,,,,,,,,,,,
"Jayaram K Udupa","UDUPA, J. K.","2","",0,,,,,,,,,,,
"Flávio K Miyazawa","MIYAZAWA, F. K.","3","8436515676441851",0,,,,,,,,,,,
"Cândido F X de Mendonça","MENDONÇA, C. F. X.","1","1539584880795958",1,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",1,,,,,,,,,,,
"Augusto C Vannini","VANNINI, A. C.","3","",1,,,,,,,,,,,
"José J Lunazzi","LUNAZZI, J. J.","4","4399449818488690",1,,,,,,,,,,,
"Giulliano P Carnielli","CARNIELLI, G. P.","1","4086358353418514",2,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",2,,,,,,,,,,,
"Jayaram K Udupa","UDUPA, J. K.","3","",2,,,,,,,,,,,
"Antonio C F Pessoa","PESSOA, A. C. F.","1","6427481874583205",3,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",3,,,,,,,,,,,
"Ana Elisa de Faria e Silva","SILVA, A. E. F. E.","3","",3,,,,,,,,,,,
"Ricardo M Nishihara","NISHIHARA, R. M.","4","2068167791606830",3,,,,,,,,,,,
"Roberto de A Lotufo","LOTUFO, Roberto de A","5","9224426261471914",3,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",4,,,,,,,,,,,
"Jayaram K Udupa","UDUPA, J. K.","2","",4,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",5,,,,,,,,,,,
"Antonio C F Pessoa","PESSOA, A. C. F.","2","6427481874583205",5,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",6,,,,,,,,,,,
"Jayaram K Udupa","UDUPA, J. K.","2","",6,,,,,,,,,,,
"Supun Samarasekera","SAMARASEKERA, S.","3","",6,,,,,,,,,,,
"Bruce E Hirsch","HIRSCH, B. E.","4","",6,,,,,,,,,,,
"Roberto de A Lotufo","LOTUFO, Roberto de A","5","9224426261471914",6,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, Roberto de Alencar","1","9224426261471914",7,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",7,,,,,,,,,,,
"Ricardo Nishihara","NISHIHARA, R.","1","2068167791606830",8,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",8,,,,,,,,,,,
"Antônio Pessoa","PESSOA, A.","3","6427481874583205",8,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, Roberto de Alencar","1","9224426261471914",9,,,,,,,,,,,
"Wellington DF da Silva","SILVA, W. D.","2","",9,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","3","7533729699758819",9,,,,,,,,,,,
"Renato O Stehling","STEHLING, R. O.","1","6780548183444767",10,,,,,,,,,,,
"Mário A Nascimento","NASCIMENTO, M. A.","2","",10,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","3","7533729699758819",10,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",11,,,,,,,,,,,
"Bruno Santos da Cunha","CUNHA, B. S.","2","",11,,,,,,,,,,,
"Roberto de A Lotufo","LOTUFO, Roberto de A","3","9224426261471914",11,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",12,,,,,,,,,,,
"Bruno Santos da Cunha","CUNHA, B. S.","2","",12,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, Roberto de Alencar","1","9224426261471914",13,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",13,,,,,,,,,,,
"Francisco A Zampirolli","ZAMPIROLLI, F. A.","3","",13,,,,,,,,,,,
"Renato O Stehling","STEHLING, R. O.","1","6780548183444767",14,,,,,,,,,,,
"Mário A Nascimento","NASCIMENTO, M. A.","2","",14,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","3","7533729699758819",14,,,,,,,,,,,
"Lazslo G Nyúl","NYÚL, L. G.","1","",15,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",15,,,,,,,,,,,
"Jayaram K Udupa","UDUPA, J. K.","3","",15,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, Roberto de Alencar","1","9224426261471914",16,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",16,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",17,,,,,,,,,,,
"Roberto de A Lotufo","LOTUFO, Roberto de A","2","9224426261471914",17,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, Roberto de Alencar","1","9224426261471914",18,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",18,,,,,,,,,,,
"Roberto J Gonçalves","GONÇALVES, R. J.","3","",18,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",19,,,,,,,,,,,
"Roberto de A Lotufo","LOTUFO, Roberto de A","2","9224426261471914",19,,,,,,,,,,,
"Roberto J Gonçalves","GONÇALVES, R. J.","3","",19,,,,,,,,,,,
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","1","3790201696145434",20,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",20,,,,,,,,,,,
"Luciano da Fontoura Costa","COSTA, Luciano da Fontoura","3","5337976093923686",20,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",21,,,,,,,,,,,
"Leonardo Marques da Rocha","ROCHA, L. M.","2","1691967052471277",21,,,,,,,,,,,
"Jayaram K Udupa","UDUPA, J. K.","3","",21,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, Roberto de Alencar","1","9224426261471914",22,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",22,,,,,,,,,,,
"Francisco de Assis Zampirolli","ZAMPIROLLI, F. A.","3","",22,,,,,,,,,,,
"Leonardo Marques Rocha","ROCHA, Leonardo Marques","1","1691967052471277",23,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","2","7533729699758819",23,,,,,,,,,,,
"Renato de Oliveira Stehling","STEHLING, R. O.","1","6780548183444767",24,,,,,,,,,,,
"Mário A Nascimento","NASCIMENTO, M. A.","2","",24,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","3","7533729699758819",24,,,,,,,,,,,
"Renato de Oliveira Stehling","STEHLING, R. O.","1","6780548183444767",25,,,,,,,,,,,
"Mário A Nascimento","NASCIMENTO, M. A.","2","",25,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","3","7533729699758819",25,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",26,,,,,,,,,,,
"Leonardo Marques Rocha","ROCHA, Leonardo Marques","2","1691967052471277",26,,,,,,,,,,,
"Jayaram K Udupa","UDUPA, J. K.","3","",26,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",27,,,,,,,,,,,
"Felipe P Guazzi Bergo","BERGO, Felipe P Guazzi","2","5311172857522399",27,,,,,,,,,,,
"G Castellano","CASTELLANO, G.","1","5993832413749292",28,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, Roberto de Alencar","2","9224426261471914",28,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","3","7533729699758819",28,,,,,,,,,,,
"Fernando Cendes","CENDES, F.","4","4754944655427183",28,,,,,,,,,,,
"G Castellano","CASTELLANO, G.","1","5993832413749292",29,,,,,,,,,,,
"Roberto de Alencar Lotufo","LOTUFO, Roberto de Alencar","2","9224426261471914",29,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","3","7533729699758819",29,,,,,,,,,,,
"Fernando Cendes","CENDES, F.","4","4754944655427183",29,,,,,,,,,,,
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","1","3790201696145434",30,,,,,,,,,,,
"Eduardo Picado","PICADO, E.","2","",30,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","3","7533729699758819",30,,,,,,,,,,,
"Luciano da Fontoura Costa","COSTA, Luciano da Fontoura","4","5337976093923686",30,,,,,,,,,,,
"Roberto de A Lotufo","LOTUFO, Roberto de A","1","9224426261471914",31,,,,,,,,,,,
"Rubens Machado","MACHADO, Rubens","2","",31,,,,,,,,,,,
"F C Flores","FLORES, F C","3","",31,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","4","7533729699758819",31,,,,,,,,,,,
"R L Koo","KOO, R L","5","",31,,,,,,,,,,,
"G S Mazzela","MAZZELA, G S","6","",31,,,,,,,,,,,
"R M da Costa","COSTA, R M da","7","",31,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",32,,,,,,,,,,,
"Felipe G Bergo","BERGO, Felipe G","2","5311172857522399",32,,,,,,,,,,,
"Paulo Andre V Miranda","MIRANDA, Paulo Andre V","3","5251389003736909",32,,,,,,,,,,,
"Romaric Audigier","AUDIGIER, Romaric","1","4827533910592275",33,,,,,,,,,,,
"Roberto de A Lotufo","LOTUFO, Roberto de A","2","9224426261471914",33,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","3","7533729699758819",33,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","1","7533729699758819",34,,,,,,,,,,,
"Paulo André V Miranda","MIRANDA, Paulo André V","2","5251389003736909",34,,,,,,,,,,,
"Anderson Rocha","ROCHA, Anderson","3","1521815731111261",34,,,,,,,,,,,
"Paulo Andre V Miranda","MIRANDA, Paulo Andre V","1","5251389003736909",35,,,,,,,,,,,
"Ricardo da Silva Torres","TORRES, Ricardo da Silva","2","3790201696145434",35,,,,,,,,,,,
"Alexandre Xavier Falcão","FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER","3","7533729699758819",35,,,,,,,,,,,
