SEQUENCIA-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT,TIPO-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT-INGLES,PRODUCOES-CT-DO-PROJETO_Id
"161","Learning How to Extract Rotation-Invariant and Scale-Invariant Features from Texture Images","Artigo publicado em periódicos(Completo)","Learning How to Extract Rotation-Invariant and Scale-Invariant Features from Texture Images",1
"163","Recentes Avanços Tecnológicos no Exame Parasitológico de Amostras de Fezes","Artigo publicado em periódicos(Completo)","",1
"168","Sistema para Diagóstico de Parasitos Intestinais por Análise Computadorizada de Imagens e Uso do Referido Sistema","Produto Tecnológico(Projeto)","",1
"179","A new optimum-path forest approach for pattern classification","Trabalho publicado em anais de eventos(Completo)","",1
"180","Shape  Descriptors based on Tensor Scale","Trabalho publicado em anais de eventos(Completo)","",1
"1","An Ultra-Fast User-Steered Segmentation Paradigm: Live-Wire-On-The-Fly","Trabalho publicado em anais de eventos(Completo)","",2
"2","Fast Holographic Stereograms Display using Shell Rendering and a Holographic Screen","Trabalho publicado em anais de eventos(Completo)","",2
"3","Fast Digital Perspective Shell Rendering","Trabalho publicado em anais de eventos(Completo)","",2
"11","An ultra-fast user-steered image segmentation paradigm: live wire on the fly","Artigo publicado em periódicos(Completo)","An ultra-fast user-steered image segmentation paradigm: live wire on the fly",2
"17","Design of Connected Operators using the Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",2
"18","Multiscale Shape Representation by the Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",2
"19","Fast Euclidean Distance Transform using a Graph-Search Algorithm","Trabalho publicado em anais de eventos(Completo)","",2
"21","A 3D generalization of user-steered live-wire segmentation","Artigo publicado em periódicos(Completo)","A 3D generalization of user-steered live-wire segmentation",2
"24","Fuzzy-Connected 3D Image Segmentation at Interactive Speeds","Trabalho publicado em anais de eventos(Completo)","",2
"17","Design of Connected Operators using the Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",3
"18","Multiscale Shape Representation by the Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",3
"29","Multiscale skeletons by image foresting transform and its application to neuromorphometry","Artigo publicado em periódicos(Completo)","Multiscale skeletons by image foresting transform and its application to neuromorphometry",3
"34","IFT-Watershed from a Gray Scale Marker","Trabalho publicado em anais de eventos(Completo)","",3
"52","The Iterative Image Foresting Transform and its Application to User-Steered Image Segmentation","Trabalho publicado em anais de eventos(Completo)","",3
"55","Characterization of the Human Cortex in MR images through the image foresting transform","Trabalho publicado em anais de eventos(Completo)","",3
"56","Sulcal lines extraction for cortex characterization in cerebral MR images using the image foresting transform","Trabalho publicado em anais de eventos(Completo)","",3
"59","LiveWire-Segmentação Interativa de Imagens por Perseguição de Bordas","Software(Computacional)","",3
"60","IVS - Interactive Volume Segmentation","Software(Computacional)","",3
"32","Cell Histograms Versus Color Histograms for Image Representation and Retrieval","Artigo publicado em periódicos(Completo)","Cell Histograms Versus Color Histograms for Image Representation and Retrieval",4
"50","Fuzzy-connected 3D image segmentation at interactive speeds","Artigo publicado em periódicos(Completo)","Fuzzy-connected 3D image segmentation at interactive speeds",4
"51","A Combined Approach of Shell and Shear-Warp Rendering for Efficient Volume Visualization","Trabalho publicado em anais de eventos(Completo)","",4
"52","The Iterative Image Foresting Transform and its Application to User-Steered Image Segmentation","Trabalho publicado em anais de eventos(Completo)","",4
"54","Iso-Shaping Rigid Bodies for Estimating Their Motion From Image Sequences","Artigo publicado em periódicos(Completo)","Iso-Shaping Rigid Bodies for Estimating Their Motion From Image Sequences",4
"55","Characterization of the Human Cortex in MR images through the image foresting transform","Trabalho publicado em anais de eventos(Completo)","",4
"56","Sulcal lines extraction for cortex characterization in cerebral MR images using the image foresting transform","Trabalho publicado em anais de eventos(Completo)","",4
"57","Effective Image Retrieval by Shape Salience","Trabalho publicado em anais de eventos(Completo)","",4
"59","LiveWire-Segmentação Interativa de Imagens por Perseguição de Bordas","Software(Computacional)","",4
"60","IVS - Interactive Volume Segmentation","Software(Computacional)","",4
"61","Interactive Volume Segmentation With Differential Image Foresting Transforms","Artigo publicado em periódicos(Completo)","Interactive Volume Segmentation With Differential Image Foresting Transforms",4
"69","On Integrating Iterative Segmentation by Watershed with Tridimensional Visualization of MRIs","Trabalho publicado em anais de eventos(Completo)","",4
"70","3DView","Software(Computacional)","",4
"121","Introdução ao Processamento de Imagens Médicas","Participações em eventos(Oficina)","",4
"127","XVI Brazilian Symposium on Computer Graphics and Image Processing (Program Committee)","Organização de evento(Congresso)","",4
"139","Fast and Robust Mid-Saggital Plane Location in 3D MR Images of the Brain","Trabalho publicado em anais de eventos(Completo)","",4
"144","Oropharyngeal Dysphagia Identification Using Wavelets and Optimum Path Forest","Trabalho publicado em anais de eventos(Completo)","",4
"166","Data clustering as an optimum-path forest problem with applications in image analysis","Artigo publicado em periódicos(Completo)","Data clustering as an optimum-path forest problem with applications in image analysis",4
"167","Supervised pattern classification based on optimum-path forest","Artigo publicado em periódicos(Completo)","Supervised pattern classification based on optimum-path forest",4
"178","Object Delineation by ?-Connected Components","Artigo publicado em periódicos(Completo)","Object Delineation by ?-Connected Components",4
"181","Combining global with local texture information for image retrieval applications","Trabalho publicado em anais de eventos(Completo)","",4
"182","Novel Approaches for Exclusive and Continuous Fingerprint Classification","Trabalho publicado em anais de eventos(Completo)","",4
"71","Object Detection by kappa-connected seed competition","Trabalho publicado em anais de eventos(Completo)","",5
"72","TSD: A Shape Descriptor Based on a Distribution of Tensor Scale Local Orientation","Trabalho publicado em anais de eventos(Completo)","",5
"73","A New Framework to Combine Descriptors for Content-Based Image Retrieval","Trabalho publicado em anais de eventos(Resumido)","",5
"138","Automatic Image Segmentation by Tree Pruning","Artigo publicado em periódicos(Completo)","",5
"145","CLOUDS: A Model for Synergistic Image Segmentation","Trabalho publicado em anais de eventos(Completo)","",5
"146","Clustering by Optimum Path Forest and its Application to Automatic GM/WM Classification in MR-T1 Images of the Brain","Trabalho publicado em anais de eventos(Completo)","",5
"147","FCD Segmentation using Texture Asymmetry of MR-T1 Images of the Brain","Trabalho publicado em anais de eventos(Completo)","",5
"150","FCD Segmentation using Texture Asymmetry of MR-T1 Images of the Brain","Participações em eventos(Congresso)","",5
"152","Fast and Robust Mid-Saggital Plane Location in 3D MR Images of the Brain","Participações em eventos(Congresso)","",5
"176","Computação Visual em Medicina e Saúde","Participações em eventos(Encontro)","",5
"188","A Learning Algorithm for the Optimum-Path Forest Classifier","Trabalho publicado em anais de eventos(Completo)","",5
"191","Links Between Image Segmentation Based on Optimum-Path Forest and Minimum Cut in Graph","Artigo publicado em periódicos(Completo)","Links Between Image Segmentation Based on Optimum-Path Forest and Minimum Cut in Graph",5
"194","Focal Cortical Dysplasia Segmentation in 3D Magnetic Resonance Images of the Human Brain","Trabalho publicado em anais de eventos(Completo)","",5
"195","Cloud Bank: A multiple Clouds Model and its use in MR Brain Image Segmentation","Trabalho publicado em anais de eventos(Completo)","",5
"196","Synergistic arc-weight estimation for interactive image segmentation using graphs","Artigo publicado em periódicos(Completo)","",5
"209","Fast interactive segmentation of natural images using the Image Foresting Transform","Participações em eventos(Congresso)","Fast interactive segmentation of natural images using the Image Foresting Transform",5
"113","Ambiente de Gerenciamento de Imagens e Dados Espaciais para Desenvolvimento de Aplicações em Biodiversidade","Trabalho publicado em anais de eventos(Completo)","",6
"153","Conference on Information and Knowledge Managements","Organização de evento(Congresso)","",6
"162","A genetic programming framework for content-based image retrieval","Artigo publicado em periódicos(Completo)","A genetic programming framework for content-based image retrieval",6
"173","Recuperação de Imagens Baseada em Conteúdo","Capítulo de livro publicado","",6
"175","Recuperação de Imagens Baseada em Conteúdo","Participações em eventos(Encontro)","",6
"139","Fast and Robust Mid-Saggital Plane Location in 3D MR Images of the Brain","Trabalho publicado em anais de eventos(Completo)","",7
"145","CLOUDS: A Model for Synergistic Image Segmentation","Trabalho publicado em anais de eventos(Completo)","",7
"146","Clustering by Optimum Path Forest and its Application to Automatic GM/WM Classification in MR-T1 Images of the Brain","Trabalho publicado em anais de eventos(Completo)","",7
"147","FCD Segmentation using Texture Asymmetry of MR-T1 Images of the Brain","Trabalho publicado em anais de eventos(Completo)","",7
"148","A Robust Extension of the Mean Shift Algorithm using Optimum Path Forest","Trabalho publicado em anais de eventos(Completo)","",7
"150","FCD Segmentation using Texture Asymmetry of MR-T1 Images of the Brain","Participações em eventos(Congresso)","",7
"152","Fast and Robust Mid-Saggital Plane Location in 3D MR Images of the Brain","Participações em eventos(Congresso)","",7
"166","Data clustering as an optimum-path forest problem with applications in image analysis","Artigo publicado em periódicos(Completo)","Data clustering as an optimum-path forest problem with applications in image analysis",7
"167","Supervised pattern classification based on optimum-path forest","Artigo publicado em periódicos(Completo)","Supervised pattern classification based on optimum-path forest",7
"172","A Fast and Automatic Method for 3D Rigid Registration of MR Images of the Human Brain","Trabalho publicado em anais de eventos(Completo)","",7
"174","Fast, Accurate and Precise Mid-Saggital Plane Location in 3D MR Images of the Brain","Capítulo de livro publicado","",7
"176","Computação Visual em Medicina e Saúde","Participações em eventos(Encontro)","",7
"185","Processamento, Visualização e Análise de Imagens Anatômicas do Cérebro Humano","Capítulo de livro publicado","",7
"188","A Learning Algorithm for the Optimum-Path Forest Classifier","Trabalho publicado em anais de eventos(Completo)","",7
"191","Links Between Image Segmentation Based on Optimum-Path Forest and Minimum Cut in Graph","Artigo publicado em periódicos(Completo)","Links Between Image Segmentation Based on Optimum-Path Forest and Minimum Cut in Graph",7
"192","On the Training Patters Pruning for Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",7
"194","Focal Cortical Dysplasia Segmentation in 3D Magnetic Resonance Images of the Human Brain","Trabalho publicado em anais de eventos(Completo)","",7
"195","Cloud Bank: A multiple Clouds Model and its use in MR Brain Image Segmentation","Trabalho publicado em anais de eventos(Completo)","",7
"196","Synergistic arc-weight estimation for interactive image segmentation using graphs","Artigo publicado em periódicos(Completo)","",7
"199","A comparative study among pattern classifiers in interactive image segmentation","Trabalho publicado em anais de eventos(Completo)","",7
"207","Fast and Robust Object Tracking using Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",7
"208","The Image Foresting Transform: Recent Advances and Perspectives","Participações em eventos(Congresso)","The Image Foresting Transform: Recent Advances and Perspectives",7
"218","Improving User Control with Minimum Involvement in User-Guided Segmentation by Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",7
"224","A Novel and Powerful Framework for Supervised Graph-based Pattern Recognition Techniques","Trabalho publicado em anais de eventos(Completo)","",7
"225","Exploiting optimum connectivity in image analysis","Artigo publicado em periódicos(Completo)","",7
"244","Fast and Accurate Image Registration using the Multiscale Parametric Space and Grayscale Watershed","Trabalho publicado em anais de eventos(Completo)","",7
"251","Fuzzy Object Modelling","Trabalho publicado em anais de eventos(Completo)","",7
"252","Comparison of Fuzzy Connectedness and Graph Cut Segmentation Algorithms","Trabalho publicado em anais de eventos(Completo)","",7
"258","A new symmetry-based method for mid-sagittal plane extraction in neuroimages","Trabalho publicado em anais de eventos(Completo)","",7
"259","How to Fix any 3D Segmentation Interactively via Image Foresting Transform and its use in MRI Brain Segmentation","Trabalho publicado em anais de eventos(Completo)","",7
"134","A system for diagnosing intestinal parasites by computerized image analysis","Produto Tecnológico(Projeto)","",8
"139","Fast and Robust Mid-Saggital Plane Location in 3D MR Images of the Brain","Trabalho publicado em anais de eventos(Completo)","",8
"144","Oropharyngeal Dysphagia Identification Using Wavelets and Optimum Path Forest","Trabalho publicado em anais de eventos(Completo)","",8
"145","CLOUDS: A Model for Synergistic Image Segmentation","Trabalho publicado em anais de eventos(Completo)","",8
"146","Clustering by Optimum Path Forest and its Application to Automatic GM/WM Classification in MR-T1 Images of the Brain","Trabalho publicado em anais de eventos(Completo)","",8
"147","FCD Segmentation using Texture Asymmetry of MR-T1 Images of the Brain","Trabalho publicado em anais de eventos(Completo)","",8
"148","A Robust Extension of the Mean Shift Algorithm using Optimum Path Forest","Trabalho publicado em anais de eventos(Completo)","",8
"149","A Discrete Approach for Supervised Pattern Recognition.","Trabalho publicado em anais de eventos(Completo)","",8
"151","A Discrete Approach for Supervised Pattern Recognition.","Participações em eventos(Congresso)","",8
"152","Fast and Robust Mid-Saggital Plane Location in 3D MR Images of the Brain","Participações em eventos(Congresso)","",8
"153","Conference on Information and Knowledge Managements","Organização de evento(Congresso)","",8
"154","Intl. Symp. on Biomedical Imaging","Organização de evento(Congresso)","",8
"161","Learning How to Extract Rotation-Invariant and Scale-Invariant Features from Texture Images","Artigo publicado em periódicos(Completo)","Learning How to Extract Rotation-Invariant and Scale-Invariant Features from Texture Images",8
"162","A genetic programming framework for content-based image retrieval","Artigo publicado em periódicos(Completo)","A genetic programming framework for content-based image retrieval",8
"163","Recentes Avanços Tecnológicos no Exame Parasitológico de Amostras de Fezes","Artigo publicado em periódicos(Completo)","",8
"166","Data clustering as an optimum-path forest problem with applications in image analysis","Artigo publicado em periódicos(Completo)","Data clustering as an optimum-path forest problem with applications in image analysis",8
"172","A Fast and Automatic Method for 3D Rigid Registration of MR Images of the Human Brain","Trabalho publicado em anais de eventos(Completo)","",8
"173","Recuperação de Imagens Baseada em Conteúdo","Capítulo de livro publicado","",8
"175","Recuperação de Imagens Baseada em Conteúdo","Participações em eventos(Encontro)","",8
"176","Computação Visual em Medicina e Saúde","Participações em eventos(Encontro)","",8
"177","XXI Brazilian Symposium on Computer Graphics and Image Processing.(Program Committee)","Organização de evento(Congresso)","",8
"178","Object Delineation by ?-Connected Components","Artigo publicado em periódicos(Completo)","Object Delineation by ?-Connected Components",8
"179","A new optimum-path forest approach for pattern classification","Trabalho publicado em anais de eventos(Completo)","",8
"180","Shape  Descriptors based on Tensor Scale","Trabalho publicado em anais de eventos(Completo)","",8
"181","Combining global with local texture information for image retrieval applications","Trabalho publicado em anais de eventos(Completo)","",8
"182","Novel Approaches for Exclusive and Continuous Fingerprint Classification","Trabalho publicado em anais de eventos(Completo)","",8
"185","Processamento, Visualização e Análise de Imagens Anatômicas do Cérebro Humano","Capítulo de livro publicado","",8
"186","A General Image Processing Architecture for FPGA","Trabalho publicado em anais de eventos(Completo)","",8
"187","XXIInd Brazilian Symposium on Computer Graphics and Image Processing","Organização de evento(Congresso)","",8
"188","A Learning Algorithm for the Optimum-Path Forest Classifier","Trabalho publicado em anais de eventos(Completo)","",8
"189","Land Use Classification using Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",8
"190","Shape feature extraction and description based on tensor scale","Artigo publicado em periódicos(Completo)","Shape feature extraction and description based on tensor scale",8
"191","Links Between Image Segmentation Based on Optimum-Path Forest and Minimum Cut in Graph","Artigo publicado em periódicos(Completo)","Links Between Image Segmentation Based on Optimum-Path Forest and Minimum Cut in Graph",8
"192","On the Training Patters Pruning for Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",8
"193","Optimum-Path Forest: A Novel and Powerful Framework for Supervised Graph-based Pattern Recognition Techniques","Trabalho publicado em anais de eventos(Completo)","",8
"194","Focal Cortical Dysplasia Segmentation in 3D Magnetic Resonance Images of the Human Brain","Trabalho publicado em anais de eventos(Completo)","",8
"195","Cloud Bank: A multiple Clouds Model and its use in MR Brain Image Segmentation","Trabalho publicado em anais de eventos(Completo)","",8
"196","Synergistic arc-weight estimation for interactive image segmentation using graphs","Artigo publicado em periódicos(Completo)","",8
"197","Fast interactive segmentation of natural images using the Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",8
"199","A comparative study among pattern classifiers in interactive image segmentation","Trabalho publicado em anais de eventos(Completo)","",8
"200","Fast and Accurate Holistic Face Recognition using Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",8
"205","Optimum-Path Forest-based Models for Rainfall Estimation","Trabalho publicado em anais de eventos(Completo)","",8
"206","Infrared Face Recogniton by Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",8
"207","Fast and Robust Object Tracking using Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",8
"208","The Image Foresting Transform: Recent Advances and Perspectives","Participações em eventos(Congresso)","The Image Foresting Transform: Recent Advances and Perspectives",8
"209","Fast interactive segmentation of natural images using the Image Foresting Transform","Participações em eventos(Congresso)","Fast interactive segmentation of natural images using the Image Foresting Transform",8
"210","Fast and Accurate Holistic Face Recognition using Optimum-Path Forest","Participações em eventos(Congresso)","Fast and Accurate Holistic Face Recognition using Optimum-Path Forest",8
"211","SPIE on Medical Imaging: Visualization, Image-Guided Procedures and Display.","Organização de evento(Congresso)","",8
"212","Intl. Symp. on Visual Computing","Organização de evento(Congresso)","",8
"218","Improving User Control with Minimum Involvement in User-Guided Segmentation by Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",8
"219","Fast Non-Technical Losses Identification Through Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",8
"220","Método de Preparação de Amostra Coproparasitológica Fecal e Composição Clarificante.","Produto Tecnológico(Projeto)","",8
"222","Robust and Fast Vowel Recognition using Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",8
"223","Fast Automatic Microstructural Segmentation of Ferrous Alloy Samples using Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",8
"224","A Novel and Powerful Framework for Supervised Graph-based Pattern Recognition Techniques","Trabalho publicado em anais de eventos(Completo)","",8
"251","Fuzzy Object Modelling","Trabalho publicado em anais de eventos(Completo)","",8
"252","Comparison of Fuzzy Connectedness and Graph Cut Segmentation Algorithms","Trabalho publicado em anais de eventos(Completo)","",8
"258","A new symmetry-based method for mid-sagittal plane extraction in neuroimages","Trabalho publicado em anais de eventos(Completo)","",8
"259","How to Fix any 3D Segmentation Interactively via Image Foresting Transform and its use in MRI Brain Segmentation","Trabalho publicado em anais de eventos(Completo)","",8
"144","Oropharyngeal Dysphagia Identification Using Wavelets and Optimum Path Forest","Trabalho publicado em anais de eventos(Completo)","",9
"145","CLOUDS: A Model for Synergistic Image Segmentation","Trabalho publicado em anais de eventos(Completo)","",9
"146","Clustering by Optimum Path Forest and its Application to Automatic GM/WM Classification in MR-T1 Images of the Brain","Trabalho publicado em anais de eventos(Completo)","",9
"148","A Robust Extension of the Mean Shift Algorithm using Optimum Path Forest","Trabalho publicado em anais de eventos(Completo)","",9
"149","A Discrete Approach for Supervised Pattern Recognition.","Trabalho publicado em anais de eventos(Completo)","",9
"151","A Discrete Approach for Supervised Pattern Recognition.","Participações em eventos(Congresso)","",9
"162","A genetic programming framework for content-based image retrieval","Artigo publicado em periódicos(Completo)","A genetic programming framework for content-based image retrieval",9
"166","Data clustering as an optimum-path forest problem with applications in image analysis","Artigo publicado em periódicos(Completo)","Data clustering as an optimum-path forest problem with applications in image analysis",9
"167","Supervised pattern classification based on optimum-path forest","Artigo publicado em periódicos(Completo)","Supervised pattern classification based on optimum-path forest",9
"173","Recuperação de Imagens Baseada em Conteúdo","Capítulo de livro publicado","",9
"186","A General Image Processing Architecture for FPGA","Trabalho publicado em anais de eventos(Completo)","",9
"188","A Learning Algorithm for the Optimum-Path Forest Classifier","Trabalho publicado em anais de eventos(Completo)","",9
"189","Land Use Classification using Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",9
"190","Shape feature extraction and description based on tensor scale","Artigo publicado em periódicos(Completo)","Shape feature extraction and description based on tensor scale",9
"191","Links Between Image Segmentation Based on Optimum-Path Forest and Minimum Cut in Graph","Artigo publicado em periódicos(Completo)","Links Between Image Segmentation Based on Optimum-Path Forest and Minimum Cut in Graph",9
"192","On the Training Patters Pruning for Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",9
"193","Optimum-Path Forest: A Novel and Powerful Framework for Supervised Graph-based Pattern Recognition Techniques","Trabalho publicado em anais de eventos(Completo)","",9
"194","Focal Cortical Dysplasia Segmentation in 3D Magnetic Resonance Images of the Human Brain","Trabalho publicado em anais de eventos(Completo)","",9
"195","Cloud Bank: A multiple Clouds Model and its use in MR Brain Image Segmentation","Trabalho publicado em anais de eventos(Completo)","",9
"196","Synergistic arc-weight estimation for interactive image segmentation using graphs","Artigo publicado em periódicos(Completo)","",9
"197","Fast interactive segmentation of natural images using the Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",9
"199","A comparative study among pattern classifiers in interactive image segmentation","Trabalho publicado em anais de eventos(Completo)","",9
"205","Optimum-Path Forest-based Models for Rainfall Estimation","Trabalho publicado em anais de eventos(Completo)","",9
"206","Infrared Face Recogniton by Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",9
"207","Fast and Robust Object Tracking using Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",9
"208","The Image Foresting Transform: Recent Advances and Perspectives","Participações em eventos(Congresso)","The Image Foresting Transform: Recent Advances and Perspectives",9
"209","Fast interactive segmentation of natural images using the Image Foresting Transform","Participações em eventos(Congresso)","Fast interactive segmentation of natural images using the Image Foresting Transform",9
"210","Fast and Accurate Holistic Face Recognition using Optimum-Path Forest","Participações em eventos(Congresso)","Fast and Accurate Holistic Face Recognition using Optimum-Path Forest",9
"212","Intl. Symp. on Visual Computing","Organização de evento(Congresso)","",9
"218","Improving User Control with Minimum Involvement in User-Guided Segmentation by Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",9
"219","Fast Non-Technical Losses Identification Through Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",9
"222","Robust and Fast Vowel Recognition using Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",9
"223","Fast Automatic Microstructural Segmentation of Ferrous Alloy Samples using Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",9
"224","A Novel and Powerful Framework for Supervised Graph-based Pattern Recognition Techniques","Trabalho publicado em anais de eventos(Completo)","",9
"225","Exploiting optimum connectivity in image analysis","Artigo publicado em periódicos(Completo)","",9
"161","Learning How to Extract Rotation-Invariant and Scale-Invariant Features from Texture Images","Artigo publicado em periódicos(Completo)","Learning How to Extract Rotation-Invariant and Scale-Invariant Features from Texture Images",10
"162","A genetic programming framework for content-based image retrieval","Artigo publicado em periódicos(Completo)","A genetic programming framework for content-based image retrieval",10
"166","Data clustering as an optimum-path forest problem with applications in image analysis","Artigo publicado em periódicos(Completo)","Data clustering as an optimum-path forest problem with applications in image analysis",10
"167","Supervised pattern classification based on optimum-path forest","Artigo publicado em periódicos(Completo)","Supervised pattern classification based on optimum-path forest",10
"173","Recuperação de Imagens Baseada em Conteúdo","Capítulo de livro publicado","",10
"175","Recuperação de Imagens Baseada em Conteúdo","Participações em eventos(Encontro)","",10
"181","Combining global with local texture information for image retrieval applications","Trabalho publicado em anais de eventos(Completo)","",10
"208","The Image Foresting Transform: Recent Advances and Perspectives","Participações em eventos(Congresso)","The Image Foresting Transform: Recent Advances and Perspectives",10
"151","A Discrete Approach for Supervised Pattern Recognition.","Participações em eventos(Congresso)","",11
"152","Fast and Robust Mid-Saggital Plane Location in 3D MR Images of the Brain","Participações em eventos(Congresso)","",11
"162","A genetic programming framework for content-based image retrieval","Artigo publicado em periódicos(Completo)","A genetic programming framework for content-based image retrieval",11
"166","Data clustering as an optimum-path forest problem with applications in image analysis","Artigo publicado em periódicos(Completo)","Data clustering as an optimum-path forest problem with applications in image analysis",11
"167","Supervised pattern classification based on optimum-path forest","Artigo publicado em periódicos(Completo)","Supervised pattern classification based on optimum-path forest",11
"186","A General Image Processing Architecture for FPGA","Trabalho publicado em anais de eventos(Completo)","",11
"187","XXIInd Brazilian Symposium on Computer Graphics and Image Processing","Organização de evento(Congresso)","",11
"188","A Learning Algorithm for the Optimum-Path Forest Classifier","Trabalho publicado em anais de eventos(Completo)","",11
"189","Land Use Classification using Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",11
"190","Shape feature extraction and description based on tensor scale","Artigo publicado em periódicos(Completo)","Shape feature extraction and description based on tensor scale",11
"191","Links Between Image Segmentation Based on Optimum-Path Forest and Minimum Cut in Graph","Artigo publicado em periódicos(Completo)","Links Between Image Segmentation Based on Optimum-Path Forest and Minimum Cut in Graph",11
"192","On the Training Patters Pruning for Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",11
"193","Optimum-Path Forest: A Novel and Powerful Framework for Supervised Graph-based Pattern Recognition Techniques","Trabalho publicado em anais de eventos(Completo)","",11
"194","Focal Cortical Dysplasia Segmentation in 3D Magnetic Resonance Images of the Human Brain","Trabalho publicado em anais de eventos(Completo)","",11
"195","Cloud Bank: A multiple Clouds Model and its use in MR Brain Image Segmentation","Trabalho publicado em anais de eventos(Completo)","",11
"196","Synergistic arc-weight estimation for interactive image segmentation using graphs","Artigo publicado em periódicos(Completo)","",11
"197","Fast interactive segmentation of natural images using the Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",11
"199","A comparative study among pattern classifiers in interactive image segmentation","Trabalho publicado em anais de eventos(Completo)","",11
"200","Fast and Accurate Holistic Face Recognition using Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",11
"205","Optimum-Path Forest-based Models for Rainfall Estimation","Trabalho publicado em anais de eventos(Completo)","",11
"206","Infrared Face Recogniton by Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",11
"207","Fast and Robust Object Tracking using Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",11
