NOME-COMPLETO,NOME-PARA-CITACAO,ORDEM-DE-INTEGRACAO,FLAG-RESPONSAVEL,EQUIPE-DO-PROJETO_Id
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,2
Sumie H Shimizu,"SHIMIZU, Sumie H",2,NAO,2
Luiz Cândido S Dias,"DIAS, Luiz Cândido S",3,NAO,2
João Paulo Papa,"PAPA, João Paulo",4,NAO,2
Jancarlo Ferreira Gomes,J.F. Gomes,5,NAO,2
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,3
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,4
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,5
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,NAO,6
Felipe Guazzi Bergo,"BERGO, F. G.",2,NAO,6
Fábio Cappabianco,"CAPPABIANCO, Fábio",3,NAO,6
Luiz Fernando Pinto,"PINTO, Luiz Fernando",4,NAO,6
Iscia Cendes,"CENDES, Iscia",5,SIM,6
Roberto Covolan,"COVOLAN, Roberto",6,NAO,6
Roberto Lotufo,"LOTUFO, Roberto",7,NAO,6
Karina Magalhães,"MAGALHÃES, Karina",8,NAO,6
Paulo A V Miranda,"MIRANDA, Paulo A V",9,NAO,6
Guilherme Ruppert,Ruppert,10,NAO,6
Fernanda Favretto,"Favretto, F.",11,NAO,6
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,NAO,7
Ricardo da Silva Torres,"TORRES, Ricardo da Silva",2,NAO,7
Thomas Levinsohn,"LEVINSOHN, Thomas",3,NAO,7
Paulo Prado,"PRADO, Paulo",4,NAO,7
Cláudia Bauzer Medeiros,"MEDEIROS, Cláudia Bauzer",5,SIM,7
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,NAO,8
Felipe Guazzi Bergo,"BERGO, F. G.",2,NAO,8
Fernando Cendes,"CENDES, F.",3,SIM,8
Fábio Cappabianco,"CAPPABIANCO, Fábio",4,NAO,8
Paulo Andre V Miranda,"MIRANDA, Paulo Andre V",5,NAO,8
Li Min,"MIN, Li",6,NAO,8
Luiz Fernando Pinto,"PINTO, Luiz Fernando",7,NAO,8
Roberto Covolan,"COVOLAN, Roberto",8,NAO,8
Guilherme Ruppert,Ruppert,9,NAO,8
Fernanda Favretto,"Favretto, F.",10,NAO,8
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,9
Leonardo Marques da Rocha,"ROCHA, L. M.",2,NAO,9
Jan Carlo Ferreira Gomes,"GOMES, Jan Carlo Ferreira",3,NAO,9
Fábio Cappabianco,"CAPPABIANCO, Fábio",4,NAO,9
Luiz Fernando Pinto,"PINTO, Luiz Fernando",5,NAO,9
João Paulo Papa,"PAPA, João Paulo",6,NAO,9
Felipe P G Bergo,"BERGO, Felipe P G",7,NAO,9
Paulo A V Miranda,"MIRANDA, Paulo A V",8,NAO,9
Guilherme Ruppert,Ruppert,9,NAO,9
Fernanda Favretto,"Favretto, F.",10,NAO,9
Thiago Vallin Spina,T.V. Spina,11,NAO,9
Giovani Chiachia,"Chiachia, G.",12,NAO,9
Maíra Saboia,"Saboia, M.",13,NAO,9
Cesar Castelo Fernandez,"Fernandez, C.C.",14,NAO,9
Jefersson Alex dos Santos,"Santos, J.A.",15,NAO,9
André Tavares da Silva,"SILVA, A. T.",16,NAO,9
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,NAO,10
Ricardo da Silva Torres,"TORRES, Ricardo da Silva",2,NAO,10
Leonardo Marques da Rocha,"ROCHA, L. M.",3,NAO,10
Jorge Stolfi,"STOLFI, J.",4,SIM,10
Neucimar Jerônimo Leite,"LEITE, Neucimar Jerônimo",5,NAO,10
Paulo Andre V Miranda,"MIRANDA, Paulo Andre V",6,NAO,10
João Paulo Papa,"PAPA, João Paulo",7,NAO,10
Siome Goldenstein,"GOLDENSTEIN, Siome",8,NAO,10
Thiago Vallin Spina,T.V. Spina,9,NAO,10
Giovani Chiachia,"Chiachia, G.",10,NAO,10
Maíra Saboia,"Saboia, M.",11,NAO,10
Cesar Castelo Fernandez,"Fernandez, C.C.",12,NAO,10
Jefersson Alex dos Santos,"Santos, J.A.",13,NAO,10
André Tavares da Silva,"SILVA, A. T.",14,NAO,10
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,NAO,11
Cecília Baranauskas,"BARANAUSKAS, Cecília",2,NAO,11
Cláudia Bauzer,"BAUZER, Cláudia",3,SIM,11
Thomas Levinsohn,"LEVINSOHN, Thomas",4,NAO,11
"da Silva Torres, Ricardo","da Silva Torres, Ricardo",5,NAO,11
Roberto Marcondes Junior,Roberto Cesar Marcondes Jr.,6,NAO,11
André Tavares da Silva,"SILVA, A. T.",7,NAO,11
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,NAO,12
Fábio Cappabianco,"CAPPABIANCO, Fábio",2,NAO,12
Luiz Velho,"VELHO, Luiz",3,NAO,12
Paulo A V Miranda,"MIRANDA, Paulo A V",4,NAO,12
Nelson D.A. Mascarenhas,"NELSON,",5,NAO,12
Guilherme Ruppert,Ruppert,6,NAO,12
Fernanda Favretto,"Favretto, F.",7,NAO,12
Thiago Vallin Spina,T.V. Spina,8,NAO,12
Giovani Chiachia,"Chiachia, G.",9,NAO,12
Maíra Saboia,"Saboia, M.",10,NAO,12
Jacob Palis,"Palis, J.",11,SIM,12
Cesar Castelo Fernandez,"Fernandez, C.C.",12,NAO,12
Jefersson Alex dos Santos,"Santos, J.A.",13,NAO,12
André Tavares da Silva,"SILVA, A. T.",14,NAO,12
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,13
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,14
Celso Tetsuo Nagase Suzuki,"SUZUKI, Celso Tetsuo Nagase",2,NAO,14
Jan Carlo Ferreira Gomes,"GOMES, Jan Carlo Ferreira",3,NAO,14
Sumie H Shimizu,"SHIMIZU, Sumie H",4,NAO,14
João Paulo Papa,"PAPA, João Paulo",5,NAO,14
Maíra Saboia,"Saboia, M.",6,NAO,14
Cesar Castelo Fernandez,"Fernandez, C.C.",7,NAO,14
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,15
Ricardo da Silva Torres,"TORRES, Ricardo da Silva",2,NAO,15
Celso Tetsuo Nagase Suzuki,"SUZUKI, Celso Tetsuo Nagase",3,NAO,15
Fábio Cappabianco,"CAPPABIANCO, Fábio",4,NAO,15
João Paulo Papa,"PAPA, João Paulo",5,NAO,15
Jancarlo Ferreira Gomes,J.F. Gomes,6,NAO,15
Thiago Vallin Spina,T.V. Spina,7,NAO,15
Giovani Chiachia,"Chiachia, G.",8,NAO,15
Maíra Saboia,"Saboia, M.",9,NAO,15
Cesar Castelo Fernandez,"Fernandez, C.C.",10,NAO,15
Jefersson Alex dos Santos,"Santos, J.A.",11,NAO,15
André Tavares da Silva,"SILVA, A. T.",12,NAO,15
Priscila Tiemi Maeda Saito,"SAITO, P. T. M.",13,NAO,15
Juliana Barboza de Carvalho,J.B. de Carvalho,14,NAO,15
Ricardo Panaggio,"R.L.Z., Panaggio",15,NAO,15
Guilherme Armigliatto,G.M. Armigliatto,16,NAO,15
Rodrigo Calumby,R.T. Calumby,17,NAO,15
Fabio Faria,F.A. Faria,18,NAO,15
Rodrigo Nakamura,R.Y.M. Nakamura,19,NAO,15
Ivan Mingireanov Filho,I. Mingireanov Filho,20,NAO,15
Luis Augusto Martins Pereira,"PEREIRA, L. A. M.",21,NAO,15
Alex Fernandes Mansano,A.F. Mansano,22,NAO,15
Luis Claudio Sugi Afonso,L.C.S. Afonso,23,NAO,15
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,16
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,NAO,17
Luciano da Fontoura Costa,"COSTA, Luciano da Fontoura",2,NAO,17
Cláudia Bauzer Medeiros,"MEDEIROS, Cláudia Bauzer",3,NAO,17
Roberto Marcondes Cesar Jr,"Cesar Jr., R.M.",4,SIM,17
Carlos Alberto Moreira Filho,"Moreira Filho, C.A.",5,NAO,17
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,NAO,18
João Paulo Papa,"PAPA, João Paulo",2,SIM,18
Aparecido Nilceu Marana,"Marana, A.N.",3,NAO,18
Caio Oba Ramos,"Ramos, C.O.",4,NAO,18
André Nunes de Souza,"Souza, A.N.",5,NAO,18
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,19
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,NAO,20
Celso Tetsuo Nagase Suzuki,"SUZUKI, Celso Tetsuo Nagase",2,NAO,20
Sumie H Shimizu,"SHIMIZU, Sumie H",3,NAO,20
Jancarlo Ferreira Gomes,J.F. Gomes,4,SIM,20
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,21
Jayaram K Udupa,"UDUPA, J. K.",2,NAO,21
Jancarlo Ferreira Gomes,J.F. Gomes,3,NAO,21
Andre Souza,A. Souza,4,NAO,21
"Ciesielski, K.C.","Ciesielski, K.C.",5,NAO,21
Kátia Denise Saraiva Bresciani,"BRESCIANI, K. D. S.",6,NAO,21
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,22
Jayaram K Udupa,"UDUPA, J. K.",2,NAO,22
Ricardo da Silva Torres,"TORRES, Ricardo da Silva",3,NAO,22
Jorge Stolfi,"STOLFI, J.",4,NAO,22
Paulo Andre V Miranda,"MIRANDA, Paulo Andre V",5,NAO,22
Anderson Rocha,"ROCHA, Anderson",6,NAO,22
Jancarlo Ferreira Gomes,J.F. Gomes,7,NAO,22
Rodrigo Minetto,"Minetto, R.",8,NAO,22
Jefersson Alex dos Santos,"Santos, J.A.",9,NAO,22
"CIESIELSKI, KRZYSZTOF CHRIS","CIESIELSKI, KRZYSZTOF CHRIS",10,NAO,22
David Cox,"Cox, D.",11,NAO,22
João Paulo Papa,"PAPA, J. P.",12,NAO,22
Alexandru Telea,A. Telea,13,NAO,22
Jos Roerdink,J. Roerdink,14,NAO,22
Filip Malmberg,F. Malmberg,15,NAO,22
Pedro Jussieu de Rezende,"REZENDE, P. J.",16,NAO,22
Guillermo Sapiro,G. Sapiro,17,NAO,22
Mads Nielsen,"NIELSEN, M.",18,NAO,22
Erik B Dam,E. Dam,19,NAO,22
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,23
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,24
Jayaram K Udupa,"UDUPA, J. K.",2,NAO,24
Paulo André Vechiatto Miranda,"MIRANDA, Paulo André Vechiatto",3,NAO,24
Clarissa Yasuda,C.L. Yasuda,4,NAO,24
Jefersson Alex dos Santos,"Santos, J.A.",5,NAO,24
Priscila Tiemi Maeda Saito,"SAITO, P. T. M.",6,NAO,24
"CIESIELSKI, KRZYSZTOF CHRIS","CIESIELSKI, KRZYSZTOF CHRIS",7,NAO,24
Kátia Denise Saraiva Bresciani,"BRESCIANI, K. D. S.",8,NAO,24
João Paulo Papa,"PAPA, J. P.",9,NAO,24
Pedro Jussieu de Rezende,"REZENDE, P. J.",10,NAO,24
Ricardo da Silva Torres,"TORRES, R. S.",11,NAO,24
"PEDRINI, HELIO","PEDRINI, HELIO",12,NAO,24
"CHOWDHURY, ANANDA SHANKAR","CHOWDHURY, ANANDA SHANKAR",13,NAO,24
Alexandru C. Telea,"TELEA, A. C.",14,NAO,24
Luis Gustavo Nonato,"NONATO, L. G.",15,NAO,24
Ericson Bagatin,"BAGATIN, E.",16,NAO,24
Edvaldo Sabadini,"SABADINI, E.",17,NAO,24
Marcelo Finger,"FINGER, M.",18,NAO,24
Devis Tuia,"TUIA, D.",19,NAO,24
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,NAO,25
Roberto de Alencar Lotufo,"LOTUFO, Roberto de Alencar",2,NAO,25
Rubens Machado,"MACHADO, Rubens",3,NAO,25
Robert Liang Koo,"KOO, Robert Liang",4,SIM,25
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,26
Alexandre Xavier Falcão,"FALCÃO, A. X.;Falcão, Alexandre X.;Falcao, A.X.;FALCAO, A;Falcão, A.X.;Falcão, A;Falcao, Alexandre Xavier;Xavier Falcão, Alexandre;Alexandre Xavier Falcão;FALCÃ£O, ALEXANDRE XAVIER;FALCAO, A. X.;FALAO, Alexandre Xavier;FALCAO, A.;FALCAO, ALEXANDRE X.;FALCÃO, ALEXANDRE;FALCAO, ALEXANDRE X;FALCAO, ALEXANDRE;FALCÃO, ALEXANDRE XAVIER",1,SIM,27
Thiago Vallin Spina,T.V. Spina,2,NAO,27
Elliot Meyerowitz,"MEYEROWITZ, E.",3,NAO,27
Alexandre Cunha,"CUNHA, A.",4,NAO,27
