NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id
"MENEZES SALGADO, RICARDO","MENEZES SALGADO, RICARDO","2","",,8,,,
"Takaaki Ohishi","OHISHI, TAKAAKI","3","",,8,,,
"BATISTA FERREIRA, ERIC","BATISTA FERREIRA, ERIC","4","",,8,,,
"Ricardo Menezes Salgado","SALGADO, R. M.","1","",,9,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",,9,,,
"Rosângela Ballini","BALLINI, Rosângela","3","1766558858445284",,9,,,
"Marcos de Almeida Leone Filho","LEONE FILHO, M. A.","1","",,10,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","2","4595465071420439",,10,,,
"MENEZES SALGADO, RICARDO","MENEZES SALGADO, RICARDO","1","",,11,,,
"CARVALHO MACHADO, TADEU","CARVALHO MACHADO, TADEU","2","",,11,,,
"Takaaki Ohishi","Ohishi, Takaaki","3","",,11,,,
"Ana Paula Milanez","MILANEZ, A. P.","1","",,12,,,
"Andréa Leda Ramos de Oliveira","OLIVEIRA, A. L. R.","2","",,12,,,
"Anibal Tavares de Azevedo","AZEVEDO, A. T.","3","",,12,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","4","4595465071420439",,12,,,
"Ana Paula Milanez","MILANEZ, A. P.","1","",,13,,,
"Anibal Tavares Azevedo","AZEVEDO, A. T.","2","",,13,,,
"Andréa Leda Ramos de Oliveira","OLIVEIRA, A. L. R.","3","",,13,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","4","4595465071420439",,13,,,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",,14,,,
"SECUNDINO SOARES FILHO","SOARES FILHO, Secundino","2","6198721584655627",,14,,,
"Anastacio Sebastian Arce","ARCE, A. S.","3","",,14,,,
"Ricardo Menezes Salgado","SALGADO, Ricardo Menezes","1","",,,0,,
"Takaaki Ohishi","Ohishi, Takaaki","2","",,,0,,
"Ballini, Rosangela","Ballini, Rosangela","3","",,,0,,
"Zambelli, Monica","Zambelli, Monica","1","",,,1,,
"Luna, Ivette","Luna, Ivette","2","",,,1,,
"Secundino Soares","SOARES, Secundino","3","6198721584655627",,,1,,
"Makoto Kadowaki","KADOWAKI, Makoto","4","",,,1,,
"Takaaki Ohishi","Ohishi, Takaaki","5","",,,1,,
"Edgar Fornseca Franco Junior","FRANCO Jr., E. F.","1","",,,,0,
"Ricardo Menezes Salgado","SALGADO, R. M.","2","",,,,0,
"Takaaki Ohishi","OHISHI, T.","3","",,,,0,
"Eugenio Spano Rosa","Eugenio Spano Rosa","4","5295563566350138",,,,0,
"RICARDO AUGUSTO MAZZA","MAZZA, R. A.","5","",,,,0,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",,,,,0
"S. Soares","SOARES, S.","2","",,,,,0
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",,,,,1
"S. Soares","SOARES, S.","2","",,,,,1
"Takaaki Ohishi","OHISHI, T.","1","",,,,,2
"KADOWAKI, M.","KADOWAKI, M.","2","",,,,,2
"S. Soares","SOARES, S.","3","",,,,,2
"KADOWAKI, M.","KADOWAKI, M.","1","",,,,,3
"Takaaki Ohishi","OHISHI, T.","2","",,,,,3
"S. Soares","SOARES, S.","3","",,,,,3
"W. S. Lima","LIMA, W. S.","4","",,,,,3
"Oderson De Mello Dias","DIAS, O. DE M.","1","",,,,,4
"Takaaki Ohishi","OHISHI, T.","2","",,,,,4
"Erinaldo Farias dos Santos","SANTOS, E. F. DOS","1","",,,,,5
"Oderson De Mello Dias","DIAS, O. DE M.","2","",,,,,5
"Takaaki Ohishi","OHISHI, T.","3","",,,,,5
"KADOWAKI, M.","KADOWAKI, M.","1","",,,,,6
"Takaaki Ohishi","OHISHI, TAKAAKI","2","",,,,,6
"S. Soares","SOARES, S.","3","",,,,,6
"Marcelo Augusto Cicogna","CICOGNA, Marcelo Augusto","4","",,,,,6
