NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id
"Takaaki Ohishi","Ohishi, T.","1","",8,,
"W. S. Lima","LIMA, W. S.","2","",8,,
"S. Soares","SOARES, S.","3","",8,,
"Takaaki Ohishi","Ohishi, T.","1","",9,,
"Takaaki Ohishi","OHISHI, T.","1","",10,,
"Takaaki Ohishi","OHISHI, T.","1","",11,,
"Leonardo Nepomuceno","NEPOMUCENO, Leonardo","2","2013445187247691",11,,
"Akebo Yamakami","YAMAKAMI, A.","4","",11,,
"Carlos Alberto Favarin Murari","MURARI, C. A. F.","3","",11,,
"Takaaki Ohishi","OHISHI, T.","1","",12,,
"S. Soares","SOARES, S.","2","",12,,
"Adriano Alber de França Mendes","MENDES, Adriano Alber de França","3","",12,,
"Takaaki Ohishi","OHISHI, T.","1","",13,,
"Takaaki Ohishi","OHISHI, T.","1","",14,,
"ANESIO DOS SANTOS JUNIOR","SANTOS JUNIOR, A.","3","",14,,
"Ariovaldo Verandio Garcia","GARCIA, A. V.","2","",14,,
"Ruben Romero Lazaro","LAZARO, R. R.","4","",14,,
"Takaaki Ohishi","OHISHI, T.","1","",15,,
"S. Soares","SOARES, S.","3","",15,,
"Leonardo Nepomuceno","NEPOMUCENO, Leonardo","4","2013445187247691",15,,
"CARLOS ALBERTO DE CASTRO JUNIOR","CASTRO JUNIOR, C. A.","2","",15,,
"Takaaki Ohishi","Ohishi, T.","1","",16,,
"Rosângela Ballini","BALLINI, Rosângela","2","1766558858445284",16,,
"Paulo Sérgio Franco Barbosa","BARBOSA, P. S. F.","3","",16,,
"Ricardo Ribeiro Gudwin","GUDWIN, R. R.","4","",16,,
"Takaaki Ohishi","Ohishi, T.","1","",17,,
"Oderson Dias de Mello","MELLO, Oderson Dias de","2","",17,,
"Luiz Carlos Pereira da Silva","SILVA, L. C. P.","3","",17,,
"Takaaki Ohishi","Ohishi, T.","1","",18,,
"S. Soares","SOARES, S.","2","",18,,
"ANESIO DOS SANTOS JUNIOR","SANTOS JUNIOR, A.","3","",18,,
"Edson Luiz da Silva","SILVA, E. L.","4","",18,,
"Takaaki Ohishi","Ohishi, T.","1","",19,,
"SECUNDINO SOARES FILHO","SOARES FILHO, Secundino","4","6198721584655627",19,,
"Fernando José Von Zuben","Von Zuben, Fernando José","2","",19,,
"Paulo Sérgio Franco Barbosa","BARBOSA, P. S. F.","3","",19,,
"Takaaki Ohishi","Ohishi, T.","1","",20,,
"Fernando José Von Zuben","Von Zuben, Fernando José","3","",20,,
"Adriano A. F. M. Carneiro","CARNEIRO, A. A. F. M.","2","",20,,
"Paulo Morelato França","FRANCA, P. M.","4","",20,,
"Takaaki Ohishi","Ohishi, T.","1","",21,,
"CARLOS ALBERTO DE CASTRO JUNIOR","CASTRO JUNIOR, C. A.","4","",21,,
"ANESIO DOS SANTOS JUNIOR","SANTOS JUNIOR, A.","3","",21,,
"Maria Helena Murta Vale","VALE, M. H. M.","2","",21,,
"Takaaki Ohishi","Ohishi, T.","1","",22,,
"S. Soares","SOARES, S.","4","",22,,
"Akebo Yamakami","YAMAKAMI, A.","2","",22,,
"Niederauer Mastelari","Niederauer Mastelari","3","",22,,
"Takaaki Ohishi","Ohishi, T.","2","",23,,
"Akebo Yamakami","YAMAKAMI, A.","1","",23,,
"Takaaki Ohishi","Ohishi, Takaaki","2","",24,,
"SALGADO, R.M.","SALGADO, R.M.","1","",24,,
"Takaaki Ohishi","OHISHI, T.","1","",25,,
"ANESIO DOS SANTOS JUNIOR","SANTOS JUNIOR, A.","3","",25,,
"Laurence Duarte Colvara","COLVARA, L. D.","2","",25,,
"Marcelo Augusto Cicogna","CICOGNA, Marcelo Augusto","4","",,0,
"Adriano Alber de França Mendes","MENDES, Adriano Alber de França","2","",,0,
"Marinho Gomes de Andrade Filho","ANDRADE FILHO, Marinho Gomes de","3","",,0,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",,0,
"Secundino Soares","SOARES, Secundino","6","6198721584655627",,1,
"Wagner da Silva Lima","LIMA, Wagner da Silva","2","",,1,
"Marcelo Augusto Cicogna","CICOGNA, Marcelo Augusto","3","",,1,
"Raul Vinhas Ribeiro","RIBEIRO, R. V.","4","",,1,
"Akebo Yamakami","YAMAKAMI, A.","5","",,1,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","1","4595465071420439",,1,
"Secundino Soares","SOARES, Secundino","1","6198721584655627",,2,
"Wagner da Silva Lima","LIMA, Wagner da Silva","2","",,2,
"Paulo Sérgio Franco Barbosa","BARBOSA, P. S. F.","5","",,2,
"Luciana Martinez","MARTINEZ, L.","3","",,2,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","4","4595465071420439",,2,
"Secundino Soares","SOARES, Secundino","1","6198721584655627",,3,
"Marinho Gomes de Andrade Filho","ANDRADE FILHO, Marinho Gomes de","2","",,3,
"Paulo Sérgio Franco Barbosa","BARBOSA, P. S. F.","3","",,3,
"Raul Vinhas Ribeiro","RIBEIRO, R. V.","6","",,3,
"Akebo Yamakami","YAMAKAMI, A.","5","",,3,
"Takaaki Ohishi","OHISHI, T.;OHISHI, TAKAAKI;Ohishi, T.;Takaaki Ohishi;Ohishi, Takaaki","4","4595465071420439",,3,
"Takaaki Ohishi","Ohishi, T.","5","",,4,
"Akebo Yamakami","YAMAKAMI, A.","1","",,4,
"Berenice Camargo Damasceno","DAMASCENO, B. C.","2","",,4,
"Isamara Carvalho Alves","ALVES, I. C.","3","",,4,
"ROMIS RIBEIRO DE FAISSOL ATTUX","ATTUX, R. R. F.","4","",,4,
"Tatiane Regina Bonfim","BONFIM, T. R.","6","",,4,
"Takaaki Ohishi","Ohishi, T.","4","",,5,
"Akebo Yamakami","YAMAKAMI, A.","1","",,5,
"Fábio Hernandes","HERNANDES, F.","2","",,5,
"Luiza Amália Pinto Cantão","CANTAO, L. A. P.","3","",,5,
"Tiago Agostinho de Almeida","ALMEIDA, T. A.","5","",,5,
"Takaaki Ohishi","Ohishi, T.","1","",,6,
"Secundino Soares","SOARES, Secundino","2","6198721584655627",,6,
"Akebo Yamakami","YAMAKAMI, A.","5","",,6,
"Erlon Cristian Finardi","FINARDI, E. C.","3","",,6,
"Alberto Sergio Kligerman","KLIGERMAN, A. S.","4","",,6,
"ANESIO DOS SANTOS JUNIOR","SANTOS JUNIOR, A.","6","",,6,
"Takaaki Ohishi","OHISHI, T.","1","",,7,
"Secundino Soares","SOARES, Secundino","5","6198721584655627",,7,
"Leonardo Nepomuceno","NEPOMUCENO, Leonardo","2","2013445187247691",,7,
"Paulo Sérgio Franco Barbosa","BARBOSA, P. S. F.","4","",,7,
"Gelson da Cruz Junior","CRUZ JUNIOR, G.","3","",,7,
"Takaaki Ohishi","Ohishi, T.","2","",,8,
"Vivaldo Fernando da Costa","COSTA, V. F.","3","",,8,
"ANESIO DOS SANTOS JUNIOR","SANTOS JUNIOR, A.","1","",,8,
"Geraldo Roberto Martins da Costa","COSTA, G. R. M.","4","",,8,
"Roberto de Souza Salgado","SALGADO, R. S.","5","",,8,
"Takaaki Ohishi","Ohishi, T.","5","",,9,
"Paulo de Barros Correia","Correia, Paulo de Barros","1","",,9,
"Alcides Codeceira Neto","CODECEIRA NETO, A.","2","",,9,
"Aluizio Fausto Ribeiro Araujo","ARAUJO, A. F. R.","3","",,9,
"SERGIO VALDIR BAJAY","BAJAY, S. V.","4","",,9,
"Takaaki Ohishi","OHISHI, TAKAAKI","4","",,10,
"ALBERTO LUIZ FRANCATO","FRANCATO, A. L.","1","",,10,
"CARLOS ALBERTO MARIOTONI","MARIOTONI, C. A.","2","",,10,
"José Antonio Jardini","JARDINI, J. A.","3","",,10,
"TIAGO ZENKER GIRELI","GIRELI, T. Z.","5","",,10,
"Dorel Soares Ramos","RAMOS, D. S.","6","",,10,
"Takaaki Ohishi","Ohishi, T.","1","",,11,
"S. Soares","SOARES, S.","5","",,11,
"ROMIS RIBEIRO DE FAISSOL ATTUX","ATTUX, R. R. F.","4","",,11,
"Marcos Trevisan Vasconcellos","VASCONCELLOS, M. T.","2","",,11,
"Evandro Luiz Mendes","MENDES, E. L.","3","",,11,
"Takaaki Ohishi","Ohishi, T.","1","",,12,
"S. Soares","SOARES, S.","4","",,12,
"CARLOS ALBERTO DE CASTRO JUNIOR","CASTRO JUNIOR, C. A.","6","",,12,
"Roberto Nogueira Fontoura Filho","FONTOURA FILHO, R. N.","2","",,12,
"Ronaldo Bosignoli","BOSIGNOLI, R.","3","",,12,
"Luiz Carlos Pereria da Silva","SILVA, L. C. P.","5","",,12,
"Takaaki Ohishi","Ohishi, T.","1","",,13,
"S. Soares","SOARES, S.","2","",,13,
"Vivaldo Fernando da Costa","COSTA, V. F.","4","",,13,
"ANESIO DOS SANTOS JUNIOR","SANTOS JUNIOR, A.","3","",,13,
"Vinicios Amaral Armentano","ARMENTANO, V. A.","5","",,13,
"Takaaki Ohishi","Ohishi, T.","3","",,,0
"S. Soares","SOARES, S.","2","",,,0
"CARLOS ALBERTO DE CASTRO JUNIOR","CASTRO JUNIOR, C. A.","1","",,,0
"Takaaki Ohishi","OHISHI, T.","1","",,,1
"SALGADO, R.M.","SALGADO, R.M.","2","",,,1
"Denismar Alves Nogueira","NOGUEIRA, D. A.","3","",,,1
