NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,OUTRA-PRODUCAO-TECNICA_Id
"Erick Slis Raggio Santos","SANTOS, E. S. R.","2","6586851137916033",62,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",63,,,,,,,,,,,
"Edimar Cesar Rylo","RYLO, E. C.","2","7462096912445959",63,,,,,,,,,,,
"Cedric Marcelo Augusto Ayala Bravo","BRAVO, C. M. A. A.","3","3642648349492905",63,,,,,,,,,,,
"Francisco Antonio Menezes","MENEZES, F. A.","1","7334895542373360",64,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","2","6051486998967925",64,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",65,,,,,,,,,,,
"Erick Slis Raggio Santos","SANTOS, E. S. R.","2","6586851137916033",65,,,,,,,,,,,
"Gustavo Camargo Longhin","LONGHIN, G. C.","1","9121612523149859",66,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","2","6051486998967925",66,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",67,,,,,,,,,,,
"Cedric Marcelo Augusto Ayala Bravo","BRAVO, C. M. A. A.","2","3642648349492905",67,,,,,,,,,,,
"Edimar Cesar Rylo","RYLO, E. C.","3","7462096912445959",67,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",68,,,,,,,,,,,
"Erick Slis Raggio Santos","SANTOS, E. S. R.","2","6586851137916033",68,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",69,,,,,,,,,,,
"Edimar Cesar Rylo","RYLO, E. C.","2","7462096912445959",69,,,,,,,,,,,
"Cedric Marcelo Augusto Ayala Bravo","BRAVO, C. M. A. A.","3","3642648349492905",69,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",70,,,,,,,,,,,
"Francisco Antonio Menezes","MENEZES, F. A.","2","7334895542373360",70,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",71,,,,,,,,,,,
"Cedric Marcelo Augusto Ayala Bravo","BRAVO, C. M. A. A.","2","3642648349492905",71,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",72,,,,,,,,,,,
"Gustavo Camargo Longhin","LONGHIN, G. C.","2","9121612523149859",72,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",73,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",74,,,,,,,,,,,
"Francisco Antonio Menezes","MENEZES, F. A.","2","7334895542373360",74,,,,,,,,,,,
"Rodrigo Ribeiro Paccola","PACCOLA, R. R.","3","6516780235221804",74,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",75,,,,,,,,,,,
"Tiago Luis Duarte Forti","FORTI, T. L. D.","2","9586074227742751",75,,,,,,,,,,,
"João Alberto Venegas Requena","Requena, J. A. V.","3","2449625191630738",75,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",76,,,,,,,,,,,
"Tiago Luis Duarte Forti","FORTI, T. L. D.","2","9586074227742751",76,,,,,,,,,,,
"Sonia Maria Gomes","GOMES, S. M.","3","6979417654874483",76,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",77,,,,,,,,,,,
"Edimar Cesar Rylo","RYLO, E. C.","2","7462096912445959",77,,,,,,,,,,,
"Erick Slis Raggio Santos","SANTOS, E. S. R.","3","6586851137916033",77,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",78,,,,,,,,,,,
"Edimar Cesar Rylo","RYLO, E. C.","2","7462096912445959",78,,,,,,,,,,,
"Luís Guilherme Decourt","Decourt, L. G.","3","",78,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",79,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",80,,,,,,,,,,,
"Francisco Antonio Menezes","MENEZES, F. A.","2","7334895542373360",80,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",81,,,,,,,,,,,
"L W Spradley","SPRADLEY, L. W.","2","",81,,,,,,,,,,,
"H V Mc Connaughey","CONNAUGHEY, H. V. M.","3","",81,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",82,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",83,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",84,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",85,,,,,,,,,,,
"José Sérgio Rodrigues ALVES","ALVES, J. S. R.","2","",85,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",86,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",87,,,,,,,,,,,
"Edimar Cesar Rylo","RYLO, E. C.","2","7462096912445959",87,,,,,,,,,,,
"Tiago Luis Duarte Forti","FORTI, T. L. D.","3","9586074227742751",87,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",88,,,,,,,,,,,
