PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Computacao Orientada Para Objetos","Escoamento em meios porosos","Método dos elementos finitos","","","",,,,,,,,,,,,,,,,9,,,,,,,
"Escoamento em meios porosos","Poroelasticidade de Biot","MEF","Método de Galerkin","Geomecânica","Reativação de Falha",,,,,,,,,,,,,,,,11,,,,,,,
"Elementos Finitos","Mecanica dos Fluidos","acoplamento poço reservatório","","","",,,,,,,,,,,,,,,,12,,,,,,,
"Elementos Finitos","plasticidade","","","","",,,,,,,,,,,,,,,,15,,,,,,,
"Finite Elements","Escoamento Multifásico","","","","",,,,,,,,,,,,,,,,16,,,,,,,
"Elementos Finitos","Computacao Orientada Para Objetos","Computação Paralela","","","",,,,,,,,,,,,,,,,19,,,,,,,
"Elementos Finitos","computação orientada para objetos","Dinamica dos Fluidos Compressiveis","","","",,,,,,,,,,,,,,,,,0,,,,,,
"Métodos adaptativas","Computação Paralela","Elementos Finitos","computação orientada para objetos","","",,,,,,,,,,,,,,,,,1,,,,,,
"Elementos Finitos","Métodos adaptativas","","","","",,,,,,,,,,,,,,,,,2,,,,,,
"Elementos Finitos","Dinamica dos Fluidos Compressiveis","","","","",,,,,,,,,,,,,,,,,3,,,,,,
"Elementos Finitos","Leis constitutivas","Mecanica dos meios contínuos","","","",,,,,,,,,,,,,,,,,5,,,,,,
"Elementos Finitos","Poroelasticidade de Biot","","","","",,,,,,,,,,,,,,,,,9,,,,,,
"Finite Elements","","","","","",,,,,,,,,,,,,,,,,,0,,,,,
"Finite Elements","","","","","",,,,,,,,,,,,,,,,,,1,,,,,
"Mecanica dos Fluidos","adaptivity","Discontinuous Galerkin","Métodos Multigrid","","",,,,,,,,,,,,,,,,,,2,,,,,
"Finite Elements","Hdiv Spaces","","","","",,,,,,,,,,,,,,,,,,3,,,,,
