SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,PATENTE_Id,APRESENTACAO-DE-TRABALHO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Fabricação de Outros Produtos Químicos","Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos",,,,,,,,,,11,,
"Fabricação de Outros Produtos Químicos","Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos",,,,,,,,,,15,,
"Fabricação de Catalisadores","Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos",,,,,,,,,,16,,
"Fabricação de Outros Produtos Químicos","Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos",,,,,,,,,,18,,
"Fabricação de Produtos Químicos","Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos",,,,,,,,,,19,,
"Fabricação de Outros Produtos Químicos","Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos",,,,,,,,,,22,,
"Fabricação de Produtos Químicos","Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos",,,,,,,,,,,0,
"Fabricação de Produtos Químicos Orgânicos","Fabricação de Produtos Farmacêuticos","",,,,,,,,,,,1,
"Fabricação de Produtos Químicos","Fabricação de Produtos Farmacêuticos","Fabricação de Produtos Químicos Orgânicos",,,,,,,,,,,2,
"Fabricação de produtos farmoquímicos e farmacêuticos","Fabricação de produtos químicos","",,,,,,,,,,,,1
"Fabricação de produtos farmoquímicos e farmacêuticos","Fabricação de produtos químicos","",,,,,,,,,,,,2
