NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PATENTE_Id,PROCESSOS-OU-TECNICAS_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","2","2259584579907307",16,,,,,,,
"Suzan P. de Vasconcelos","VASCONCELOS, S. P.","3","",16,,,,,,,
"Valéria M. de Oliveira","OLIVEIRA, V. M.","4","",16,,,,,,,
"Eugênio V. dos Santos Neto","SANTOS, E. V.","5","",16,,,,,,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","6","6882578512943651",16,,,,,,,
"Simone M. Mantovani","MANTOVANI, S. M.","1","3757023450938992",17,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","2","2259584579907307",17,,,,,,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","3","6882578512943651",17,,,,,,,
"Célio Fernando Figueiredo Angolini","Angolini, CFF","1","",18,,,,,,,
"Simone M. Mantovani","MANTOVANI, S. M.","2","3757023450938992",18,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","3","2259584579907307",18,,,,,,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","4","6882578512943651",18,,,,,,,
"Simone M. Mantovani","MANTOVANI, S. M.","1","3757023450938992",19,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","2","2259584579907307",19,,,,,,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","3","6882578512943651",19,,,,,,,
"Simone M. Mantovani","MANTOVANI, S. M.","1","3757023450938992",20,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","2","2259584579907307",20,,,,,,,
"Célio Fernando Figueiredo Angolini","Angolini, CFF","3","",20,,,,,,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","4","6882578512943651",20,,,,,,,
"Layla Fernandez Torres","Torres, L.F.","1","",21,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","2","2259584579907307",21,,,,,,,
"Jiao Ni","Ni, J","3","",21,,,,,,,
"Pankaj Soni","Soni, P.","4","",21,,,,,,,
"Manfred T. Reetz","Reetz, M.T.","5","",21,,,,,,,
"Célio Fernando Figueiredo Angolini","Angolini, CFF","1","",22,,,,,,,
"Simone M. Mantovani","MANTOVANI, S. M.","2","3757023450938992",22,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","3","",22,,,,,,,
"Anita Jocelyne Marsaioli","MARSAIOLI, A. J.","4","6882578512943651",22,,,,,,,
"Leila Giarola","GIAROLA, L.","1","",23,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","2","",23,,,,,,,
"Adriana Fu Vivian","VIVIAN, A. F.","1","",24,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","2","",24,,,,,,,
"Leila Giarola","GIAROLA, L.","1","",25,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","2","",25,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",26,,,,,,,
"Anderson Alex Leite Gravata","Gravata, A.A.L.","2","",26,,,,,,,
