AREAS-DO-CONHECIMENTO_Id,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
133,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,7,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,9,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,10,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,11,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,12,,,,,,,
140,,,,,,,,,,,,,,,,,,,,,13,,,,,,,
141,,,,,,,,,,,,,,,,,,,,,14,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,15,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,16,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,17,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,18,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,19,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,0,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,3,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,5,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,8,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,5,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,10,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,11,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
