NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Sandro Dangui,"DANGUI, S.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Thiago Massariolli Sigrist,"SIGRIST, T. M.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Alessandro Carvalho Santos,"SANTOS, A. C.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Danilo Marcolin Caravana,"CARAVANA, D. M.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Rafael Fernandes Batistella,"BATISTELLA, R. F.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Henrique Dante de Almeida,"ALMEIDA, H. D.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Felipe Bertho,"BERTHO, F.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Josué Tzan Hsin Ma,"MA, J. T. H.",NAO,ChameLeon - Especialização de Arquiteturas para Sistemas Dedicados
Edson Borin,"BORIN, E.;BORIN, EDSON",SIM,SeisHPC: Plataforma de desenvolvimento para aplicações sísmicas e geofísicas de alto desempenho
Caian Benedicto,"BENEDICTO, C.",NAO,SeisHPC: Plataforma de desenvolvimento para aplicações sísmicas e geofísicas de alto desempenho
Ian Rodrigues,"RODRIGUES, I.",NAO,SeisHPC: Plataforma de desenvolvimento para aplicações sísmicas e geofísicas de alto desempenho
Martin Tygel,"TYGEL, M.",NAO,SeisHPC: Plataforma de desenvolvimento para aplicações sísmicas e geofísicas de alto desempenho
Alcides Goldoni Junior,"GOLDONI JUNIOR, A.",NAO,SeisHPC: Plataforma de desenvolvimento para aplicações sísmicas e geofísicas de alto desempenho
Jorge Henrique Faccipieri Junior,"FACCIPIERI JUNIOR, J. H.",NAO,SeisHPC: Plataforma de desenvolvimento para aplicações sísmicas e geofísicas de alto desempenho
Dany Rueda Serrano,"SERRANO, D. R.",NAO,SeisHPC: Plataforma de desenvolvimento para aplicações sísmicas e geofísicas de alto desempenho
Edson Borin,"BORIN, E.;BORIN, EDSON",SIM,Accelerating the CRS seismic processing method with GPUs
Martin Tygel,"TYGEL, M.",NAO,Accelerating the CRS seismic processing method with GPUs
