NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Adilson Luis Bonifácio","BONIFÁCIO, A. L.","2","",,,,0
"Edson Borin","BORIN, E.","1","",,,,1
"Glauber Modolo Cabral","CABRAL, G. M.","2","",,,,1
"Anderson Faustino da Silva","SILVA, A. F.","3","",,,,1
"Edson Borin","BORIN, E.","6","",,,,2
"Regina Célia Coelho","COELHO, R. C.","1","",,,,2
"Carlos Marcelo Gurjão de Godoy","GODOY, C. M. G.","2","",,,,2
"Enio Roberto Ribeiro","RIBEIRO, E. R.","3","",,,,2
"Marcio Merino Fernandes","FERNANDES, M. M.","4","",,,,2
"Samuel Euzédice de Lucena","LUCENA, S. E.","5","",,,,2
"Edson Borin","BORIN, E.","2","",,,,3
"Ricardo Menotti","MENOTTI, R.","3","",,,,3
"Vanderlei Bonato","BONATO, V.","4","",,,,3
"Orides Morandin Junior","MORANDIN JUNIOR, O.","1","",,,,3
"Dennis Brandão","BRANDAO, D.","5","",,,,3
