NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SOFTWARE_Id,PATENTE_Id,PROCESSOS-OU-TECNICAS_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id
"Gabriel K. Bertazi","BERTAZI, G. K.","1","3118868194488436",54,,,,,,,,,
"Anderson Faustino da Silva","SILVA, A. F.","2","",54,,,,,,,,,
"Edson Borin","BORIN, E.","3","",54,,,,,,,,,
"Edson Borin","BORIN, E.","1","",,0,,,,,,,,
"Cheng Wang","WANG, C.","2","",,0,,,,,,,,
"Youfeng Wu","WU, Y.","3","",,0,,,,,,,,
"Guido Araújo","ARAUJO, G.","4","8683914780987242",,0,,,,,,,,
"Edson Borin","BORIN, E.","1","",,1,,,,,,,,
"Guido Araújo","ARAUJO, G.","2","8683914780987242",,1,,,,,,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","3","",,1,,,,,,,,
"Youfeng Wu","WU, Y.","4","",,1,,,,,,,,
"Nahri Moreano","MOREANO, N.","1","7109611749276343",,2,,,,,,,,
"Edson Borin","BORIN, E.;BORIN, EDSON","2","4176915322233893",,2,,,,,,,,
"Cid Carvalho de Souza","SOUZA, Cid Carvalho de","3","9852157976516603",,2,,,,,,,,
"Guido Araujo","ARAUJO, G.","4","8683914780987242",,2,,,,,,,,
"GUEDES, MARCELO","GUEDES, MARCELO","1","3464291486158377",,3,,,,,,,,
"AULER, RAFAEL","AULER, RAFAEL","2","5072043911907640",,3,,,,,,,,
"DUENHA, LIANA","DUENHA, LIANA","3","8872648473020443",,3,,,,,,,,
"Edson Borin","BORIN, EDSON","4","",,3,,,,,,,,
"AZEVEDO, RODOLFO","AZEVEDO, RODOLFO","5","2046981671187343",,3,,,,,,,,
"Edson Borin","BORIN, E.","1","",,4,,,,,,,,
"Rafael Auler","AULER, R.","2","5072043911907640",,4,,,,,,,,
"Edson Borin","BORIN, EDSON","1","",,5,,,,,,,,
"DEVLOO, PHILIPPE R.B.","DEVLOO, PHILIPPE R.B.","2","",,5,,,,,,,,
"VIEIRA, GILVAN S.","VIEIRA, GILVAN S.","3","",,5,,,,,,,,
"SHAUER, NATHAN","SHAUER, NATHAN","4","",,5,,,,,,,,
"Gabriel K. Bertazi","BERTAZI, G. K.","1","3118868194488436",,6,,,,,,,,
"Rafael Auler","AULER, R.","2","5072043911907640",,6,,,,,,,,
"Edson Borin","BORIN, E.","3","",,6,,,,,,,,
"Alexandro José Baldassin","BALDASSIN, Alexandro","1","",,7,,,,,,,,
"Edson Borin","BORIN, E.;BORIN, EDSON","2","4176915322233893",,7,,,,,,,,
"Guido Araujo","ARAUJO, Guido","3","",,7,,,,,,,,
"AULER, RAFAEL","AULER, RAFAEL","1","5072043911907640",,8,,,,,,,,
