NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,HOME-PAGE,MEIO-DE-DIVULGACAO,FLAG-DIVULGACAO-CIENTIFICA,PROGRAMA-DE-RADIO-OU-TV_Id
"PROGRAMA","Ideias Musicais: Harmonia das Esferas. Programa 13 ? novas simplicidades, novas complexidades - Série de programas da Radio Cultura FM - São Paulo","2011","Brasil","Português","NAO","","","http://culturafm.cmais.com.br/harmonia-das-esferas","NAO_INFORMADO","SIM",14
"PROGRAMA","Ideias Musicais: Harmonia das Esferas. Programa 14 ? espectralismo: a nova harmonia - Série de programas da Radio Cultura FM - São Paulo","2011","Brasil","Português","NAO","","","http://culturafm.cmais.com.br/harmonia-das-esferas","NAO_INFORMADO","SIM",15
"ENTREVISTA","Supertônica: programa da Rádio Cultura SP coordenado por Arrigo Barnabé","2007","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",16
"ENTREVISTA","Supertônica: programa da Rádio Cultura SP coordenado por Arrigo Barnabé - Risco no Disco","2012","Brasil","Português","NAO","","","http://culturabrasil.cmais.com.br/supertonica/arquivo/musica-eletronica-por-denise-garcia","NAO_INFORMADO","NAO",17
"ENTREVISTA","Trem-Pássaro Proträt der brasilianische Klangkomponistin Denise Garcia","2003","Alemanha","Alemão","NAO","","","","NAO_INFORMADO","NAO",18
"MESA_REDONDA","O Feminino na Música","1995","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",19
"MESA_REDONDA","O acervo de música contemporânea da Unicamp: histórico, desenvolvimento e perspectivas","2012","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",20
"MESA_REDONDA","Análise musical, emoção e significado no século XXI","2011","Brasil","Português","NAO","","","http://www2.eca.usp.br/etam/","NAO_INFORMADO","NAO",21
"MESA_REDONDA","Emoção e Significação na música eletroacústica","2009","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",22
"MESA_REDONDA","Partitura de Escuta: Confluência entre fonologia e análise musical","2010","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",23
"MESA_REDONDA","As correntes técnico-estéticas na Música Eletroacústica","1994","Brasil","Português","NAO","","","","NAO_INFORMADO","NAO",24
"ENTREVISTA","Trem-pássaro: Portrait der brasilianischen Klangkomponistin Denise Garcia","2003","Alemanha","","NAO","","","","NAO_INFORMADO","NAO",25
"PROGRAMA","Ideias Musicais: Harmonia das Esferas. Programa 5 ? Texturas polifônicas séculos XVII e XVIII - Série de programas da Radio Cultura FM - São Paulo","2011","Brasil","Português","NAO","","","http://culturafm.cmais.com.br/harmonia-das-esferas","OUTRO","SIM",26
