SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-SEMINARIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Educação","","",,,,,,,,,,,,,,,,,,,7,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,8,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,9,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,15,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,16,,,,,,
"Pesquisa e desenvolvimento científico","Educação","",,,,,,,,,,,,,,,,,,,17,,,,,,
"Educação","Atividades artísticas, criativas e de espetáculos","Pesquisa e desenvolvimento científico",,,,,,,,,,,,,,,,,,,18,,,,,,
"Atividades artísticas, criativas e de espetáculos","Pesquisa e desenvolvimento científico","",,,,,,,,,,,,,,,,,,,21,,,,,,
"Pesquisa e desenvolvimento científico","Educação","Atividades artísticas, criativas e de espetáculos",,,,,,,,,,,,,,,,,,,22,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,,23,,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,,24,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,25,,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","",,,,,,,,,,,,,,,,,,,26,,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","Pesquisa e desenvolvimento científico",,,,,,,,,,,,,,,,,,,27,,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,,2,,,,,
"Educação","Atividades Recreativas, Culturais e Desportivas","",,,,,,,,,,,,,,,,,,,,3,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,,10,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,,11,,,,,
"Educação","Atividades ligadas ao patrimônio cultural e ambiental","",,,,,,,,,,,,,,,,,,,,20,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,,21,,,,,
"Educação","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,,,,,,,,,22,,,,,
"Educação","Pesquisa e desenvolvimento científico","",,,,,,,,,,,,,,,,,,,,42,,,,,
"Educação","Pesquisa e desenvolvimento científico","",,,,,,,,,,,,,,,,,,,,43,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","Pesquisa e desenvolvimento científico",,,,,,,,,,,,,,,,,,,,44,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","Pesquisa e desenvolvimento científico",,,,,,,,,,,,,,,,,,,,46,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,,,47,,,,,
"Educação","Pesquisa e desenvolvimento científico","",,,,,,,,,,,,,,,,,,,,68,,,,,
"Atividades artísticas, criativas e de espetáculos","Pesquisa e desenvolvimento científico","",,,,,,,,,,,,,,,,,,,,69,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,,,70,,,,,
"Pesquisa e desenvolvimento científico","Educação","",,,,,,,,,,,,,,,,,,,,71,,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,,72,,,,,
"Atividades artísticas, criativas e de espetáculos","Pesquisa e desenvolvimento científico","",,,,,,,,,,,,,,,,,,,,73,,,,,
"Educação","Pesquisa e desenvolvimento científico","Atividades artísticas, criativas e de espetáculos",,,,,,,,,,,,,,,,,,,,74,,,,,
"Educação","Pesquisa e desenvolvimento científico","Atividades artísticas, criativas e de espetáculos",,,,,,,,,,,,,,,,,,,,75,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,,,76,,,,,
"Pesquisa e desenvolvimento científico","Educação","",,,,,,,,,,,,,,,,,,,,77,,,,,
"Pesquisa e desenvolvimento científico","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,,,,,,,,,78,,,,,
"Pesquisa e desenvolvimento científico","Atividades artísticas, criativas e de espetáculos","",,,,,,,,,,,,,,,,,,,,79,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,,,80,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,,,81,,,,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,,,82,,,,,
"Atividades artísticas, criativas e de espetáculos","Educação","Pesquisa e desenvolvimento científico",,,,,,,,,,,,,,,,,,,,83,,,,,
"Educação Superior","","",,,,,,,,,,,,,,,,,,,,,0,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,,,1,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,,,2,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,,,3,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,,,4,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,,,5,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,,,7,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,,,10,,,,
"Educação","","",,,,,,,,,,,,,,,,,,,,,,4,,,
"Produtos e Serviços Recreativos, Culturais, Artísticos e Desportivos","","",,,,,,,,,,,,,,,,,,,,,,,10,,
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,,,,,,,0,
"Pesquisa e desenvolvimento científico","Educação","",,,,,,,,,,,,,,,,,,,,,,,,2,
"Atividades artísticas, criativas e de espetáculos","Pesquisa e desenvolvimento científico","",,,,,,,,,,,,,,,,,,,,,,,,,0
"Pesquisa e desenvolvimento científico","","",,,,,,,,,,,,,,,,,,,,,,,,,1
