SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,RELATORIO-DE-PESQUISA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-SEMINARIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,5,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,6,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,7,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,8,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,9,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,10,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,11,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,12,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,13,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,14,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,15,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,16,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,17,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,18,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,19,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,20,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,21,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,22,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,23,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,24,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,25,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,26,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,27,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,28,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,29,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,30,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,31,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,32,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,33,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,34,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,35,,,,,,,,,,,,,,,,,,,
"Atividades Recreativas, Culturais e Desportivas","","",,,,,,36,,,,,,,,,,,,,,,,,,,
