NOME-DO-EVENTO,INSTITUICAO-PROMOTORA,LOCAL-DA-APRESENTACAO,CIDADE-DA-APRESENTACAO,NOME-DO-EVENTO-INGLES,APRESENTACAO-DE-TRABALHO_Id
"Curso de Produção de Música Eletrônica","Universidade Anhembi Morumbi","São Paulo","São Paulo","",23
"XIX Congresso da ANPPOM","Universidade Federal do Paraná e ANPPOM","Departamento de Artes da UFPR","Curitiba","",24
"I Encontro Internacional de Análise Musical","Deptos. de Música da USP, UNESP e UNICAMP","Instituto de Artes da UNESP","São Paulo","",25
"5º Encontro de Música e Mídia","Escola de Comunicações e Artes da Universidade de São Paulo","Escola de Comunicações e Artes da USP","São Paulo","",26
"Segundo Encontro de Pesquisadores em Poética e Retórica Musical dos séculos XVI, XVII e XVIII","Universidade de São Paulo","Museu de Arte Contemporânea - MAC/USP","São Paulo","",27
"I SIMPOM - I Simpósio Brasileiro de Pós-Graduação em Música","Universidade Federal do Estado do Rio de Janeiro","Jocquei Club","Rio de Janeiro","",28
"EMS2011 - Electroacoustic Music Studies Conference - Sforzando","Electroacoustic Music Studies Network / Electronic Music Foundation","New York University","Nova Iorque","",29
"II Encontro Internacional de Teoria e Análise Musical Unesp/Usp/Unicamp","Unesp/Usp/Unicamp","Instituto de Artes da Unesp","São Paulo","",30
"III Simpósio Internacional de Musicologia da UFRJ","Universidade Federal do Rio de Janeiro","Escola de Música da UFRJ","Rio de Janeiro","",31
"IV Seminário Música Ciência Tecnologia: Fronteiras e Rupturas","Universidade de São Paulo","Departamento de Música - ECA/USP","São Paulo","",32
"IX Congresso Interno De Iniciação Científica Da Unicamp","UNICAMP","UNICAMP","Campinas - SP","",33
"XXIII Congresso da ANPPOM","Associação Nacional de Pesquisa e Pós-Graduação em Música","Escola de Música da UFRN","Natal","",34
"Disciplina Análise Musical I - Palestra para o curso de bacharelado em composição do Instituto Villa-Lobos Unirio","Instituto Villa-Lobos Unirio","UNIRIO","Rio de Janeiro - RJ","",35
"Palestra especial de treinamento - Unicamp","Departamento de Artes Corporais - Universidade Estadual de Campinas","UNICAMP","Campinas - SP","",36
"Panorama da música contemporânea - Palestra na disciplina Sistemas Intersemióticos II","PUC- SP","PUC - SP","São Paulo - SP","",37
"Palestra No Centro De Linguagem Do Programa De Pós Graduação Em Comunicação E Semiótica PUC -SP","Programa De Pós Graduação Em Comunicação E Semiótica PUC -SP","PUC -SP","São Paulo - SP","",38
"Encontro Internacional de Teatro de Grupo","","Lima, Peru","Lima, Peru","",39
"Women in Group Theatre I","Women in Group","Dusseldorf","Dusseldorf - Alemanha","",40
"Semana Aberta do LUME","LUME - UNICAMP","Departamento de Artes Cênicas - Unicamp","Campinas - SP","",41
"Semana "Trilhas Musicais"","Instituto de Artes UNICAMP","Departamento de Multimeios - UNICAMP","Campinas - SP","",42
"Seminários Experimentais - PPG Mus UNICAMP","PPG Mus Unicamp","Instituto de Artes- UNICAMP","Campinas - SP","",43
"I Festival Internacional de Compositoras","Escola de Música da UFRJ","Escola de Música da UFRJ","Rio de Janeiro - RJ","",44
"I Encontro De Musica Eletroacústica","Universidade Federal de Brasília","Universidade Federal de Brasília","Brasiília - DF","",45
"Festival Internacional de Mulheres Compositoras","Universidade Livre de Música","SESC - Ipiranga","São Paulo - SP","",46
"Seminários Experimentais - PPG Mus UNICAMP","PPG Artes - UNICAMP","Instituto de Artes- UNICAMP","Campinas - SP","",47
"Seminários Internos - Grupo INA - GRM","Radio France","GRM","Paris","",48
"Primeira Reunião do CLM - Centro de Linguagens Musicais - PUC - SP","PUC- SP","PUC - SP","São Paulo - SP","",49
"VIII Festival Acousmatique International","Musiques e Recherches","Théâtre Marni","Bruxelas - Bélgica","",50
"Invenção: Thinking the Next Millenium","Instituto Itaú Cultural São Paulo","Itaú Cultural","São Paulo - SP","",51
"EMA - Encontros de Música Atual","Escola de Comunicação e Artes da USP - Departeamento de Música","Departamento de Música da ECA/USP","São Paulo - SP","",52
"II Festival de Música Contemporânea Brasileira","Sintoniza Produtora Cultural","Instituto de Artes da NICAMP","Campinas - SP","",53
"IV Encontro Internacional de Teoria e Análise Musical","USP/UNESP e UNICAMP","Escola de Comunicações e Artes da Universidade de São Paulo","São Paulo","",54
"III Seminário Música Ciência Tecnologia","Escola de Comunicações e Artes da Universidade de São Paulo","Escola de Comunicações e Artes da USP","São Paulo","",55
