NATUREZA,TITULO-DO-TEXTO,ANO-DO-TEXTO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-TEXTO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,TEXTO-EM-JORNAL-OU-REVISTA_Id
"JORNAL_DE_NOTICIAS","A música de Bach, às 21hs no recital do Teatro Cultura Artística","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",21
"JORNAL_DE_NOTICIAS","A importância do concerto, tema de hoje da Sinfônica, como obra musical.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",22
"JORNAL_DE_NOTICIAS","O encontro sinfônico no Municipal","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",23
"JORNAL_DE_NOTICIAS","Hoje é dia de música barroca, no Cultura Artística.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",24
"JORNAL_DE_NOTICIAS","O Romântico Anton Bruckner e sua música simples e ingênua","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",25
"JORNAL_DE_NOTICIAS","Blech rege a Sinfônica.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",26
"JORNAL_DE_NOTICIAS","Beethoven, a última sonata por um grande intérprete","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",27
"JORNAL_DE_NOTICIAS","A música que Bach criou para os filhos","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",28
"JORNAL_DE_NOTICIAS","Debussy e Tchaikowsky, juntos, no programa do Masp.","1979","Brasil","Português","IMPRESSO","","NAO","","","NAO",29
"JORNAL_DE_NOTICIAS","No Masp, o String Quartet apresenta quartetos de Bartók e Beethoven.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",30
"JORNAL_DE_NOTICIAS","Um Chopin efervescente. E Ravel.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",31
"JORNAL_DE_NOTICIAS","Brahms, Santoro e Bartok, no Masp. Com o piano de Szidon e o violino de Abel.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",32
"JORNAL_DE_NOTICIAS","Chopin é o destaque da Orquestra Sinfônica Estadual. E ainda tem Schubert e Nepomuceno. Uma mescla de clássicos nesta temporada","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",33
"JORNAL_DE_NOTICIAS","Chopin e Prokofieff, para o concerto de Martha Argerich.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",34
"JORNAL_DE_NOTICIAS","Camargo Guarnieri está no encerramento da temporada do Municipal","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",35
"JORNAL_DE_NOTICIAS","O Concerto Grosso, por Händel (foto) e Stravinsky, às 21h na USP. Grátis.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",36
"JORNAL_DE_NOTICIAS","Gershwin, Neschling e Anna Stella Shic. No Municipal.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",37
"JORNAL_DE_NOTICIAS","Comunicação: o objetivo de O Rei Davi.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",38
"JORNAL_DE_NOTICIAS","Grieg e Britten na União Cultural","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",39
"JORNAL_DE_NOTICIAS","O piano de Roberto Szidon no MASP, às 21 h.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",40
"JORNAL_DE_NOTICIAS","A vanguarda dodecafônica, anterior a Schoenberg","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",41
"JORNAL_DE_NOTICIAS","A obra de Koellreuter, baseada no concretismo japonês.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",42
"JORNAL_DE_NOTICIAS","A Sinfônica, num encontro com o mineiro Lobo de Mesquita","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",43
"JORNAL_DE_NOTICIAS","O som barroco de Lobo de Mesquita","1979","Brasil","Português","IMPRESSO","","NAO","","","NAO",44
"JORNAL_DE_NOTICIAS","A música que Mignone compôs e vai reger hoje às 16h na USP","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",45
"JORNAL_DE_NOTICIAS","Conheça o concerto de Mozart que será ouvido às 21h no MASP","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",46
"JORNAL_DE_NOTICIAS","Fantasia em Dó Menor de Mozart, com Lili Kraus, às 21h no Masp.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",47
"JORNAL_DE_NOTICIAS","Uma serenata e um concerto de Mozart, que serão ouvidos na USP.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",48
"JORNAL_DE_NOTICIAS","Leia sobre a obra de Messiaen, antes de ir ao concerto do MASP","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",49
"JORNAL_DE_NOTICIAS","O festival de música, em Santos.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",50
"JORNAL_DE_NOTICIAS","Mozart é executado pela pianista Stelinha Epstein às 21h, no MASP.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",51
"JORNAL_DE_NOTICIAS","Um ousado contraponto: Mahler e Webern.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",52
"JORNAL_DE_NOTICIAS","Mendelssohn e César Frank, a trilha sonora do Romantismo.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",53
"JORNAL_DE_NOTICIAS","Dois conjuntos unidos. Para um concerto de música antiga.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",54
"JORNAL_DE_NOTICIAS","Marlos Nobre está na batura de Karabtchevsky, hoje, no Municipal.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",55
"JORNAL_DE_NOTICIAS","Mozart, no que ele tem de melhor: concertos para piano.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",56
"JORNAL_DE_NOTICIAS","Obras muito especiais. Nos concertos de primavera.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",57
"JORNAL_DE_NOTICIAS","A melhor ópera de Henry Purcell","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",58
"JORNAL_DE_NOTICIAS","O compositor Peixinho está na III Bienal, na USP. Entrada grátis.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",59
"JORNAL_DE_NOTICIAS","Às 21h, o recital do Grupo Percussão Agora. No Masp.","1979","Brasil","Português","IMPRESSO","","NAO","","","NAO",60
"JORNAL_DE_NOTICIAS","Só música, neste festival que prometia dança","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",61
"JORNAL_DE_NOTICIAS","Som brasileiro, erudito e contemporâneo.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",62
"JORNAL_DE_NOTICIAS","A flora brasileira musicada por Almeida Prado","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",63
"JORNAL_DE_NOTICIAS","Agora, é a vez de Zulueta interpretar Ravel.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",64
"JORNAL_DE_NOTICIAS","As noites árabes, musicadas por Rimsky Korsakov.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",65
"JORNAL_DE_NOTICIAS","As composições de Ravel que você pode ouvir esta noite no Municipal","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",66
"JORNAL_DE_NOTICIAS","Schubert (foto) e Mozart, pela Sinfônica Municipal.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",67
"JORNAL_DE_NOTICIAS","Conheça um pouco sobre Skriabin, que será ouvido às 21 h no MASP.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",68
"JORNAL_DE_NOTICIAS","Schumann faz o Tinetti, no programa do Municipal.","1979","Brasil","Português","IMPRESSO","","NAO","","","NAO",69
"JORNAL_DE_NOTICIAS","Conheça a música de Scriabin, que será executada às 21h no Masp.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",70
"JORNAL_DE_NOTICIAS","Stravinsky, pela Sinfônica Estadual.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",71
"JORNAL_DE_NOTICIAS","A Sinfônica Estadual apresenta Petrouchka, do mestre Stravinsky.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",72
"JORNAL_DE_NOTICIAS","Stravinsky está no programa do regente Bologna, às 21h, no Masp.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",73
"JORNAL_DE_NOTICIAS","Obras de Schoenberg e Webern, às 21h, no Anfiteatro da USP.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",74
"JORNAL_DE_NOTICIAS","A história do lied e seus autores que serão ouvidos hoje no Masp","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",75
"JORNAL_DE_NOTICIAS","Amanhã, o músico vai ser a atração maior.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",76
"JORNAL_DE_NOTICIAS","O New York Vocal Arts Ensemble toca Schubert, no Masp, às 21h.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",77
"JORNAL_DE_NOTICIAS","A rapidez de Franz Schubert. E o rigor de Brahms.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",78
"JORNAL_DE_NOTICIAS","As promessas deste conjunto de Câmara","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",79
"JORNAL_DE_NOTICIAS","Um desencontro nos Encontros da Primavera","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",80
"JORNAL_DE_NOTICIAS","haendel, em primeira audição. E o brasileiro Krueger.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",81
"JORNAL_DE_NOTICIAS","A Orquestra Sinfônica Estadual hoje no Teatro São Pedro.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",82
"JORNAL_DE_NOTICIAS","Cláudio Santoro rege a Sinfônica Estadual, no Cultura Artística.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",83
"JORNAL_DE_NOTICIAS","Um tenor e um pianista para os lieder de Schubert.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",84
"JORNAL_DE_NOTICIAS","Tchaikovski e suas seis sinfonias.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",85
"JORNAL_DE_NOTICIAS","No municipal, um Tchaikovsky brilhante, sem ser bombástico.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",86
"JORNAL_DE_NOTICIAS","Gilberto Tinetti com o Trio Brasileiro, so hoje, no MASP.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",87
"JORNAL_DE_NOTICIAS","Uma Elegia pré-nacionalista","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",88
"JORNAL_DE_NOTICIAS","Um piano de brinquedo. No Masp.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",89
"JORNAL_DE_NOTICIAS","As Quatro Estações, de Vivaldi, só hoje às 21h no Municipal.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",90
"JORNAL_DE_NOTICIAS","Trenzinho Caipira, regido por Karabitchevsky. No 5, 21h.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",91
"JORNAL_DE_NOTICIAS","Três homenagens na sessão do Quarteto de Cordas.","1979","Brasil","Português","IMPRESSO","","NAO","","","NAO",92
"JORNAL_DE_NOTICIAS","Villa-Lobos, escrevendo como Bach.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",93
"JORNAL_DE_NOTICIAS","A música de Vivaldi, por italianos.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",94
"JORNAL_DE_NOTICIAS","No Cultura Artística, uma homenagem a Vivaldi.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",95
"JORNAL_DE_NOTICIAS","Wagner, nos Concertos Internacionais do 5. 21h.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",96
"JORNAL_DE_NOTICIAS","Willy Correa, em homenagem a Beethoven, às 21h, na USP.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",97
"JORNAL_DE_NOTICIAS","A curiosa música erudita argentina","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",98
"JORNAL_DE_NOTICIAS","Ninguém paga para ver os concertos da Cidade Universitária","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",99
"JORNAL_DE_NOTICIAS","O Waverly Consort e a música da Renascença. No Municipal, às 21h.","1978","Brasil","Português","IMPRESSO","","NAO","","","NAO",100
"JORNAL_DE_NOTICIAS","Quartetos de Beethoven, que o Coral Municipal interpreta no Masp. 21h.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",101
"JORNAL_DE_NOTICIAS","Duas obras de Beethoven. Uma feita na juventude e outra feita após a surdez.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",102
"JORNAL_DE_NOTICIAS","Hoje na tevê a 3ª Sinfonia de Beethoven, dedicada a Napoleão.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",103
"JORNAL_DE_NOTICIAS","Quarto Encontro com Beethoven, às 16h no Cultura Artística.","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",104
"REVISTA_MAGAZINE","Odin Teatret, sua história, seus caminhos","1987","Brasil","Português","IMPRESSO","","NAO","","","NAO",105
"REVISTA_MAGAZINE","La Musica en el Reencuentro Ayacucho 88","1989","Cuba","Espanhol","IMPRESSO","","NAO","","","NAO",106
"JORNAL_DE_NOTICIAS","Diabelli, revisto por Beethoven","1977","Brasil","Português","IMPRESSO","","NAO","","","NAO",107
