NATUREZA,TITULO,ANO,PAIS,IDIOMA,FLAG-RELEVANCIA,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,APRESENTACAO-DE-TRABALHO_Id
"CONFERENCIA","Produção e Renovação da Mídia e do suporte das obras musicais de pioneiros no uso da tecnologia","2006","Brasil","Português","NAO","","","NAO",20
"COMUNICACAO","O Grupo Música Nova e a mídia eletroacústica: revisão de conceitos e proposta de classificação","2007","Brasil","Português","NAO","","","NAO",21
"COMUNICACAO","Composição Assistida por computador na obra Klavibm II de Duprat e Cozzella","2007","Brasil","Português","NAO","","","NAO",22
"CONFERENCIA","Carreira na Música eletroacústica (palestra)","2008","Brasil","Português","NAO","","","NAO",23
"COMUNICACAO","Santos Football Music: um Divertimento alla Mendes","2009","Brasil","Português","NAO","","","NAO",24
"CONFERENCIA","Participação na Mesa: Emoção e Significado na música eletroacústica","2009","Brasil","Português","NAO","","","NAO",25
"CONFERENCIA","Participação na Mesa: Música e Relações de Poder","2009","Brasil","Português","NAO","","","NAO",26
"CONFERENCIA","Conversa de compositor: sentidos de paráfrase, citação e referência alegórica em exemplos composicionais","2010","Brasil","Português","NAO","","","NAO",27
"CONFERENCIA","Partitura de escuta: confluência entre sonologia e análise musical","2010","Brasil","Português","NAO","","","NAO",28
"COMUNICACAO","Estúdio da Glória in the 1980s: an electroacoustic production center in Brazil","2011","Brasil","Português","NAO","","","NAO",29
"CONFERENCIA","Análise Musical, emoção e significação no século XXI","2011","Brasil","Português","NAO","","","NAO",30
"CONFERENCIA","O acervo de música contemporânea da Unicamp:histórico, desenvolvimento e perspectivas","2012","Brasil","Português","NAO","","","NAO",31
"COMUNICACAO","Estúdio da Glória, década de 80: polo de produção eletroacústica no Brasil","2012","Brasil","Português","NAO","","","NAO",32
"OUTRA","Movimento Da Música Música Do Movimento: Um Estudo Da Relação Estrutural Entre Composição Musical E Construção Coreográfica","2001","Brasil","Bretão","NAO","","","NAO",33
"COMUNICACAO","Arálise gráfica de 'introdução à Pedra de Rodolfo Caesar: uma proposta metodológica","2013","Brasil","Português","NAO","","","NAO",34
"CONFERENCIA","Aula para o curso de bacharelado em composição do Instituto Villa-Lobos Unirio","2007","Brasil","Português","NAO","","","NAO",35
"CONFERENCIA","Mecanização da arte","1994","Brasil","Português","NAO","","","NAO",36
"CONFERENCIA","Panorama da música contemporânea","1991","Brasil","Português","NAO","","","NAO",37
"CONFERENCIA","Modelos para Música Eletroacústica","1999","Brasil","Português","NAO","","","NAO",38
"COMUNICACAO","A Música no Reencuentro Ayacucho 88","1988","Peru","Português","NAO","","","NAO",39
"CONFERENCIA","Solo-Rio: os caminhos da música no Teatro","1989","Alemanha","Alemão","NAO","","","NAO",40
"OUTRA","Brincadeiras do Som na Ação","1991","Brasil","Português","NAO","","","NAO",41
"CONFERENCIA","O Espaço entre Cena e Música","1992","Brasil","Português","NAO","","","NAO",42
"CONFERENCIA","Experimentos em Arte Sonora","1993","Brasil","Português","NAO","","","NAO",43
"CONFERENCIA","A Casa do Poeta - Princípios da Áudio Arte","1993","Brasil","Português","NAO","","","NAO",44
"COMUNICACAO","A Casa do Poeta: experimentos em Áudio-Arte","1994","Brasil","Português","NAO","","","NAO",45
"COMUNICACAO","Vozes da Cidade","1995","Brasil","Português","NAO","","","NAO",46
"CONFERENCIA","A Narrativa na Música Acusmática","1996","Brasil","Português","NAO","","","NAO",47
"SEMINARIO","Concert Multiphonie: Espace Différencié","1997","França","Francês","NAO","","","NAO",48
"CONFERENCIA","Modelos na Música Eletroacústica - apresentação do estágio de pesquisa","1998","Brasil","Português","NAO","","","NAO",49
"SEMINARIO","Seminaire d'analyse de ovres - Rencontre avec Denise Garcia","2001","Bélgica","Francês","NAO","","","NAO",50
"CONFERENCIA","Infobodies: Unfolding and Potentiallities","1999","Brasil","Português","NAO","","","NAO",51
"CONFERENCIA","Palestra ministrada na série Ëncontros: Música atual'","2014","Brasil","Português","NAO","","","NAO",52
"COMUNICACAO","As obras eletroacústicas mistas de Gilberto Mendes","2015","Brasil","Português","NAO","","","NAO",53
"COMUNICACAO","Materiales de Willy Corrêa de Oliveira: da tradução intersemiótica à escolha dos instrumentos e materiais","2017","Brasil","Português","NAO","","","NAO",54
"CONFERENCIA","Introdução à Pedra de Rodolfo Caesar: leituras de uma obra","2008","Brasil","Português","NAO","","","NAO",55
