CLASSIFICACAO-DO-EVENTO,NOME-DO-EVENTO,CIDADE-DO-EVENTO,ANO-DE-REALIZACAO,TITULO-DOS-ANAIS-OU-PROCEEDINGS,VOLUME,FASCICULO,SERIE,PAGINA-INICIAL,PAGINA-FINAL,ISBN,NOME-DA-EDITORA,CIDADE-DA-EDITORA,NOME-DO-EVENTO-INGLES,TRABALHO-EM-EVENTOS_Id
"NACIONAL","48º Congresso da Sociedade Brasileira de Economia e Sociologia Rural (Sober). Campo Grande, julho de 2010. 48º Congresso da Sociedade Brasileira de Economia e Sociologia Rural (SOBER).","Campo Grande","2010","48º Congresso SOBER: Tecnologias, Desenvolvimento e Integração Social.","1","","","1","14","","","","",11
"NACIONAL","48º Congresso da Sociedade Brasileira de Economia e Sociologia Rural (Sober). Campo Grande, julho de 2010.","Campo Grande","2010","48º Congresso da SOBER: Tecnologias, Desenvolvimento e Integração Social.","1","","","1","19","","","","",12
"NACIONAL","XXXVIII ENCONTRO NACIONAL DE ECONOMIA","Salvador","2010","38o Encontro Nacional de Economia - ANPEC.","","","","","","","","","",13
"INTERNACIONAL","Brazilian Conference on Statistical - Modelling in Insurance and Finance","Maresias, São Paulo","2011","Fifth Brazilian Conference on Statistical - Modelling in Insurance and Finance","","","","","","","","","",14
"NACIONAL","49º Congresso da Sociedade Brasileira de Economia, Administração e Sociologia Rural","Belo Horizonte","2011","49º Congresso da Sociedade Brasileira de Economia, Administração e Sociologia Rural","","","","","","","","","",15
"NACIONAL","49º Congresso da Sociedade Brasileira de Economia, Administração e Sociologia Rural","Belo Horizonte","2011","49º Congresso da Sociedade Brasileira de Economia, Administração e Sociologia Rural","","","","","","","","","",16
"NACIONAL","XXXV Encontro da ANPAD","Rio de Janeiro","2011","XXXV Encontro da Associação Nacional de Pós Graduação e Pesquisa em Administração","","","","","","","","","",17
"INTERNACIONAL","VIII International Agribusiness PAA-PENSA Conference","Buenos Aires","2011","VIII International Agribusiness PAA-PENSA Conference - The Multiple Agro Profiles: How to Balance Economy, Environment and Society","","","","","","","","","",18
"NACIONAL","39° Encontro Nacional de Economia","Foz do Iguaçu","2011","39° Encontro Nacional de Economia","","","","","","","","","",19
"NACIONAL","1º CONFERÊNCIA EM GESTÃO DE RISCO E COMERCIALIZAÇÃO DE COMMODITIES ? CGRCC","São Paulo","2011","CONFERÊNCIA EM GESTÃO DE RISCO E COMERCIALIZAÇÃO DE COMMODITIES ? CGRCC","","","","","","","","","",20
"NACIONAL","1º CONFERÊNCIA EM GESTÃO DE RISCO E COMERCIALIZAÇÃO DE COMMODITIES ? CGRCC","São Paulo","2011","CONFERÊNCIA EM GESTÃO DE RISCO E COMERCIALIZAÇÃO DE COMMODITIES ? CGRCC","","","","","","","","","",21
"NACIONAL","50º Congresso da Sociedade Brasileira de Economia, Administração e Sociologia Rural (SOBER)","Vitória","2012","50º Congresso da Sociedade Brasileira de Economia, Administração e Sociologia Rural (SOBER) - Agricultura e Desenvolvimento Rural com Sustentabilidade","","","","","","","","","",22
"NACIONAL","50º Congresso da Sociedade Brasileira de Economia, Administração e Sociologia Rural (SOBER)","Vitória","2012","50º Congresso da Sociedade Brasileira de Economia, Administração e Sociologia Rural (SOBER) - Agricultura e Desenvolvimento Rural com Sustentabilidade","","","","","","","","","",23
"NACIONAL","50º Congresso da SOBER 2012","Vitória","2012","50º Congresso da SOBER 2012","","","","","","","","","",24
"NACIONAL","XV SEMEAD ? Seminários em Administração FEA-USP","São Paulo","2012","XV SEMEAD ? Seminários em Administração FEA-USP - Desafios da Gestão: Econômica, Social e Ambiental","","","","","","","","","",25
"NACIONAL","40° Encontro Nacional de Economia","Porto de Galinhas","2012","40° Encontro Nacional de Economia","","","","","","","","","",26
"INTERNACIONAL","17 Reunión Anual de la Red Pymes Mercosur.","São Paulo","2012","Sectores, Redes, Encadenameintos Productivos y Clusters de Empresas","","","","","","","","","",27
"NACIONAL","CGRCC - 2o Conferência sobre Gestão de Risco e Comercialização de Commodities","São Paulo","2012","CGRCC - 2o Conferência sobre Gestão de Risco e Comercialização de Commodities","","","","","","","","","",28
"NACIONAL","XVI SEMEAD Seminários em Administração","São Paulo","2013","Seminários em Administração","1","1","1","1","15","2177-3866","","","",29
"NACIONAL","41° Encontro Nacional de Economia","Foz do Iguaçú","2013","41° Encontro Nacional de Economia - Anpec.","1","1","1","1","18","","","","",30
"INTERNACIONAL","International Conference on Finance, Banking, and Regulation","Brasília","2014","International Conference on Finance, Banking, and Regulation","","","","","","","","","",31
"INTERNACIONAL","International Food and Agribusiness Management Association?s 2014 Annual Meeting","Saint Paul, Minnesota, USA","2015","IFAMA 25th Annual World Forum and Symposium","","","","1","21","","","","",32
"INTERNACIONAL","NCR-134 Conference on Applied Commodity Price Analysis, Forecasting, and Market Risk Management","St Louis, MO, USA","2015","NCCC-134","","","","","","","","","",33
"INTERNACIONAL","Agricultural & Applied Economics Association and Western Agricultural Economics Association Annual Meeting","San Francisco, CA, USA","2015","AAEA Meetting","","","","","","","","","",34
"NACIONAL","5ª Conferência em Gestão de Risco e Comercialização de Commodities","São Paulo","2015","CGRCC","","","","","","","","","",35
"NACIONAL","5ª Conferência em Gestão de Risco e Comercialização de Commodities","São Paulo","2015","CGRCC","","","","","","","","","",36
"NACIONAL","XXXIX EnANPAD","Belo Horizonte","2015","XXXIX Encontro da ANPAD","","","","","","","","","",37
"INTERNACIONAL","International Conference on Emerging Market Economies","Porto","2016","EuroConference 2016","","","","","","","","","",38
"INTERNACIONAL","Agricultural & Applied Economics Association Annual Meeting","Boston, MA","2016","AAEA Meeting","","","","","","","","","",39
"INTERNACIONAL","Agricultural & Applied Economics Association Annual Meeting","Boston, MA","2016","AAEA Meeting","","","","","","","","","",40
"NACIONAL","6º Encontro Brasileiro de Finanças","Rio de Janeiro","2016","Encontro SBFin","","","","","","","","","",41
"NACIONAL","XL Encontro da ANPAD","Costa do Sauipe","2016","EnANPAD 2016","","","","","","","","","",42
"INTERNACIONAL","Agricultural & Applied Economics Association Annual Meeting","Chicago","2017","AAEA Conference","","","","","","","","","",43
"INTERNACIONAL","XVII USP International Conference in Accounting","São Paulo","2017","XVII USP International Conference in Accounting","","","","","","","","","",44
"INTERNACIONAL","Agricultural & Applied Economics Association Annual Meeting","Chicago","2017","AAEA Conference","","","","","","","","","",45
