NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,TRABALHO-TECNICO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",20,,,,,,
"Alexandre Gori Maia","Maia, A. G.","2","8284067987442342",20,,,,,,
"José César Cruz Júnior.","JUNIOR., J. C. C.","3","0086426315229286",20,,,,,,
"Maria Sylvia Macchione Saes","Saes, Maria Sylvia Macchione","4","1114037512202812",20,,,,,,
"Oscar Osvaldo Frick","FRICK, O. O.","1","",21,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",21,,,,,,
"Bruno Ferreira Martins","MARTINS, B. F.","1","",22,,,,,,
"Miguel Juan Bacic","BACIC, M. J.","2","8997803246951593",22,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","3","7916021882928474",22,,,,,,
"Renan Muniz Pimenta","PIMENTA, R. M.","1","",23,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",23,,,,,,
"MARCELO JOSÉ CARRER","CARRER, M. J.","1","6178330814144839",24,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",24,,,,,,
"HILDO MEIRELLES SOUZA FILHO","SOUZA FILHO, H. M.","3","3740950346967524",24,,,,,,
"MARCELA MELLO BRANDÃO VINHOLIS","VINHOLIS, M. M. B.","4","5730999136286305",24,,,,,,
"Pedro C. Bias Fortes","FORTES, P. C. B.","1","",25,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",25,,,,,,
"Miguel Juan Bacic","BACIC, M. J.","3","8997803246951593",25,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",26,,,,,,
"Alexandre Gori Maia","Maia, A. G.","2","8284067987442342",26,,,,,,
"José César Cruz Júnior.","JUNIOR., J. C. C.","3","0086426315229286",26,,,,,,
