NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,,,2,
"MARX, R.","MARX, R.","2","",,,,,0
"NAKANO, D. R.","NAKANO, D. R.","3","",,,,,0
"RODRIGUES, A. L","RODRIGUES, A. L","4","",,,,,0
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,,,,0
"Rosangela Ballini","BALLINI, R.","1","1766558858445284",,,,,1
"FRACALANZA, P. S.","FRACALANZA, P. S.","3","",,,,,1
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",,,,,1
"Geraldo Sant'Ana de Camargo Barros","BARROS, G. S. C.","1","8404786723177950",,,,,2
"Alexandre Chibebe Nicolella","NICOLELLA, A. C","3","",,,,,2
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","2","7916021882928474",,,,,2
"Mirian Rumenos Piedade Bacchi","Bacchi, M. R. P.","1","",,,,,3
"Alexandre Chibebe Nicolella","NICOLELLA, A. C","2","",,,,,3
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","3","7916021882928474",,,,,3
"JOSÉ CESAR CRUZ JÚNIOR","JOSÉ CESAR CRUZ JÚNIOR","3","0086426315229286",,,,,4
"Pedro Valentim Marques","MARQUES, P. V.","1","",,,,,4
"Almir Ferreira de Sousa","SOUSA, A. F.","2","",,,,,4
"Lucilio Alves","ALVES, L.","5","",,,,,4
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","4","7916021882928474",,,,,4
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",,,,,5
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","5","",,,,,6
"Alexandre Assaf Neto","ASSAF NETO, A.","1","",,,,,6
"Álvaro Martim Guedes","GUEDES, A. M.","2","",,,,,6
"Jaime Crozatti","CROZATTI, J.","3","",,,,,6
"Márcio Marcelo Belli","BELLI, M. M.","4","",,,,,6
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","5","",,,,,7
"Décio Kadota","KADOTA, D.","1","",,,,,7
"Daniel Monte","MONTE, D.","2","",,,,,7
"João M. P. Mello","MELLO, J. M. P.","3","",,,,,7
"Rafael C. C. Lima","LIMA, R. C. C.","4","",,,,,7
