SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Eletricidade, gás e outras utilidades","","",,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
