NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,DEMAIS-TRABALHOS_Id
"Maria Cristina Dias Tavares","Tavares, M.C.","2","",92,,,,,,,,,,,,,,,
"Allan Alves Montanari","MONTANARI, Allan Alves","1","",93,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","2","",93,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","3","3563809681641435",93,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",94,,,,,,,,,,,,,,,
"Alessandra Camara","Camara, Alessandra","2","",94,,,,,,,,,,,,,,,
"Ricardo Gonçalves","Gonçalves, Ricardo","3","",94,,,,,,,,,,,,,,,
"Marcelo Guimarães","GUIMARAES, M.","4","",94,,,,,,,,,,,,,,,
"Orsino Oliveira","Oliveira, Orsino","5","",94,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","6","",94,,,,,,,,,,,,,,,
"João Bosco Gertrudes","GERTRUDES, João Bosco","1","2755740550497444",95,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria C.","2","",95,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","3","3563809681641435",95,,,,,,,,,,,,,,,
"Mestas, P.","Mestas, P.","1","5092857787801476",96,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria C.","2","",96,,,,,,,,,,,,,,,
"Rodrigo","Vidigal, Rodrigo F.","1","",97,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria C.","2","",97,,,,,,,,,,,,,,,
"Zevallos, Milton E.","Zevallos, Milton E.","1","",98,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","2","",98,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","1","",99,,,,,,,,,,,,,,,
"Ricardo Torquato Borges","Borges, R. T.","2","3673940631540319",99,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","1","",100,,,,,,,,,,,,,,,
"Jonas Lemos Talaysis","Talaysis, J. L.","2","",100,,,,,,,,,,,,,,,
"Portela, C.M.","Portela, C.M.","3","3563809681641435",100,,,,,,,,,,,,,,,
"Alessandra Camara","Camara, Alessandra","4","",100,,,,,,,,,,,,,,,
"Gilmário Barbosa dos Santos","Santos, G. B.","1","2957755655265658",101,,,,,,,,,,,,,,,
"Clesio Luiz Tozzi","Tozzi, C. L.","2","",101,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","3","",101,,,,,,,,,,,,,,,
"Gilmário Barbosa dos Santos","Santos, G. B.","1","2957755655265658",102,,,,,,,,,,,,,,,
"Clesio Luiz Tozzi","Tozzi, C. L.","2","",102,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","3","",102,,,,,,,,,,,,,,,
"Sidney Pinto","Pinto, S.","4","",102,,,,,,,,,,,,,,,
"João Bosco Gertrudes","GERTRUDES, João Bosco","1","2755740550497444",103,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",103,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","3","3563809681641435",103,,,,,,,,,,,,,,,
"Zevallos, Milton E.","Zevallos, Milton E.","1","",104,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",104,,,,,,,,,,,,,,,
"ELSON COSTA GOMES","Gomes, E.","1","5542263961476284",105,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","2","",105,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","1","",106,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",106,,,,,,,,,,,,,,,
"Ricardo Torquato Borges","Borges, R. T.","3","3673940631540319",106,,,,,,,,,,,,,,,
"Milton Elvis Zevallos Alcahuaman","ALCAHUAMAN, Milton Elvis Zevallos","1","3226659654605788",107,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria C.","2","",107,,,,,,,,,,,,,,,
"Milton Elvis Zevallos Alcahuaman","ALCAHUAMAN, Milton Elvis Zevallos","1","3226659654605788",108,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria C.","2","",108,,,,,,,,,,,,,,,
"Mestas, Patricia","Mestas, Patricia","1","5092857787801476",109,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria C.","2","",109,,,,,,,,,,,,,,,
"Ani Gole","Gole, Ani","3","",109,,,,,,,,,,,,,,,
"Jonas Lemos Talaisys","Talaisys, J. L.","1","",110,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria C.","2","",110,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","3","3563809681641435",110,,,,,,,,,,,,,,,
"Alessandra Camara","Camara, Alessandra","4","",110,,,,,,,,,,,,,,,
"João Bosco Gertrudes","GERTRUDES, João Bosco","1","2755740550497444",111,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria C.","2","",111,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","3","3563809681641435",111,,,,,,,,,,,,,,,
"Patrícia Mestas Valero","VALERO, Patrícia Mestas","1","5092857787801476",112,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",112,,,,,,,,,,,,,,,
"Patrícia Mestas Valero","VALERO, Patrícia Mestas","1","5092857787801476",113,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",113,,,,,,,,,,,,,,,
"Ani Gole","Gole, Ani","3","",113,,,,,,,,,,,,,,,
"ELSON COSTA GOMES","Gomes, E.","1","5542263961476284",114,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria Cristina","2","",114,,,,,,,,,,,,,,,
"Mestas, Patricia","Mestas, Patricia","1","5092857787801476",115,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",115,,,,,,,,,,,,,,,
"João Bosco Gertrudes","GERTRUDES, João Bosco","1","2755740550497444",116,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",116,,,,,,,,,,,,,,,
"Jonas Lemos Talaysis","Talaysis, J. L.","1","",117,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",117,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","3","3563809681641435",117,,,,,,,,,,,,,,,
"Alessandra Camara","Camara, Alessandra","4","",117,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","1","",118,,,,,,,,,,,,,,,
"Ricardo Torquato Borges","Borges, R. T.","2","3673940631540319",118,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","1","",119,,,,,,,,,,,,,,,
"Jonas Lemos Talaysis","Talaysis, J. L.","2","",119,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","3","3563809681641435",119,,,,,,,,,,,,,,,
"Alessandra Camara","Camara, Alessandra","4","",119,,,,,,,,,,,,,,,
"Gilmário Barbosa dos Santos","Santos, G. B.","1","2957755655265658",120,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",120,,,,,,,,,,,,,,,
"Mestas, P.","Mestas, P.","1","5092857787801476",121,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",121,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",122,,,,,,,,,,,,,,,
"Alessandra Camara","Camara, Alessandra","2","",122,,,,,,,,,,,,,,,
"Ricardo Gonçalves","Gonçalves, Ricardo","3","",122,,,,,,,,,,,,,,,
"Marcelo Guimarães","GUIMARAES, M.","4","",122,,,,,,,,,,,,,,,
"Orsino Oliveira","Oliveira, Orsino","5","",122,,,,,,,,,,,,,,,
"José Carlos da Rocha","Rocha, J. C.","6","",122,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","7","",122,,,,,,,,,,,,,,,
"ELSON COSTA GOMES","Gomes, E.","1","5542263961476284",123,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria Cristina","2","",123,,,,,,,,,,,,,,,
"Renan de Paula Maciel","Maciel, Renan P.","1","",124,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria Cristina","2","",124,,,,,,,,,,,,,,,
"ZEVALLOS, M. E.","ZEVALLOS, M. E.","1","3226659654605788",125,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",125,,,,,,,,,,,,,,,
"Patrícia Mestas Valero","VALERO, Patrícia Mestas","1","5092857787801476",126,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria Cristina","2","",126,,,,,,,,,,,,,,,
"Camilo Machado Junior","Machado Junior, Camilo","1","",127,,,,,,,,,,,,,,,
"Carlos A. Floriano","FLORIANO, C. A.","10","",127,,,,,,,,,,,,,,,
"Vanderlei G. Machado","MACHADO, V. G.","11","",127,,,,,,,,,,,,,,,
"Aniela M. Mendes","MENDES, A. M.","12","6803772676219451",127,,,,,,,,,,,,,,,
"Marcelo Maia","MAIA, M.","2","",127,,,,,,,,,,,,,,,
"Eden Carvalho Jr","CARVALHO JR, E.","3","",127,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria Cristina","4","",127,,,,,,,,,,,,,,,
"João Bosco Gertrudes","GERTRUDES, João Bosco","5","2755740550497444",127,,,,,,,,,,,,,,,
"ELSON COSTA GOMES","Gomes, E.","6","5542263961476284",127,,,,,,,,,,,,,,,
"Walmir Freitas Filho","Freitas Filho, W.","7","",127,,,,,,,,,,,,,,,
"Marcos de Araujo Paz","PAZ, Marcos de Araujo","8","3537147442008055",127,,,,,,,,,,,,,,,
"Fernando Augusto Moreira","Moreira, Fernando Augusto","9","8068628216980918",127,,,,,,,,,,,,,,,
"Renzo Fabian","Fabian, R.","1","",128,,,,,,,,,,,,,,,
"ELSON COSTA GOMES","Gomes, E.","2","5542263961476284",128,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria Cristina","3","",128,,,,,,,,,,,,,,,
"Carlos A. Floriano","FLORIANO, C. A.","4","",128,,,,,,,,,,,,,,,
"Marcos de Araujo Paz","PAZ, Marcos de Araujo","1","3537147442008055",129,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria Cristina","2","",129,,,,,,,,,,,,,,,
"Camilo Machado Junior","Machado Junior, Camilo","1","",130,,,,,,,,,,,,,,,
"Carlos A. Floriano","FLORIANO, C. A.","10","",130,,,,,,,,,,,,,,,
"Vanderlei G. Machado","MACHADO, V. G.","11","",130,,,,,,,,,,,,,,,
"Aniela M. Mendes","MENDES, A. M.","12","6803772676219451",130,,,,,,,,,,,,,,,
"Marcelo Maia","MAIA, M.","2","",130,,,,,,,,,,,,,,,
"Eden Carvalho Jr","CARVALHO JR, E.","3","",130,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria Cristina","4","",130,,,,,,,,,,,,,,,
"João Bosco Gertrudes","GERTRUDES, João Bosco","5","2755740550497444",130,,,,,,,,,,,,,,,
"ELSON COSTA GOMES","Gomes, E.","6","5542263961476284",130,,,,,,,,,,,,,,,
"Walmir Freitas Filho","Freitas Filho, W.","7","",130,,,,,,,,,,,,,,,
"Marcos de Araujo Paz","PAZ, Marcos de Araujo","8","3537147442008055",130,,,,,,,,,,,,,,,
"Fernando Augusto Moreira","Moreira, Fernando Augusto","9","8068628216980918",130,,,,,,,,,,,,,,,
"Renzo Fabian","Fabian, R.","1","",131,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria Cristina","2","",131,,,,,,,,,,,,,,,
"ELSON COSTA GOMES","Gomes, E.","1","5542263961476284",132,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria Cristina","2","",132,,,,,,,,,,,,,,,
"Carlos A. Floriano","FLORIANO, C. A.","3","",132,,,,,,,,,,,,,,,
"Patrícia Mestas Valero","VALERO, Patrícia Mestas","1","5092857787801476",133,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria Cristina","2","",133,,,,,,,,,,,,,,,
"João Bosco Gertrudes","GERTRUDES, João Bosco","1","2755740550497444",134,,,,,,,,,,,,,,,
"ELSON COSTA GOMES","Gomes, E.","2","5542263961476284",134,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Maria Cristina Tavares","3","",134,,,,,,,,,,,,,,,
"Carlos A. Floriano","FLORIANO, C. A.","4","",134,,,,,,,,,,,,,,,
"Leandro C F Gomes","GOMES, L. C. F.","1","9537395437420296",135,,,,,,,,,,,,,,,
"Luis Carlos Pereira da Silva","SILVA, Luis Carlos Pereira da","2","",135,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria Cristina","3","",135,,,,,,,,,,,,,,,
"Camilo Machado Junior","Machado Junior, Camilo","1","",136,,,,,,,,,,,,,,,
"Carlos A. Floriano","FLORIANO, C. A.","10","",136,,,,,,,,,,,,,,,
"Vanderlei G. Machado","MACHADO, V. G.","11","",136,,,,,,,,,,,,,,,
"Aniela M. Mendes","MENDES, A. M.","12","6803772676219451",136,,,,,,,,,,,,,,,
"Marcelo Maia","MAIA, M.","2","",136,,,,,,,,,,,,,,,
"Eden Carvalho Jr","CARVALHO JR, E.","3","",136,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, Maria Cristina","4","",136,,,,,,,,,,,,,,,
"João Bosco Gertrudes","GERTRUDES, João Bosco","5","2755740550497444",136,,,,,,,,,,,,,,,
"ELSON COSTA GOMES","Gomes, E.","6","5542263961476284",136,,,,,,,,,,,,,,,
"Walmir Freitas Filho","Freitas Filho, W.","7","",136,,,,,,,,,,,,,,,
"Marcos de Araujo Paz","PAZ, Marcos de Araujo","8","3537147442008055",136,,,,,,,,,,,,,,,
"Fernando Augusto Moreira","Moreira, Fernando Augusto","9","8068628216980918",136,,,,,,,,,,,,,,,
"Marcos de Araujo Paz","PAZ, Marcos de Araujo","1","3537147442008055",137,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","2","",137,,,,,,,,,,,,,,,
"Milton Elvis Zevallos Alcahuaman","ALCAHUAMAN, Milton Elvis Zevallos","1","3226659654605788",138,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","2","",138,,,,,,,,,,,,,,,
"Athos Póvoa Garcia","GARCIA, A. P.","1","6120789183928060",139,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Maria C. Tavares","2","",139,,,,,,,,,,,,,,,
"E. A. Silva","SILVA, E. A.","1","6693712394579692",140,,,,,,,,,,,,,,,
"Fernando Augusto Moreira","Moreira, Fernando Augusto","2","8068628216980918",140,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Maria C. Tavares","3","",140,,,,,,,,,,,,,,,
"Fabiano Gustavo Silveira Magrin","MAGRIN, F. G. S.","1","",141,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",141,,,,,,,,,,,,,,,
"Ozenir Farah da Rocha Dias","DIAS, O. F. R.","1","7304740349470561",142,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","2","",142,,,,,,,,,,,,,,,
"Javier Arturo Santiago Ortega","ORTEGA, J. A. S.","1","",143,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",143,,,,,,,,,,,,,,,
"PATRICIA MESTAS VALERO","VALERO, P. M.","1","5092857787801476",144,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","2","",144,,,,,,,,,,,,,,,
"Athos Póvoa Garcia","GARCIA, A. P.","1","6120789183928060",145,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","2","",145,,,,,,,,,,,,,,,
"Renzo Fabian","Fabian, R.","1","",146,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","2","",146,,,,,,,,,,,,,,,
"Leonardo Marques Nunes de Mattos","MATTOS, L. M. N.","1","4900844885395894",147,,,,,,,,,,,,,,,
"Aniela Maria Peixoto Mendes","MENDES, A. M. P.","2","6803772676219451",147,,,,,,,,,,,,,,,
"João F. de Lima Filho","LIMA FILHO, J. F.","3","",147,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","4","",147,,,,,,,,,,,,,,,
"E. A. Silva","SILVA, E. A.","1","6693712394579692",148,,,,,,,,,,,,,,,
"Fernando Augusto Moreira","Moreira, Fernando Augusto","2","8068628216980918",148,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","3","",148,,,,,,,,,,,,,,,
"Leonardo M. N. de Mattos","MATTOS, L. M. N.","1","4900844885395894",149,,,,,,,,,,,,,,,
"Aniela Maria Peixoto Mendes","MENDES, A. M. P.","2","6803772676219451",149,,,,,,,,,,,,,,,
"João F. de Lima Filho","LIMA FILHO, J. F.","3","",149,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","4","",149,,,,,,,,,,,,,,,
"Nilo S. S. Ribeiro","RIBEIRO, N. S. S.","5","",149,,,,,,,,,,,,,,,
"Mauro da Silva","SILVA, M.","6","3093080478338691",149,,,,,,,,,,,,,,,
"Elenildo Oliveira da Silva","SILVA, E. O.","7","",149,,,,,,,,,,,,,,,
"Ozenir Farah da Rocha Dias","DIAS, O. F. R.","1","7304740349470561",150,,,,,,,,,,,,,,,
"Fabiano Gustavo Silveira Magrin","MAGRIN, F. G. S.","2","",150,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","3","",150,,,,,,,,,,,,,,,
"Ozenir Farah da Rocha Dias","DIAS, O. F. R.","1","7304740349470561",151,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",151,,,,,,,,,,,,,,,
"jacqueline Panez Izaguirre","IZAGUIRRE, J. P.","1","",152,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",152,,,,,,,,,,,,,,,
"Javier Arturo Santiago Ortega","ORTEGA, J. A. S.","1","",153,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",153,,,,,,,,,,,,,,,
"Jhair Stivel Acosta Sarmiento","SARMIENTO, J. S. A.","1","",154,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",154,,,,,,,,,,,,,,,
"Joan Sebastian Chaves Huertas","HUERTAS, J. S. C.","1","",155,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",155,,,,,,,,,,,,,,,
"Fabiano Gustavo Silveira Magrin","MAGRIN, F. G. S.","1","",156,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",156,,,,,,,,,,,,,,,
"Joan Sebastian Chaves Huertas","HUERTAS, J. S. C.","1","",157,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.","2","",157,,,,,,,,,,,,,,,
"Portela, C.M.","Portela, C.M.","1","3563809681641435",,0,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,0,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,1,,,,,,,,,,,,,,
"M. JUNGNITCH","JUNGNITCH, M.","2","",,1,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","1","",,2,,,,,,,,,,,,,,
"Pissolato, J.","Pissolato, J.","2","2677193880642405",,2,,,,,,,,,,,,,,
"Portela, C.M.","Portela, C.M.","3","3563809681641435",,2,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,3,,,,,,,,,,,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","2","7870647855005820",,3,,,,,,,,,,,,,,
"CARLOS MANUEL PORTELA","PORTELA, C. M.","3","3563809681641435",,3,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,4,,,,,,,,,,,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","2","7870647855005820",,4,,,,,,,,,,,,,,
"CARLOS MANUEL PORTELA","PORTELA, C. M.","3","3563809681641435",,4,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,5,,,,,,,,,,,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","2","7870647855005820",,5,,,,,,,,,,,,,,
"CARLOS MANUEL PORTELA","PORTELA, C. M.","3","3563809681641435",,5,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,6,,,,,,,,,,,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","2","7870647855005820",,6,,,,,,,,,,,,,,
"CARLOS MANUEL PORTELA","PORTELA, C. M.","3","3563809681641435",,6,,,,,,,,,,,,,,
"Ênio Segatto","SEGATTO, Ênio","1","9792994865902593",,7,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,7,,,,,,,,,,,,,,
"Denis Vinínius Coury","COURY, D. V.","2","4102044100700526",,7,,,,,,,,,,,,,,
"Paulo Guidetti Campos","CAMPOS, Paulo Guidetti","4","",,7,,,,,,,,,,,,,,
"Denis Vinicius Coury","COURY, Denis Vinicius","1","4102044100700526",,8,,,,,,,,,,,,,,
"Claudio José dos Santos","SANTOS, Claudio José dos","2","2095932788159804",,8,,,,,,,,,,,,,,
"Mario Oleskovisk","OLESKOVISK, Mario","3","",,8,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","4","3674511692669753",,8,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","1","",,9,,,,,,,,,,,,,,
"Portela, C.M.","Portela, C.M.","2","3563809681641435",,9,,,,,,,,,,,,,,
"Medeiros Portela, C.","Medeiros Portela, C.","1","",,10,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Cristina Tavares, M.","2","",,10,,,,,,,,,,,,,,
"Pissolato Filho, J.","Pissolato Filho, J.","3","2677193880642405",,10,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,11,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",,11,,,,,,,,,,,,,,
"Kurokawa, S.","Kurokawa, S.","1","4830845230549223",,12,,,,,,,,,,,,,,
"PissolatoFilho, J.","PissolatoFilho, J.","2","2677193880642405",,12,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","3","",,12,,,,,,,,,,,,,,
"Portela, C.M.","Portela, C.M.","4","3563809681641435",,12,,,,,,,,,,,,,,
"Prado, A.J.","Prado, A.J.","5","7870647855005820",,12,,,,,,,,,,,,,,
"Kurokawa, S.","Kurokawa, S.","1","4830845230549223",,13,,,,,,,,,,,,,,
"Pissolato, J.","Pissolato, J.","2","2677193880642405",,13,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","Tavares, M.C.","3","",,13,,,,,,,,,,,,,,
"Portela, C.M.","Portela, C.M.","4","3563809681641435",,13,,,,,,,,,,,,,,
"Prado, A.J.","Prado, A.J.","5","7870647855005820",,13,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",,14,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,14,,,,,,,,,,,,,,
"João Bosco Gertrudes","GERTRUDES, João Bosco","2","2755740550497444",,14,,,,,,,,,,,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","4","7870647855005820",,14,,,,,,,,,,,,,,
"Denis Vinicius Coury","COURY, Denis Vinicius","1","4102044100700526",,15,,,,,,,,,,,,,,
"Mario Oleskovisk","OLESKOVISK, Mario","2","",,15,,,,,,,,,,,,,,
"Claudio José dos Santos","SANTOS, Claudio José dos","3","2095932788159804",,15,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","4","3674511692669753",,15,,,,,,,,,,,,,,
"Mestas, P.","Mestas, P.","1","5092857787801476",,16,,,,,,,,,,,,,,
