PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"modelagem de linha de transmissão","parâmetros elétricos","","","","",,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","calculo de parâmetros","Transitorios Eletromagneticos","","","",,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","","","","","",,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","circuito trifásico duplo","modelagem de linhas de transmissão","ATP","","",,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Protecao Diferencial","redes neurais","Transformador de Potencia","","","",,,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Banco de Capacitores","manobra de capacitor","sistema de distribuição","","","",,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"circuito trifásico duplo","modelagem de linha de transmissão","Transitorio Eletromagnetico","","","",,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"linha de transmissão","parâmetros elétricos","","","","",,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"comportamento eletromagnético do solo","aterramento","Transitorios Eletromagneticos","","","",,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","religamento monofásico","Transitorios Eletromagneticos","","","",,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"análise trifásica na freqüência fundamental","varredura na freqüência","otimização da transmissão","","","",,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dependência com a freqüência","comportamento eletromagnético do solo","permissividade do solo","transitorios eletromagnéticos","","",,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"parâmetros elétricos de linha de transmissão","dependência com a freqüência","constante de propagação","impedância característica","","",,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"modelagem de linha de transmissão","circuito duplo","Transitorio Eletromagnetico","","","",,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","otimização da transmissão","religamento monofásico","","","",,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"modelagem de linha de transmissão","vetores ortogonais","números complexos","domínio dos modos","","",,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"parâmetros do solo","dependência com a freqüência","comportamento eletromagnético do solo","transitórios eletromagnéticos","","",,,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"modelagem de linha de transmissão","transitórios eletromagnéticos","ATP","números complexos","","",,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"parâmetros do solo","dependência com a freqüência","comportamento eletromagnético do solo","","","",,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"comportamento eletromagnético do solo","dependência com a freqüência","linha de transmissão","","","",,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"linha de transmissão","domínio dos modos","vetores ortogonais","","","",,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"medição dos parâmetros elétricos","linha de transmissão","domínio da freqüência","","","",,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"aterramento","parâmetros do solo","dependência com a freqüência","","","",,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transitórios eletromagnéticos","transmissão a longa distância","varredura na freqüência","sobretensões sustentadas","","",,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"análise de sensibilidade","parâmetros elétricos de linha de transmissão","dependência com a freqüência","","","",,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","circuito duplo","Dominio dos Modos","","","",,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transposição de linha de transmissão","transitórios eletromagnéticos","qualidade de energia","","","",,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transposição de LT","transitórios eletromagnéticos","qualidade de energia","","","",,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"energização de linha","Linha de Transmissao","religamento trifásico","resistor de pré-inserção","chaveamento sincronizado","",,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transposição","Linha de Transmissao","","","","",,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","resistor de pré-inserção","chaveamento sincronizado","","","",,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento monopolar","reator de neutro","otimização da transmissão","arco secundário","","",,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"modelagem de linhas de transmissão","domínio dos modos","números complexos","","","",,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","religamento monopolar","reator de neutro","Linha de Transmissao","","",,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transitorios Eletromagneticos","religamento trifásico","resistor de pré-inserção","chaveamento sincronizado","","",,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transmissão a longa distância","meia onda","energização de linha","ensaio de campo","","",,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"modelagem de linha de transmissão","permissividade do solo","parâmetros do solo","transitório eletromagnético","","",,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","ensaio de campo","Modelagem","religamento monopolar","","",,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","Linha de Transmissao","Modelagem","religamento monopolar","","",,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","Linha de Transmissao","Modelagem","resposta no tempo","Transitorios Eletromagneticos","religamento monopolar",,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento monopolar","arco secundário","Harmonicos","","","",,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento monopolar","arco secundário","Harmonicos","","","",,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"meia onda","Transitorio Eletromagnetico","expansão do sistema elétrico","","","",,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transmissão a longa distância","meia onda","estabilidade dinâmica","","","",,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transmissão a longa distância","meia onda","transitórios eletromagnéticos","expansão do sistema elétrico","","",,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","transitorios eletromagnéticos","Linha de Transmissao","","","",,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento monopolar","arco secundário","proteção adaptativa","","","",,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","arco elétrico","religamento monopolar","Linha de Trasnmissao","","",,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"parâmetros do solo","parâmetros elétricos de linha de transmissão","permissividade do solo","dependência com a freqüência","","",,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"proteção adaptativa","religamento trifásico","resistor de pré-inserção","Linha de Transmissao","","",,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transmissão a longa distância","meia onda","","","","",,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","quadripolo","otimização da transmissão","sistema desequilibrado","","",,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transmissão a longa distância","transmissão em meio comprimento de onda","elo CA","transitorios eletromagnéticos","","",,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","composição harmônica","religamento monopolar","","","",,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco elétrico","religamento monopolar","visão computacional","processamento de imagens","","",,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco elétrico","religamento monopolar","visão computacional","","","",,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"modelagem de linha de transmissão","parâmetros do solo","dependência com a freqüência","Transitorio Eletromagnetico","","",,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","religamento monopolar","transitorios eletromagnéticos","análise de sensibilidade","","",,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transitorios Eletromagneticos","energização de linha","ensaio de campo","transmissão em meio comprimento de onda","","",,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transitórios eletromagnéticos","transmissão em meio comprimento de onda","","","","",,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento monopolar","Linha de Transmissao","Transitorios Eletromagneticos","otimização da transmissão","","",,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","religamento monopolar","Transitorios Eletromagneticos","otimização da transmissão","","",,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","proteção adaptativa","Linha de Transmissao","Transitorios Eletromagneticos","","",,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","religamento monopolar","Modelagem","comprimento do arco","","",,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","comportamento eletromagnético do solo","modelagem de linha de transmissão","Transitorios Eletromagneticos","parâmetros elétricos","",,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"proteção adaptativa","religamento trifásico","chaveamento sincronizado","sobretensão transitória","","",,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"proteção adaptativa","religamento trifásico","chaveamento sincronizado","sobretensão transitória","simulador em tempo real","",,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","elo CA","transmissão em meio comprimento de onda","varredura na freqüência","","",,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"aterramento","calculo de parâmetros","dependência com a freqüência","linha de transmissão","parâmetros do solo","",,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","composição harmônica","comprimento do arco","ensaio de campo","","",,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transmissão em meio comprimento de onda","transmissão a longa distância","","","","",,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","arco elétrico","composição harmônica","ensaio de campo","","",,,,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","arco elétrico","comprimento do arco","ensaio de campo","","",,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","controle adaptativo","transitório eletromagnético","Linha de Transmissao","","",,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","arco elétrico","religamento monopolar","ensaio de campo","Modelagem","",,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Linha de Transmissao","Transitorios Eletromagneticos","dependência com a freqüência","meia onda","transmissão a longa distância","elo CA",,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
