PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"alta frequencia","geração eólica","parques marítimos","transitório eletromagnético","","",,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,
"Linha de Transmissao","transitórios eletromagnéticos","transmissão a longa distância","transmissão em meio comprimento de onda","energização de linha","ensaio de campo",,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,
"arco elétrico","arco secundário","composição harmônica","comprimento do arco","","",,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,
"potência natural elevada","linha de transmissão","longa distância","parâmetros elétricos","","",,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,
"zero atrasado","curto-circuito","gerador síncrono","","","",,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,
"proteção diferencial de transformador","simulador em tempo real","RTDS","","","",,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,
"arco secundário","arco elétrico","religamento monopolar","Modelagem","condutância","capacitância",,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,
"arco secundário","religamento monopolar","transitório eletromagnético","proteção adaptativa","linha de transmissão","",,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,
"longa distância","linha de transmissão","transmissão em meio comprimento de onda","linha compensada","","",,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,
"Elos de CCAT","falha de comutação","","","","",,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,
"feixes não convencionais","linha de transmissão","linha não convencional","alta capacidade de transmissão","LPNE","otimização de feixes",,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,
"atendimento a pequenas cargas","cabos pára-raios","linha de transmissão","","","",,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,
"proteção direcional","ATP","Modelagem","models","","",,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,
"linha não convencional","longa distância","meia onda","proteção direcional","RTDS","",,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,
"religamento trifásico","religamento monopolar","linha de transmissão","sobretensão transitória","","",,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,
"religamento monopolar","arco secundário","proteção adaptativa","tempo morto","extinção do arco","",,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,
"Análise Linear","Estabilidade Eletromecânica","Ressonância Subsíncrona","transitórios eletromagnéticos","Harmônicos","",,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
"aterramento","descargas atmosféricas","campo elétrico","campo magnético","","",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"equivalente de rede","domínio das fases","dependência com a freqüência","","","",,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
"efeito pelicular","linha de transmissão","dependência com a freqüência","","","",,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
"ilhamento","geração distribuída","","","","",,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
"números complexos","modelagem de linha de transmissão","domínio dos modos","transitório eletromagnético","","",,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
"descargas atmosféricas","domínio da freqüência","domínio do tempo","domínio das fases","Transitorios Eletromagneticos","",,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
"luminotécnica","","","","","",,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
"arco elétrico","","","","","",,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
"comportamento eletromagnético do solo","modelagem de linha de transmissão","dependência com a freqüência","transitórios eletromagnéticos","","",,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,
"motor de indução","medição de parâmetros","capacitância parasita","","","",,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
"Transitorios Eletromagneticos","Transformador de Potencia","alta frequencia","","","",,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,
"arco secundário","religamento monopolar","Modelagem","","","",,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
"Linha de Transmissao","Modelagem","Transitorio Eletromagnetico","modelagem em tempo real","","",,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,
"energia eólica","tiristores","","","","",,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
"gerador síncrono","parâmetros","","","","",,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,
"Linha de Transmissao","transitórios eletromagnéticos","religamento trifásico","chaveamento sincronizado","","",,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,
"Corrente Continua","efeito coroa","","","","",,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,
"domínio harmônico","sistema desequilibrado","Harmônicos","","","",,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,
"comprimento do arco","arco elétrico","ensaio de campo","visão computacional","","",,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,
"alimentadores","paralelismo","distribuição","","","",,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,
"arco secundário","religamento monopolar","otimização de linha","longa distância","","",,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,
"Limitador de Corrente","saturado","","","","",,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,
"proteção","proteção distância","transmissão em meio comprimento de onda","transmissão a longa distância","impedância aparente","seletor de falta",,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,
"cabos subterrâneos","calculo de parâmetros","parâmetros elétricos","","","",,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,
"falta interna","poucas espiras","proteção diferencial","proteção diferencial de transformador","transformador de potência","",,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,
"modelagem de linhas","dependência com a freqüência","transitorios eletromagnéticos","domínio do tempo","","",,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,
"aterramento","Malha de terra","orografia","descargas atmosféricas","radar","",,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
"dependência com a freqüência","equivalentes de rede","transitorios eletromagnéticos","","","",,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"descargas atmosféricas","linha de transmissão","domínio da freqüência","domínio do tempo","","",,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
"arco secundário","longa distância","FACTS","","","",,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
"arco secundário","linha não convencional","Modelagem","","","",,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
"Malha de terra","integridade","redes neurais","","","",,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
"transformador de potência","transitório rápido","","","","",,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
"efeito coroa","Corrente Continua","Linha de Transmissao","","","",,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,
"religamento trifásico","religamento controlado","transitorios eletromagnéticos","Linha de Transmissao","","",,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
"religamento monopolar","arco secundário","Linha de Transmissao","","","",,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
"cabos submarinos","parâmetros","","","","",,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
"campo elétrico","Linha de Transmissao","Transitorio Eletromagnetico","campo magnético","","",,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,
"Linha de Transmissao","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
"eletrônica de potência","conversão de energia","engenharia elértria","","","",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
"máquinas elétricas","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
"sistema de potência","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,
"Linha de Transmissao","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,
"iniciação científica","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,
"transitórios eletromagnéticos","arco elétrico","modelagem de linhas de transmissão","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,
"modelagem de linha de transmissão","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
"modelagem de linha de transmissão","Linha de Transmissao","ATP","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
"otimização da transmissão","análise de desempenho","fluxo de potência ótimo","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,
"parâmetros do solo","sobretensões sustentadas","transitórios eletromagnéticos","parâmetros elétricos de linha de transmissão","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
"domínio dos modos","Linha de Transmissao","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,
"","","Linha de Transmissao","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,
"ATP","Transitorio Eletromagnetico","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,
"Linha Hexafasica","longa distância","Transitorio Eletromagnetico","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,
"transitórios eletromagnéticos","linha de transmissão","comportamento eletromagnético do solo","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,
"permissividade do solo","","Linha de Transmissao","comportamento eletromagnético do solo","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,
"","modelagem de linhas de transmissão","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,
"arco secundário","otimização de linha","linha de transmissão","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,
"arco secundário","religamento monopolar","otimização da transmissão","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,
"Protecao Diferencial","Transformador de Potencia","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,
"linha de transmissão","modelagem de linhas","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,
"Linha de Transmissao","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,
"arco secundário","linha de transmissão","otimização da transmissão","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,
"arco secundário","comportamento eletromagnético do solo","Transitorios Eletromagneticos","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,
"Linha de Transmissao","modelagem de linha de transmissão","verificação de modelos","análise de desempenho","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,
"Linha de Transmissao","circuito trifásico duplo","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
"parâmetros do solo","permissividade do solo","Linha de Transmissao","transitorios eletromagnéticos","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,
"Linha Hexafasica","longa distância","meia onda","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,
"equipamentos","Transitorio Eletromagnetico","curto-circuito","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
"","Linha de Trasnmissao","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
"Linha de Transmissao","religamento monopolar","elo CA","transmissão em meio comprimento de onda","transmissão a longa distância","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
"religamento monopolar","Harmônicos","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"proteção","simulador em tempo real","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
"transitório eletromagnético","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,
"arco secundário","capacitância parasita","Modelagem","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"proteção direcional","linha de transmissão","longa distância","transmissão em meio comprimento de onda","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"proteção direcional","transmissão em meio comprimento de onda","transposição de LT","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"circuito trifásico duplo","expansão do sistema elétrico","feixes não convencionais","linha não convencional","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"atendimento a pequenas cargas","cabos pára-raios","linha de transmissão","proteção","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
"transitórios eletromagnéticos","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
"Transitorios Eletromagneticos","Linha de Transmissao","transmissão em meio comprimento de onda","transmissão a longa distância","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
"Linha de Transmissao","Transitorios Eletromagneticos","dependência com a freqüência","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
"arco secundário","religamento controlado","religamento monopolar","simulador em tempo real","RTDS","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
