SEQUENCIA-ORIENTACAO,TITULO-ORIENTACAO,TIPO-ORIENTACAO,TITULO-ORIENTACAO-INGLES,ORIENTACOES_Id
"170","Análise Comparativa de Técnicas de Controle de Sobretensões Transitórias nas Manobras de Energização e Religamento de Linhas de Transmissão","Dissertação de mestrado","",11
"53","Utilização do EMTP na Simulação de Transformadores de Potência para Estudos de Proteção Digital Diferencial","Iniciação científica","",12
"62","Desenvolvimento de programa para cálculo de parâmetros elétricos de linha de transmissão usando o ambiente Mathematica","Iniciação científica","",12
"64","Utilização de Simuladores de Transitórios Eletromagnéticos no Desenvolvimento do Modelo de Linha de Transmissão","Iniciação científica","",12
"65","Desenvolvimento de programa para cálculo de parâmetros elétricos de linha de transmissão usando o ambiente Mathematica","Iniciação científica","",12
"98","Modelo de Linha de Transmissão Circuito Duplo Trifásico utilizando parâmetros dependentes da freqüência","Tese de doutorado","",13
"101","Modelagem da Proteção Diferencial de Transformadores : Estudo Avançado","Iniciação científica","",13
"102","Estudo do Efeito da Transposição de Linhas de Transmissão nas Harmônias","Iniciação científica","",13
"103","captação de descargas atmosféricas trigadas - trabalho de campo","Iniciação científica","",13
"104","montagem de equipamentos de medição de campo para captação de descargas atmosféricas","Monografia de conclusão de curso	de especialização","",13
