SEQUENCIA-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT,TIPO-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT-INGLES,PRODUCOES-CT-DO-PROJETO_Id
"266","Nova Concepção De Linhas De Transmissão A Longa Distância Em Corrente Alternada E Extra Alta Tensão","Trabalho publicado em anais de eventos(Completo)","",4
"280","Conceitos Fundamentais da Transmissão em um Pouco mais de Meio Comprimento de Onda","Trabalho publicado em anais de eventos(Completo)","",4
"285","Estudo do comportamento transitório da linha de um pouco mais de meio comprimento de onda submetida a manobras usuais","Trabalho publicado em anais de eventos(Completo)","",4
"302","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",4
"303","Analysis of an Isolated Half-Wavelength Transmission Line Submitted to Switching Maneuvers","Trabalho publicado em anais de eventos(Completo)","",4
"306","Influence of Transversal Parameters of a Transmission System on the Secondary Arc Current Reduction during SPAR","Participações em eventos(Congresso)","",4
"316","Transient Performance Analysis on Overhead Transmission Line Considering the Frequency Dependent Soil Representation","Trabalho publicado em anais de eventos(Completo)","",4
"317","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines","Participações em eventos(Congresso)","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines",4
"318","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines","PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA","",4
"325","Transient Analysis on Overhead Transmission Line Considering the Frequency Dependent Soil Representation","PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA","",4
"327","Attending Small Loads along a Half-Wavelength Transmission Line","PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA","",4
"328","Analysis of the Energization Test of a 2600-km Long AC-Link Composed of Similar Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",4
"329","Attending Small Loads along a Half-Wavelength Transmission Line","Participações em eventos(Congresso)","",4
