NATUREZA,TIPO,TITULO,ANO,PAIS,IDIOMA,HOME-PAGE,DOI,TITULO-INGLES,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id
"Mestrado","ACADEMICO","Contribuição ao Estudo do Efeito Corona em Linhas de Transmissão","2007","Brasil","Português","","","",14
"Mestrado","ACADEMICO","Análise Comparativa de Técnicas de Controle de Sobretensões Transitórias nas Manobras de Energização e Religamento de Linhas de Transmissão","2007","Brasil","Português","","","",15
"Mestrado","ACADEMICO","Análise de Sensibilidade da Corrente de Arco Secundário Para Diferentes Linhas de Transmissão","2007","Brasil","Português","","","",16
"Mestrado","ACADEMICO","RELIGAMENTO MONOPOLAR ADAPTATIVO RÁPIDO BASEADO NA ASSINATURA HARMÔNICA DA TENSÃO DE ARCO SECUNDÁRIO","2009","Brasil","Português","","","",17
"Mestrado","ACADEMICO","Estudos de Linhas de Transmissão Não-Uniformes no Domínio da Freqüência","2009","Brasil","Português","","","",18
"Mestrado","ACADEMICO","Análise de Transitórios eletromagnéticos na manobras típicas para elo CA de meio comprimento de onda","2010","Brasil","Português","","","",19
"Mestrado","ACADEMICO","Propagação de Transitórios de Alta Frequência e o Efeito de Múltiplas Reflexões em Redes Coletoras de Parques Eólicos Marítimos","2011","Brasil","Português","","","",20
"Mestrado","ACADEMICO","UTILIZAÇÃO DE LINHAS DE TRANSMISSÃO SEMELHANTES NO ENSAIO DE ENERGIZAÇÃO DE UM TRONCO COM POUCO MAIS DE MEIO COMPRIMENTO DE ONDA","2012","Brasil","Português","","","",21
"Mestrado","ACADEMICO","CONTEÚDO HARMÔNICO E ESTIMATIVA DA VARIAÇÃO DE COMPRIMENTO DE ARCOS ELÉTRICOS GERADOS ARTIFICIALMENTE EM LINHAS DE TRANSMISSÃO","2012","Brasil","Português","","","",22
"Mestrado","ACADEMICO","MAXIMIZAÇÃO DA POTÊNCIA CARACTERÍSTICA DE LINHAS DE TRANSMISSÃO USANDO MÉTODO DE OTIMIZAÇÃO NÃO LINEAR","2013","Brasil","Português","","","",23
"Mestrado","ACADEMICO","Análise da Ocorrência de Zeros Atrasados em Correntes de Curto-Circuito","2014","Brasil","Português","","","",24
"Mestrado","ACADEMICO","Modelagem de um Relé de Proteção Diferencial de Transformador no RTDS","2014","Brasil","Português","","","",25
"Mestrado","ACADEMICO","Obtenção dos parâmetros sustentados para modelagem de arco secundário em linha de 500 kV","2014","Brasil","Português","","","",26
"Mestrado","ACADEMICO","Implementação do religamento monopolar adaptativo rápido baseado na assinatura harmônica de tensão no simulador digital em tempo real (RTDS)","2015","Brasil","Português","","","",27
"Mestrado","ACADEMICO","Estudo de transitórios eletromagnéticos em linhas longas compensadas para um pouco mais de meio comprimento de onda","2015","Brasil","Português","","","",28
"Mestrado","ACADEMICO","Avaliação do desempenho dinâmico e imunidade a falhas de comutação para faltas remotas em sistemas de HVDC híbridos, retificador LCC e inversor CCC em linhas de transmissão longas","2015","Brasil","Português","","","",29
"Mestrado","ACADEMICO","Ampliação da capacidade de transmissão de linhas aéreas melhorando a geometria dos feixes","2016","Brasil","Português","","","",30
"Mestrado","ACADEMICO","Eletrificação de pequenas vilas próximas das linhas de transmissão usando acoplamento capacitivo dos cabos para-raios","2016","Brasil","Português","","","",31
"Mestrado","ACADEMICO","Modelagem de um Relé de proteção direcional de linhas de transmissão no ATP","2016","Brasil","Português","","","",32
"Mestrado","ACADEMICO","Estudo do Elemento Direcional de Proteção em uma Linha de Transmissão de um Pouco Mais de Meio Comprimento de Onda","2017","Brasil","Português","","","",33
"Mestrado","ACADEMICO","Analysis of Single-Phase"and Three-Phase Auto Reclosing Maneuver to Eliminate Single Line Fault (Análise do Desempenho das Manobras de Religamento Monopolar e Tripolar para Eliminação de Faltas Monofásicas em Linhas de Transmissão)","2017","Brasil","Português","","","",34
"Mestrado","ACADEMICO","Nova metodologia para detecção de falta no religamento monopolar","2017","Brasil","Português","","","",35
