NATUREZA,TITULO,ANO,PAIS,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,TIPO-PARTICIPACAO,FORMA-PARTICIPACAO,DOI,TITULO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,PARTICIPACAO-EM-CONGRESSO_Id
"Congresso","1999 International Conference on Power Systems Transients (IPST'99)","1999","Hungria","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",13
"Congresso","","1995","Portugal","","NAO_INFORMADO","","NAO","","Ouvinte","","","NAO",14
"Congresso","Implementation and Performance Evaluation of a Reclosing Method for Shunt Reactor Compensated Transmission Lines","2011","Estados Unidos","","NAO_INFORMADO","http://www.pes-gm.org/2011/","NAO","Apresentação Oral","Participante","","","NAO",15
"Congresso","1992 IEEE PES SUMMER MEETING","1992","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",16
"Congresso","Influence of Transversal Parameters of a Transmission System on the Secondary Arc Current Reduction during SPAR","2011","Holanda","","NAO_INFORMADO","http://ipst2011.tudelft.nl/","NAO","Apresentação Oral","Participante","","","NAO",17
"Congresso","Long Arcs in Free Air: Stationary Parameters for Secondary Arc Current Range","2014","Polônia","","NAO_INFORMADO","http://www.pscc2014.net/index.php?p=01","NAO","Apresentação oral","Participante","","Long Arcs in Free Air: Stationary Parameters for Secondary Arc Current Range","NAO",18
"Congresso","6th International Conference on Power Systems Transients (IPST'05)","2005","Canadá","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",19
"Congresso","2000 IEEE PES Winter Meeting","2000","Cingapura","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",20
"Congresso","International Conference on Power Systems Technology (POWERCON'98)","1998","China","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",21
"Congresso","Neutral reactor optimization in order to reduce arc extinction time in three-phase tripping","2015","Croácia","","NAO_INFORMADO","http://www.ipst2015.com/","NAO","Outras Formas","Participante","","Neutral reactor optimization in order to reduce arc extinction time in three-phase tripping","SIM",22
"Congresso","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines","2011","China","","NAO_INFORMADO","http://www.appeecconf.org/2012/NewsContent.aspx?newsID=584","NAO","Apresentação Oral","Participante","","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines","NAO",23
"Congresso","International Conference on Power Systems","2001","China","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",24
"Congresso","Attending Small Loads along a Half-Wavelength Transmission Line","2011","Canadá","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",25
"Congresso","Comparative Analysis of Control Switching Transient Techniques in Transmission Lines Energization Maneuver; Evaluating the Importance of Properly Representing Actual Transmission Line Transposition for Electromagnetic Transient Studies","2007","França","","NAO_INFORMADO","www://ipst.org.br","NAO","Apresentação Oral","Participante","","","NAO",26
"Congresso","IEEE PES 2004 General meeting","2004","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",27
"Congresso","XV Seminário Nacional de Produção e Transmissão de Energia Elétrica (XV SNPTEE)","1999","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",28
"Congresso","Real Time Digital Simulation to Performance Evaluation of an Adaptive Three-Phase Autoreclosing Method for Compensated Transmission Lines","2011","Suécia","","NAO_INFORMADO","http://www.pscc2011.net/","NAO","Apresentação Oral","Participante","","","NAO",29
"Congresso","2001 IEEE PES Winter Meeting","2001","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",30
"Congresso","IEEE-PES Transmission and Distribution Latin America","2002","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",31
"Congresso","5th International Conference on Power Systems Transients (IPST'03)","2003","Estados Unidos","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",32
"Congresso","International Conference on Power Systems Transients (IPST'01)","2001","Brasil","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",33
"Congresso","1999 IEEE PES Summer Meeting","1999","Canadá","","NAO_INFORMADO","","NAO","Apresentação Oral","Participante","","","NAO",34
