NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",5,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",6,,,,
"Maurício Aredes","AREDES, Maurício","2","",6,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","3","3674511692669753",6,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","1","7870647855005820",7,,,,
"José Antônio Donizete Rossi","ROSSI, José Antônio Donizete","2","",7,,,,
"Carlos Rodrigues de Souza","SOUZA, Carlos Rodrigues de","3","",7,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","4","3674511692669753",7,,,,
"Ernesto Ruppert Filho","RUPPERT FILHO, Ernesto","1","",8,,,,
"Azauri Albano de Oliveira Junior","OLIVEIRA JUNIOR, Azauri Albano de","3","",8,,,,
"José Antenor Pomilio","POMILIO, José Antenor","4","",8,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",8,,,,
"Antônio Carlos Ferreira","FERREIRA, Antônio Carlos","1","",9,,,,
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","3","",9,,,,
"F M Salgado Carvalho","CARVALHO, F M Salgado","4","",9,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",9,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","3","7870647855005820",10,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",10,,,,
"Leonardo de Souza Mendes","MENDES, Leonardo de Souza","4","",10,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",10,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",11,,,,
"Ariovaldo Verândio Garcia","GARCIA, Ariovaldo Verândio","3","",11,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",11,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","4","7870647855005820",12,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",12,,,,
"Sigmar Maurer Deckmann","DECKMANN, Sigmar Maurer","3","",12,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",12,,,,
"Antonio Carlos Ferreira","FERREIRA, Antonio Carlos","1","",13,,,,
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","2","",13,,,,
"Marcus Theodor Schilling","SCHILLING, M. T.","3","",13,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","4","3674511692669753",13,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","2","7870647855005820",14,,,,
"Brígida Ramati Pereira","Brígida Ramati Pereira","3","",14,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",14,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","3","7870647855005820",15,,,,
"Washington Luís de Araújo Neves","NEVES, Washington Luís de Araújo","2","",15,,,,
"Fujio Sato","SATO, Fujio","4","",15,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",15,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","2","7870647855005820",16,,,,
"Luis Carlos Pereira da Silva","SILVA, Luis Carlos Pereira da","3","",16,,,,
"Fernando Augusto Moreira","Moreira, Fernando Augusto","4","8068628216980918",16,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",16,,,,
"Fernando Augusto Moreira","Moreira, Fernando Augusto","2","8068628216980918",17,,,,
"Fabio Violaro","Violaro, Fabio","3","",17,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",17,,,,
"Antônio Carlos Ferreira","FERREIRA, Antônio Carlos","3","",18,,,,
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","2","",18,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",18,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",19,,,,
"Luis Carlos Pereira da Silva","SILVA, Luis Carlos Pereira da","3","",19,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",19,,,,
"Luis Carlos Pereira da Silva","SILVA, Luis Carlos Pereira da","1","",20,,,,
"Mauricio Barbosa de Camargo Salles","Salles, M.B.C.","3","",20,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",20,,,,
"Manfredo Correia Lima","LIMA, M. C.","3","4071451424524201",21,,,,
"Madson Cortes de Almeida","Almeida, M. C.","2","",21,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",21,,,,
"Alessandra Camara","Camara, Alessandra","3","",22,,,,
"Mestas, Patricia","Mestas, Patricia","2","5092857787801476",22,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",22,,,,
"Ernesto Ruppert Filho","RUPPERT FILHO, Ernesto","2","",23,,,,
"João Clavio Salari","SALARI, J. C.","3","",23,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",23,,,,
"Sergio Gomes Junior","GOMES JUNIOR, Sergio","2","",24,,,,
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","1","",24,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","3","3674511692669753",24,,,,
"Luis Carlos Pereira da Silva","SILVA, Luis Carlos Pereira da","3","",25,,,,
"Athula Dayanarth Rajapakse","RAJAPAKSE, A. D.","2","",25,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",25,,,,
"Alessandra Camara","Camara, Alessandra","2","",26,,,,
"Fabio Violaro","Violaro, Fabio","3","",26,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",26,,,,
"João Bosco Gertrudes","GERTRUDES, João Bosco","3","2755740550497444",27,,,,
"Alessandra Camara","Camara, Alessandra","2","",27,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",27,,,,
"Manfredo Correia Lima","LIMA, M. C.","3","4071451424524201",28,,,,
"Marcos de Araujo Paz","PAZ, Marcos de Araujo","2","3537147442008055",28,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",28,,,,
"Luis Carlos Pereira da Silva","SILVA, Luis Carlos Pereira da","1","",29,,,,
"José Geraldo Barreto Monteiro de Andrade","ANDRADE, J. G. B. M.","3","",29,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",29,,,,
"Manfredo Correia Lima","LIMA, M. C.","2","4071451424524201",30,,,,
"Francisco Javier Roman Campos","CAMPOS, F. J. R.","3","",30,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",30,,,,
"Edson da Costa Guedes","GUEDES, Edson da Costa","2","",31,,,,
"Francisco Javier Roman Campos","CAMPOS, F. J. R.","3","",31,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",31,,,,
"Marcos Julio Rider Flores","FLORES, M. J. R.","2","",32,,,,
"Ricardo Caneloi dos Santos","SANTOS, R. C.","3","",32,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",32,,,,
"Luis Carlos Pereira da Silva","SILVA, Luis Carlos Pereira da","3","",33,,,,
"Ricardo Caneloi dos Santos","SANTOS, R. C.","2","",33,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",33,,,,
"Luis Carlos Pereira da Silva","SILVA, Luis Carlos Pereira da","3","",34,,,,
"Fernando Augusto Moreira","Moreira, Fernando Augusto","2","8068628216980918",34,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",34,,,,
"Luis Carlos Pereira da Silva","SILVA, Luis Carlos Pereira da","3","",35,,,,
"kleber melo e silva","SILVA, K. M.","2","",35,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",35,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","2","7870647855005820",,0,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","3","3563809681641435",,0,,,
"Nelson Martins","MARTINS, Nelson","4","",,0,,,
"Luís A S Pilotto","PILOTTO, L. A. S.","5","",,0,,,
"Maurícuo Aredes","AREDES, M.","6","",,0,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,0,,,
"José Pissolato Filho","PISSOLATO FILHO, José","4","7870647855005820",,1,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",,1,,,
"Maurício Aredes","AREDES, Maurício","2","",,1,,,
"Antonio Carlos Ferreira","FERREIRA, Antonio Carlos","3","",,1,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","5","3674511692669753",,1,,,
"Edson Guedes da Costa","COSTA, Edson Guedes da","1","",,2,,,
"Jacques Szczupak","SZCZUPAK, Jacques","2","",,2,,,
"Benemar Alencar de Souza","SOUZA, Benemar Alencar de","4","",,2,,,
"Washington Luís de Araújo Neves","NEVES, Washington Luís de Araújo","6","",,2,,,
"Wallace do Couto Boaventura","BOAVENTURA, Wallace Do Couto","7","",,2,,,
"Antonio Marcus Nogueira Lima","LIMA, Antonio Marcus Nogueira","5","",,2,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","3","3674511692669753",,2,,,
"José Pissolato Filho","PISSOLATO FILHO, José","1","7870647855005820",,3,,,
"Sergio Kurokawa","KUROKAWA, Sergio","3","4830845230549223",,3,,,
"Luis Carlos Pereira da Silva","SILVA, Luis Carlos Pereira da","5","",,3,,,
"Edson da Costa Guedes","GUEDES, Edson da Costa","2","",,3,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","4","3674511692669753",,3,,,
"Denis Vinicius Coury","COURY, Denis Vinicius","6","4102044100700526",,4,,,
"Sandoval Carneiro Filho","CARNEIRO FILHO, Sandoval","3","",,4,,,
"André Luiz Morelato França","FRANÇA, André Luiz Morelato","1","",,4,,,
"Fujio Sato","SATO, Fujio","4","",,4,,,
"Sigmar Maurer Deckmann","DECKMANN, Sigmar Maurer","5","",,4,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",,4,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",,5,,,
"Ernesto Ruppert Filho","RUPPERT FILHO, Ernesto","3","",,5,,,
"Basílio Ernesto de A Milani","MILANI, Basílio Ernesto de A","4","",,5,,,
"Luis Cera Zanetta","ZANETTA, Luis Cera","5","",,5,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,5,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",,6,,,
"Silvério Visacro Filho","VISACRO FILHO, Silvério","4","",,6,,,
"Sergio Gomes Junior","GOMES JUNIOR, Sergio","3","",,6,,,
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","5","",,6,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",,6,,,
"José Pissolato Filho","PISSOLATO FILHO, José","1","7870647855005820",,7,,,
"francisca aparecida de camargo pires","PIRES, Francisca Aparecida de Camargo","3","",,7,,,
"Paulo Estevão Cruvinel","CRUVINEL, Paulo Estevão","6","",,7,,,
"Luiz Carlos Kretly","KRETLY, Luiz Carlos","4","",,7,,,
"Peter Jurgen Tatsch","Tatsch, Peter Jurgen","5","",,7,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",,7,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","3","3563809681641435",,8,,,
"Sandoval Carneiro Filho","CARNEIRO FILHO, Sandoval","2","",,8,,,
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","1","",,8,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","4","3674511692669753",,8,,,
"José Pissolato Filho","PISSOLATO FILHO, José","3","7870647855005820",,9,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",,9,,,
"Luis Carlos Pereira da Silva","SILVA, Luis Carlos Pereira da","4","",,9,,,
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","5","",,9,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,9,,,
"Ernesto Ruppert Filho","RUPPERT FILHO, Ernesto","1","",,10,,,
"Gilmar","Barreto, GILMAR","3","",,10,,,
"Edwin Avólio","AVOLIO, Edwin","4","",,10,,,
"Silvio Ikuyo Nabeta","NABETA, Silvio I.","5","",,10,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",,10,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",,11,,,
"Maurício Aredes","AREDES, Maurício","2","",,11,,,
"Washington Luís de Araújo Neves","NEVES, Washington Luís de Araújo","6","",,11,,,
"Silvério Visacro Filho","VISACRO FILHO, Silvério","4","",,11,,,
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","3","",,11,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","5","3674511692669753",,11,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",,12,,,
"edson watanabe","WATANABE, Edson","2","",,12,,,
"Edson da Costa Guedes","GUEDES, Edson da Costa","4","",,12,,,
"Silvério Visacro Filho","VISACRO FILHO, Silvério","6","",,12,,,
"Glauco Taranto","Taranto, G.","3","",,12,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","5","3674511692669753",,12,,,
"edson watanabe","WATANABE, Edson","6","",,13,,,
"Humberto Secchi","Secchi, H.","1","",,13,,,
"Daniel Patiño","Patiño, D.","2","",,13,,,
"Giuseppe Ratta","Ratta, G.","4","",,13,,,
"Humberto Zini","Zini, H.","3","",,13,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","5","3674511692669753",,13,,,
"edson watanabe","WATANABE, Edson","2","",,14,,,
"Humberto Secchi","Secchi, H.","1","",,14,,,
"Francisco Garces","Garces, F.","5","",,14,,,
"Pedro E. Mercado","Mercado, P.","4","",,14,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","3","3674511692669753",,14,,,
"Ernesto Ruppert Filho","RUPPERT FILHO, Ernesto","1","",,15,,,
"Gilmar","Barreto, GILMAR","4","",,15,,,
"Aly Ferreira Flores Filho","Flores Filho, Aly Ferreira","2","",,15,,,
"Edson da Costa Bortoni","Bortoni, Edson da Costa","3","",,15,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","5","3674511692669753",,15,,,
"Sergio Gomes Junior","GOMES JUNIOR, Sergio","3","",,16,,,
"Fujio Sato","SATO, Fujio","4","",,16,,,
"Madson Cortes de Almeida","Almeida, M. C.","5","",,16,,,
"Gole, Aniruddha M.","Gole, Aniruddha M.","2","",,16,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,16,,,
"Edson da Costa Guedes","GUEDES, Edson da Costa","3","",,17,,,
"Antônio Carlos Ferreira","FERREIRA, Antônio Carlos","2","",,17,,,
