NATUREZA,TITULO-DO-ARTIGO,ANO-DO-ARTIGO,PAIS-DE-PUBLICACAO,IDIOMA,MEIO-DE-DIVULGACAO,HOME-PAGE-DO-TRABALHO,FLAG-RELEVANCIA,DOI,TITULO-DO-ARTIGO-INGLES,FLAG-DIVULGACAO-CIENTIFICA,ARTIGO-PUBLICADO_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id
"COMPLETO","Accurate representation of soil behaviour for transient studies","2003","","Inglês","MEIO_DIGITAL","","NAO","10.1049/ip-gtd:20030879","Accurate representation of soil behaviour for transient studies","NAO",10,
"COMPLETO","Proposing a new methodology to optimize transient study of a transmission system","2004","","Inglês","MEIO_DIGITAL","","SIM","10.1016/j.epsr.2003.07.013","Proposing a new methodology to optimize transient study of a transmission system","NAO",11,
"COMPLETO","Behavior of Overhead Transmission Line Parameters on the Presence of Ground Wires","2005","","Inglês","MEIO_DIGITAL","","NAO","10.1109/TPWRD.2004.833916","Behavior of Overhead Transmission Line Parameters on the Presence of Ground Wires","NAO",12,
"COMPLETO","A New Procedure to Derive Transmission-Line Parameters: Applications and Restrictions","2006","","Inglês","MEIO_DIGITAL","","NAO","10.1109/TPWRD.2005.852296","A New Procedure to Derive Transmission-Line Parameters: Applications and Restrictions","NAO",13,
"COMPLETO","Earth conductivity and permittivity data measurements: Influence in transmission line transient performance","2006","","Inglês","MEIO_DIGITAL","","NAO","10.1016/j.epsr.2005.11.006","Earth conductivity and permittivity data measurements: Influence in transmission line transient performance","NAO",14,
"COMPLETO","Avaliação de Transitórios devido ao Chaveamento de Bancos de Capacitores em um Sistema de Distribuição da CPFL","2005","Brasil","Português","IMPRESSO","","NAO","","","NAO",15,
"COMPLETO","Comparative analysis of techniques for control of switching overvoltages during transmission lines energization?","2010","","Inglês","MEIO_DIGITAL","","NAO","10.1016/j.epsr.2009.08.011","","NAO",16,
"COMPLETO","Redução das correntes de arco secundário em sistemas de transmissão típicos","2009","","Inglês","MEIO_DIGITAL","","NAO","10.1590/S0103-17592009000300008","","NAO",17,
"COMPLETO","Análise de sensibilidade de parâmetros elétricos de linhas de transmissão dependentes na freqüência","2009","","Inglês","MEIO_DIGITAL","","NAO","10.1590/S0103-17592009000300005","","NAO",18,
"COMPLETO","Influência da dependência de parâmetros do solo com a frequência na modelagem de linhas aéreas de transmissão: caso de condutor único","2011","","Português","MEIO_DIGITAL","[http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-17592011000500006&lng=en&nrm=iso]","NAO","10.1590/S0103-17592011000500006","Influência da dependência de parâmetros do solo com a frequência na modelagem de linhas aéreas de transmissão: caso de condutor único","NAO",19,
"COMPLETO","Relevant Factors to a Statistical Analysis of Overvoltages - Application to Three-Phase Reclosing of Compensated Transmission Lines","2013","","Português","MEIO_DIGITAL","[doi:10.4236/epe.2013.54b221]","NAO","10.4236/epe.2013.54B221","","NAO",20,
"COMPLETO","Energization of a Half-Wavelength Transmission Line - Pre-Operational Transients Studies","2013","","Português","MEIO_DIGITAL","[doi:10.4236/epe.2013.54b276]","NAO","10.4236/epe.2013.54b276","","NAO",21,
"COMPLETO","Protection Scheme Half Wavelength Transmission Trunk Using Conventional Relay","2013","","Português","MEIO_DIGITAL","[doi:10.4236/epe.2013.54b239]","NAO","10.4236/epe.2013.54B239","","NAO",22,
"COMPLETO","Implementation and Performance Evaluation of a Reclosing Method for Shunt Reactor-Compensated Transmission Lines","2011","","Português","MEIO_DIGITAL","","SIM","10.1109/tpwrd.2010.2084111","Implementation and Performance Evaluation of a Reclosing Method for Shunt Reactor-Compensated Transmission Lines","NAO",23,
"COMPLETO","Visual evaluation of the length of artificially generated electrical discharges by 3D-snakes","2011","","Português","MEIO_DIGITAL","[doi:10.1109/tdei.2011.5704511]","NAO","10.1109/tdei.2011.5704511","","NAO",24,
"COMPLETO","Voltage harmonic content of long artificially generated electrical arc in out-door experiment at 500 kV towers","2014","","Inglês","MEIO_DIGITAL","","SIM","10.1109/TDEI.2014.6832243","Voltage harmonic content of long artificially generated electrical arc in out-door experiment at 500 kV towers","NAO",25,
